Iteracao,Tempo(ns),Nome_Livro,Paradigma
1,71174422,DonQuixote-388208,Paralelo-GPU
2,79610331,DonQuixote-388208,Paralelo-GPU
3,60221659,DonQuixote-388208,Paralelo-GPU
4,60033369,DonQuixote-388208,Paralelo-GPU
5,60215301,DonQuixote-388208,Paralelo-GPU
6,73976673,DonQuixote-388208,Paralelo-GPU
7,86516677,DonQuixote-388208,Paralelo-GPU
8,66814593,DonQuixote-388208,Paralelo-GPU
9,140096822,DonQuixote-388208,Paralelo-GPU
10,71222879,DonQuixote-388208,Paralelo-GPU
11,67877869,DonQuixote-388208,Paralelo-GPU
12,66944724,DonQuixote-388208,Paralelo-GPU
13,84482986,DonQuixote-388208,Paralelo-GPU
14,72966097,DonQuixote-388208,Paralelo-GPU
15,63971228,DonQuixote-388208,Paralelo-GPU
16,73917430,DonQuixote-388208,Paralelo-GPU
17,79533664,DonQuixote-388208,Paralelo-GPU
18,64818399,DonQuixote-388208,Paralelo-GPU
19,88074269,DonQuixote-388208,Paralelo-GPU
20,76219624,DonQuixote-388208,Paralelo-GPU
21,67279640,DonQuixote-388208,Paralelo-GPU
22,67918656,DonQuixote-388208,Paralelo-GPU
23,62255702,DonQuixote-388208,Paralelo-GPU
24,100931201,DonQuixote-388208,Paralelo-GPU
25,75888113,DonQuixote-388208,Paralelo-GPU
26,69409115,DonQuixote-388208,Paralelo-GPU
27,86476012,DonQuixote-388208,Paralelo-GPU
28,69445999,DonQuixote-388208,Paralelo-GPU
29,65275204,DonQuixote-388208,Paralelo-GPU
30,88933877,DonQuixote-388208,Paralelo-GPU
31,109076225,DonQuixote-388208,Paralelo-GPU
32,86415636,DonQuixote-388208,Paralelo-GPU
33,85093968,DonQuixote-388208,Paralelo-GPU
34,83536955,DonQuixote-388208,Paralelo-GPU
35,96946332,DonQuixote-388208,Paralelo-GPU
36,112807279,DonQuixote-388208,Paralelo-GPU
37,120253901,DonQuixote-388208,Paralelo-GPU
38,109528815,DonQuixote-388208,Paralelo-GPU
39,78044955,DonQuixote-388208,Paralelo-GPU
40,73522901,DonQuixote-388208,Paralelo-GPU
41,76654329,DonQuixote-388208,Paralelo-GPU
42,100211909,DonQuixote-388208,Paralelo-GPU
43,85261704,DonQuixote-388208,Paralelo-GPU
44,78041236,DonQuixote-388208,Paralelo-GPU
45,93295539,DonQuixote-388208,Paralelo-GPU
46,68827929,DonQuixote-388208,Paralelo-GPU
47,65351512,DonQuixote-388208,Paralelo-GPU
48,57610427,DonQuixote-388208,Paralelo-GPU
49,59837982,DonQuixote-388208,Paralelo-GPU
50,58574200,DonQuixote-388208,Paralelo-GPU
