Iteracao,Tempo(ns),Nome_Livro,Paradigma
1,84772050,Dracula-165307,Paralelo-GPU
2,86455791,Dracula-165307,Paralelo-GPU
3,93185519,Dracula-165307,Paralelo-GPU
4,102803451,Dracula-165307,Paralelo-GPU
5,115419365,Dracula-165307,Paralelo-GPU
6,89562513,Dracula-165307,Paralelo-GPU
7,82182812,Dracula-165307,Paralelo-GPU
8,100675964,Dracula-165307,Paralelo-GPU
9,113667932,Dracula-165307,Paralelo-GPU
10,142765085,Dracula-165307,Paralelo-GPU
11,90094743,Dracula-165307,Paralelo-GPU
12,56753450,Dracula-165307,Paralelo-GPU
13,56997837,Dracula-165307,Paralelo-GPU
14,55560705,Dracula-165307,Paralelo-GPU
15,56464210,Dracula-165307,Paralelo-GPU
16,55585443,Dracula-165307,Paralelo-GPU
17,82585388,Dracula-165307,Paralelo-GPU
18,146398617,Dracula-165307,Paralelo-GPU
19,107988478,Dracula-165307,Paralelo-GPU
20,92752798,Dracula-165307,Paralelo-GPU
21,90033874,Dracula-165307,Paralelo-GPU
22,202118502,Dracula-165307,Paralelo-GPU
23,64063989,Dracula-165307,Paralelo-GPU
24,96219497,Dracula-165307,Paralelo-GPU
25,84813131,Dracula-165307,Paralelo-GPU
26,62462907,Dracula-165307,Paralelo-GPU
27,57743042,Dracula-165307,Paralelo-GPU
28,62543736,Dracula-165307,Paralelo-GPU
29,60709484,Dracula-165307,Paralelo-GPU
30,58543584,Dracula-165307,Paralelo-GPU
31,56755456,Dracula-165307,Paralelo-GPU
32,59363870,Dracula-165307,Paralelo-GPU
33,89684446,Dracula-165307,Paralelo-GPU
34,111631353,Dracula-165307,Paralelo-GPU
35,102113248,Dracula-165307,Paralelo-GPU
36,69125614,Dracula-165307,Paralelo-GPU
37,68263220,Dracula-165307,Paralelo-GPU
38,59188489,Dracula-165307,Paralelo-GPU
39,63861694,Dracula-165307,Paralelo-GPU
40,66609883,Dracula-165307,Paralelo-GPU
41,67615019,Dracula-165307,Paralelo-GPU
42,117414643,Dracula-165307,Paralelo-GPU
43,123221476,Dracula-165307,Paralelo-GPU
44,89145396,Dracula-165307,Paralelo-GPU
45,126810069,Dracula-165307,Paralelo-GPU
46,85339995,Dracula-165307,Paralelo-GPU
47,71029837,Dracula-165307,Paralelo-GPU
48,68445125,Dracula-165307,Paralelo-GPU
49,62496263,Dracula-165307,Paralelo-GPU
50,62308005,Dracula-165307,Paralelo-GPU
