Iteracao,Tempo(ns),Nome_Livro,Paradigma
1,222955152,MobyDick-217452,Paralelo-GPU
2,63719073,MobyDick-217452,Paralelo-GPU
3,86245048,MobyDick-217452,Paralelo-GPU
4,88330854,MobyDick-217452,Paralelo-GPU
5,82957988,MobyDick-217452,Paralelo-GPU
6,118717582,MobyDick-217452,Paralelo-GPU
7,135014630,MobyDick-217452,Paralelo-GPU
8,103017714,MobyDick-217452,Paralelo-GPU
9,111751883,MobyDick-217452,Paralelo-GPU
10,64359498,MobyDick-217452,Paralelo-GPU
11,57385494,MobyDick-217452,Paralelo-GPU
12,61332165,MobyDick-217452,Paralelo-GPU
13,99542240,MobyDick-217452,Paralelo-GPU
14,64537229,MobyDick-217452,Paralelo-GPU
15,55429424,MobyDick-217452,Paralelo-GPU
16,68008468,MobyDick-217452,Paralelo-GPU
17,79957485,MobyDick-217452,Paralelo-GPU
18,87058941,MobyDick-217452,Paralelo-GPU
19,114874863,MobyDick-217452,Paralelo-GPU
20,94471399,MobyDick-217452,Paralelo-GPU
21,104837666,MobyDick-217452,Paralelo-GPU
22,84528676,MobyDick-217452,Paralelo-GPU
23,56310588,MobyDick-217452,Paralelo-GPU
24,57257331,MobyDick-217452,Paralelo-GPU
25,67006501,MobyDick-217452,Paralelo-GPU
26,52602470,MobyDick-217452,Paralelo-GPU
27,61129599,MobyDick-217452,Paralelo-GPU
28,75090827,MobyDick-217452,Paralelo-GPU
29,97779642,MobyDick-217452,Paralelo-GPU
30,107200969,MobyDick-217452,Paralelo-GPU
31,105848428,MobyDick-217452,Paralelo-GPU
32,65829716,MobyDick-217452,Paralelo-GPU
33,55222328,MobyDick-217452,Paralelo-GPU
34,83513176,MobyDick-217452,Paralelo-GPU
35,57463057,MobyDick-217452,Paralelo-GPU
36,52929328,MobyDick-217452,Paralelo-GPU
37,52802368,MobyDick-217452,Paralelo-GPU
38,53011417,MobyDick-217452,Paralelo-GPU
39,54275297,MobyDick-217452,Paralelo-GPU
40,58246526,MobyDick-217452,Paralelo-GPU
41,52693442,MobyDick-217452,Paralelo-GPU
42,52871049,MobyDick-217452,Paralelo-GPU
43,52640269,MobyDick-217452,Paralelo-GPU
44,52863392,MobyDick-217452,Paralelo-GPU
45,59748567,MobyDick-217452,Paralelo-GPU
46,52801610,MobyDick-217452,Paralelo-GPU
47,52169532,MobyDick-217452,Paralelo-GPU
48,60342633,MobyDick-217452,Paralelo-GPU
49,53484463,MobyDick-217452,Paralelo-GPU
50,52650965,MobyDick-217452,Paralelo-GPU
51,53189983,MobyDick-217452,Paralelo-GPU
52,53403056,MobyDick-217452,Paralelo-GPU
53,118127449,MobyDick-217452,Paralelo-GPU
54,71775799,MobyDick-217452,Paralelo-GPU
55,52559367,MobyDick-217452,Paralelo-GPU
56,53744619,MobyDick-217452,Paralelo-GPU
57,52681009,MobyDick-217452,Paralelo-GPU
58,52255589,MobyDick-217452,Paralelo-GPU
59,53457005,MobyDick-217452,Paralelo-GPU
60,52281712,MobyDick-217452,Paralelo-GPU
61,52488328,MobyDick-217452,Paralelo-GPU
62,52863115,MobyDick-217452,Paralelo-GPU
63,53066255,MobyDick-217452,Paralelo-GPU
64,54497536,MobyDick-217452,Paralelo-GPU
65,53591501,MobyDick-217452,Paralelo-GPU
66,53152387,MobyDick-217452,Paralelo-GPU
67,53305056,MobyDick-217452,Paralelo-GPU
68,52535453,MobyDick-217452,Paralelo-GPU
69,52631019,MobyDick-217452,Paralelo-GPU
70,54438505,MobyDick-217452,Paralelo-GPU
71,53256490,MobyDick-217452,Paralelo-GPU
72,52472522,MobyDick-217452,Paralelo-GPU
73,53744938,MobyDick-217452,Paralelo-GPU
74,53252285,MobyDick-217452,Paralelo-GPU
75,52796376,MobyDick-217452,Paralelo-GPU
76,53146334,MobyDick-217452,Paralelo-GPU
77,52731450,MobyDick-217452,Paralelo-GPU
78,53081044,MobyDick-217452,Paralelo-GPU
79,53252729,MobyDick-217452,Paralelo-GPU
80,55184250,MobyDick-217452,Paralelo-GPU
81,57160279,MobyDick-217452,Paralelo-GPU
82,55474137,MobyDick-217452,Paralelo-GPU
83,55388292,MobyDick-217452,Paralelo-GPU
84,55908452,MobyDick-217452,Paralelo-GPU
85,55557865,MobyDick-217452,Paralelo-GPU
86,63355683,MobyDick-217452,Paralelo-GPU
87,68679470,MobyDick-217452,Paralelo-GPU
88,138116485,MobyDick-217452,Paralelo-GPU
89,163373339,MobyDick-217452,Paralelo-GPU
90,138768381,MobyDick-217452,Paralelo-GPU
91,109886069,MobyDick-217452,Paralelo-GPU
92,82049994,MobyDick-217452,Paralelo-GPU
93,95570169,MobyDick-217452,Paralelo-GPU
94,85333590,MobyDick-217452,Paralelo-GPU
95,113534309,MobyDick-217452,Paralelo-GPU
96,56672929,MobyDick-217452,Paralelo-GPU
97,56516310,MobyDick-217452,Paralelo-GPU
98,67281134,MobyDick-217452,Paralelo-GPU
99,103814591,MobyDick-217452,Paralelo-GPU
100,76370311,MobyDick-217452,Paralelo-GPU
101,67253860,MobyDick-217452,Paralelo-GPU
102,54410735,MobyDick-217452,Paralelo-GPU
103,57845240,MobyDick-217452,Paralelo-GPU
104,89022483,MobyDick-217452,Paralelo-GPU
105,74709155,MobyDick-217452,Paralelo-GPU
106,70399796,MobyDick-217452,Paralelo-GPU
107,69256832,MobyDick-217452,Paralelo-GPU
108,59768547,MobyDick-217452,Paralelo-GPU
109,91682826,MobyDick-217452,Paralelo-GPU
110,76123561,MobyDick-217452,Paralelo-GPU
111,55936273,MobyDick-217452,Paralelo-GPU
112,56180918,MobyDick-217452,Paralelo-GPU
113,57863430,MobyDick-217452,Paralelo-GPU
114,56951899,MobyDick-217452,Paralelo-GPU
115,80618553,MobyDick-217452,Paralelo-GPU
116,99711259,MobyDick-217452,Paralelo-GPU
117,58453203,MobyDick-217452,Paralelo-GPU
118,63799985,MobyDick-217452,Paralelo-GPU
119,65056764,MobyDick-217452,Paralelo-GPU
120,84519854,MobyDick-217452,Paralelo-GPU
121,105826982,MobyDick-217452,Paralelo-GPU
122,61347045,MobyDick-217452,Paralelo-GPU
123,59986244,MobyDick-217452,Paralelo-GPU
124,59923694,MobyDick-217452,Paralelo-GPU
125,59092443,MobyDick-217452,Paralelo-GPU
126,87063146,MobyDick-217452,Paralelo-GPU
127,87345760,MobyDick-217452,Paralelo-GPU
128,60838455,MobyDick-217452,Paralelo-GPU
129,59375254,MobyDick-217452,Paralelo-GPU
130,60059532,MobyDick-217452,Paralelo-GPU
131,59315886,MobyDick-217452,Paralelo-GPU
132,71328584,MobyDick-217452,Paralelo-GPU
133,76028103,MobyDick-217452,Paralelo-GPU
134,60117089,MobyDick-217452,Paralelo-GPU
135,59603693,MobyDick-217452,Paralelo-GPU
136,61259284,MobyDick-217452,Paralelo-GPU
137,60233424,MobyDick-217452,Paralelo-GPU
138,69064342,MobyDick-217452,Paralelo-GPU
139,62192839,MobyDick-217452,Paralelo-GPU
140,60257715,MobyDick-217452,Paralelo-GPU
141,60211204,MobyDick-217452,Paralelo-GPU
142,69595063,MobyDick-217452,Paralelo-GPU
143,86593605,MobyDick-217452,Paralelo-GPU
144,61681167,MobyDick-217452,Paralelo-GPU
145,59491626,MobyDick-217452,Paralelo-GPU
146,60221423,MobyDick-217452,Paralelo-GPU
147,60956814,MobyDick-217452,Paralelo-GPU
148,83176737,MobyDick-217452,Paralelo-GPU
149,100116757,MobyDick-217452,Paralelo-GPU
150,62867383,MobyDick-217452,Paralelo-GPU
151,61336672,MobyDick-217452,Paralelo-GPU
152,61640427,MobyDick-217452,Paralelo-GPU
153,85573686,MobyDick-217452,Paralelo-GPU
154,79369683,MobyDick-217452,Paralelo-GPU
155,62309199,MobyDick-217452,Paralelo-GPU
156,60471875,MobyDick-217452,Paralelo-GPU
157,62096947,MobyDick-217452,Paralelo-GPU
158,60338021,MobyDick-217452,Paralelo-GPU
159,79712042,MobyDick-217452,Paralelo-GPU
160,85614858,MobyDick-217452,Paralelo-GPU
161,65024629,MobyDick-217452,Paralelo-GPU
162,80326303,MobyDick-217452,Paralelo-GPU
163,68680556,MobyDick-217452,Paralelo-GPU
164,60381472,MobyDick-217452,Paralelo-GPU
165,62143139,MobyDick-217452,Paralelo-GPU
166,60641584,MobyDick-217452,Paralelo-GPU
167,60156890,MobyDick-217452,Paralelo-GPU
168,61547026,MobyDick-217452,Paralelo-GPU
169,68433186,MobyDick-217452,Paralelo-GPU
170,66442045,MobyDick-217452,Paralelo-GPU
171,61295929,MobyDick-217452,Paralelo-GPU
172,63029098,MobyDick-217452,Paralelo-GPU
173,94093547,MobyDick-217452,Paralelo-GPU
174,91601900,MobyDick-217452,Paralelo-GPU
175,76501676,MobyDick-217452,Paralelo-GPU
176,60657290,MobyDick-217452,Paralelo-GPU
177,63370498,MobyDick-217452,Paralelo-GPU
178,79020344,MobyDick-217452,Paralelo-GPU
179,82105468,MobyDick-217452,Paralelo-GPU
180,61542442,MobyDick-217452,Paralelo-GPU
181,61247771,MobyDick-217452,Paralelo-GPU
182,71023213,MobyDick-217452,Paralelo-GPU
183,98075550,MobyDick-217452,Paralelo-GPU
184,62764038,MobyDick-217452,Paralelo-GPU
185,61471841,MobyDick-217452,Paralelo-GPU
186,60116827,MobyDick-217452,Paralelo-GPU
187,109598623,MobyDick-217452,Paralelo-GPU
188,71086769,MobyDick-217452,Paralelo-GPU
189,88064690,MobyDick-217452,Paralelo-GPU
190,63367143,MobyDick-217452,Paralelo-GPU
191,60143526,MobyDick-217452,Paralelo-GPU
192,60263199,MobyDick-217452,Paralelo-GPU
193,60852063,MobyDick-217452,Paralelo-GPU
194,60738413,MobyDick-217452,Paralelo-GPU
195,60692877,MobyDick-217452,Paralelo-GPU
196,60335040,MobyDick-217452,Paralelo-GPU
197,77440576,MobyDick-217452,Paralelo-GPU
198,61824937,MobyDick-217452,Paralelo-GPU
199,60182870,MobyDick-217452,Paralelo-GPU
200,60721929,MobyDick-217452,Paralelo-GPU
201,60649742,MobyDick-217452,Paralelo-GPU
202,60216177,MobyDick-217452,Paralelo-GPU
203,60254164,MobyDick-217452,Paralelo-GPU
204,60904007,MobyDick-217452,Paralelo-GPU
205,60854774,MobyDick-217452,Paralelo-GPU
206,60876841,MobyDick-217452,Paralelo-GPU
207,60751878,MobyDick-217452,Paralelo-GPU
208,61204267,MobyDick-217452,Paralelo-GPU
209,60179363,MobyDick-217452,Paralelo-GPU
210,63899083,MobyDick-217452,Paralelo-GPU
211,72346964,MobyDick-217452,Paralelo-GPU
212,60583701,MobyDick-217452,Paralelo-GPU
213,60673485,MobyDick-217452,Paralelo-GPU
214,60630724,MobyDick-217452,Paralelo-GPU
215,63008693,MobyDick-217452,Paralelo-GPU
216,60283034,MobyDick-217452,Paralelo-GPU
217,59838389,MobyDick-217452,Paralelo-GPU
218,61485168,MobyDick-217452,Paralelo-GPU
219,60644203,MobyDick-217452,Paralelo-GPU
220,70778149,MobyDick-217452,Paralelo-GPU
221,64196753,MobyDick-217452,Paralelo-GPU
222,59759560,MobyDick-217452,Paralelo-GPU
223,61404184,MobyDick-217452,Paralelo-GPU
224,60261037,MobyDick-217452,Paralelo-GPU
225,59836258,MobyDick-217452,Paralelo-GPU
226,59928138,MobyDick-217452,Paralelo-GPU
227,60649919,MobyDick-217452,Paralelo-GPU
228,60745695,MobyDick-217452,Paralelo-GPU
