Iteracao,Tempo(ns),Nome_Livro,Paradigma,Quantidade_Threads
1,2681837,DonQuixote-388208,Paralelo,4
2,703268,DonQuixote-388208,Paralelo,4
3,559005,DonQuixote-388208,Paralelo,4
4,8419113,DonQuixote-388208,Paralelo,4
5,7572279,DonQuixote-388208,Paralelo,4
6,3907266,DonQuixote-388208,Paralelo,4
7,3761758,DonQuixote-388208,Paralelo,4
8,4815876,DonQuixote-388208,Paralelo,4
9,4397352,DonQuixote-388208,Paralelo,4
10,4060332,DonQuixote-388208,Paralelo,4
11,3195294,DonQuixote-388208,Paralelo,4
12,151767077,DonQuixote-388208,Paralelo,4
13,5312586,DonQuixote-388208,Paralelo,4
14,3951531,DonQuixote-388208,Paralelo,4
15,5008489,DonQuixote-388208,Paralelo,4
16,2844799,DonQuixote-388208,Paralelo,4
17,6154980,DonQuixote-388208,Paralelo,4
18,3955730,DonQuixote-388208,Paralelo,4
19,1803149,DonQuixote-388208,Paralelo,4
20,3198178,DonQuixote-388208,Paralelo,4
21,2722503,DonQuixote-388208,Paralelo,4
22,3161057,DonQuixote-388208,Paralelo,4
23,4011866,DonQuixote-388208,Paralelo,4
24,2870620,DonQuixote-388208,Paralelo,4
25,2583967,DonQuixote-388208,Paralelo,4
26,5352121,DonQuixote-388208,Paralelo,4
27,1645315,DonQuixote-388208,Paralelo,4
28,7717376,DonQuixote-388208,Paralelo,4
29,2339696,DonQuixote-388208,Paralelo,4
30,2160660,DonQuixote-388208,Paralelo,4
31,2076674,DonQuixote-388208,Paralelo,4
32,378139,DonQuixote-388208,Paralelo,4
33,568193,DonQuixote-388208,Paralelo,4
34,1563000,DonQuixote-388208,Paralelo,4
35,734324,DonQuixote-388208,Paralelo,4
36,361365,DonQuixote-388208,Paralelo,4
37,997939,DonQuixote-388208,Paralelo,4
38,639442,DonQuixote-388208,Paralelo,4
39,519419,DonQuixote-388208,Paralelo,4
40,652905,DonQuixote-388208,Paralelo,4
41,1485991,DonQuixote-388208,Paralelo,4
42,669251,DonQuixote-388208,Paralelo,4
43,330810,DonQuixote-388208,Paralelo,4
44,278250,DonQuixote-388208,Paralelo,4
45,369022,DonQuixote-388208,Paralelo,4
46,414659,DonQuixote-388208,Paralelo,4
47,372930,DonQuixote-388208,Paralelo,4
48,231740,DonQuixote-388208,Paralelo,4
49,297161,DonQuixote-388208,Paralelo,4
50,278847,DonQuixote-388208,Paralelo,4
51,281519,DonQuixote-388208,Paralelo,4
52,261696,DonQuixote-388208,Paralelo,4
53,230378,DonQuixote-388208,Paralelo,4
54,301285,DonQuixote-388208,Paralelo,4
55,207718,DonQuixote-388208,Paralelo,4
56,278694,DonQuixote-388208,Paralelo,4
57,272543,DonQuixote-388208,Paralelo,4
58,316746,DonQuixote-388208,Paralelo,4
59,215598,DonQuixote-388208,Paralelo,4
60,270796,DonQuixote-388208,Paralelo,4
61,313366,DonQuixote-388208,Paralelo,4
62,237139,DonQuixote-388208,Paralelo,4
63,280926,DonQuixote-388208,Paralelo,4
64,270928,DonQuixote-388208,Paralelo,4
65,255932,DonQuixote-388208,Paralelo,4
66,289293,DonQuixote-388208,Paralelo,4
67,215233,DonQuixote-388208,Paralelo,4
68,284180,DonQuixote-388208,Paralelo,4
69,226688,DonQuixote-388208,Paralelo,4
70,222541,DonQuixote-388208,Paralelo,4
71,318735,DonQuixote-388208,Paralelo,4
72,262390,DonQuixote-388208,Paralelo,4
73,228431,DonQuixote-388208,Paralelo,4
74,406548,DonQuixote-388208,Paralelo,4
75,378409,DonQuixote-388208,Paralelo,4
76,248806,DonQuixote-388208,Paralelo,4
77,272699,DonQuixote-388208,Paralelo,4
78,248956,DonQuixote-388208,Paralelo,4
79,273305,DonQuixote-388208,Paralelo,4
80,241886,DonQuixote-388208,Paralelo,4
81,255835,DonQuixote-388208,Paralelo,4
82,285117,DonQuixote-388208,Paralelo,4
83,307646,DonQuixote-388208,Paralelo,4
84,221663,DonQuixote-388208,Paralelo,4
85,307612,DonQuixote-388208,Paralelo,4
86,267326,DonQuixote-388208,Paralelo,4
87,275655,DonQuixote-388208,Paralelo,4
88,270576,DonQuixote-388208,Paralelo,4
89,287193,DonQuixote-388208,Paralelo,4
90,264837,DonQuixote-388208,Paralelo,4
91,290034,DonQuixote-388208,Paralelo,4
92,219942,DonQuixote-388208,Paralelo,4
93,267952,DonQuixote-388208,Paralelo,4
94,277767,DonQuixote-388208,Paralelo,4
95,240755,DonQuixote-388208,Paralelo,4
96,280064,DonQuixote-388208,Paralelo,4
97,261065,DonQuixote-388208,Paralelo,4
98,303742,DonQuixote-388208,Paralelo,4
99,213499,DonQuixote-388208,Paralelo,4
100,305836,DonQuixote-388208,Paralelo,4
101,230986,DonQuixote-388208,Paralelo,4
102,264137,DonQuixote-388208,Paralelo,4
103,220855,DonQuixote-388208,Paralelo,4
104,331983,DonQuixote-388208,Paralelo,4
105,358392,DonQuixote-388208,Paralelo,4
106,303855,DonQuixote-388208,Paralelo,4
107,248658,DonQuixote-388208,Paralelo,4
