Iteracao,Tempo(ns),Nome_Livro,Paradigma,Quantidade_Threads
1,977491,Dracula-165307,Paralelo,4
2,646745,Dracula-165307,Paralelo,4
3,644220,Dracula-165307,Paralelo,4
4,2671532,Dracula-165307,Paralelo,4
5,880259,Dracula-165307,Paralelo,4
6,1497756,Dracula-165307,Paralelo,4
7,1917534,Dracula-165307,Paralelo,4
8,1467129,Dracula-165307,Paralelo,4
9,1272632,Dracula-165307,Paralelo,4
10,2472788,Dracula-165307,Paralelo,4
11,2354247,Dracula-165307,Paralelo,4
12,2193217,Dracula-165307,Paralelo,4
13,2145680,Dracula-165307,Paralelo,4
14,3403639,Dracula-165307,Paralelo,4
15,2538741,Dracula-165307,Paralelo,4
16,2120570,Dracula-165307,Paralelo,4
17,1789398,Dracula-165307,Paralelo,4
18,8347476,Dracula-165307,Paralelo,4
19,4795381,Dracula-165307,Paralelo,4
20,8569264,Dracula-165307,Paralelo,4
21,6443062,Dracula-165307,Paralelo,4
22,2445240,Dracula-165307,Paralelo,4
23,2684441,Dracula-165307,Paralelo,4
24,2779935,Dracula-165307,Paralelo,4
25,2242753,Dracula-165307,Paralelo,4
26,3354007,Dracula-165307,Paralelo,4
27,3781672,Dracula-165307,Paralelo,4
28,1266422,Dracula-165307,Paralelo,4
29,2795540,Dracula-165307,Paralelo,4
30,979736,Dracula-165307,Paralelo,4
31,1618159,Dracula-165307,Paralelo,4
32,868694,Dracula-165307,Paralelo,4
33,886716,Dracula-165307,Paralelo,4
34,1056832,Dracula-165307,Paralelo,4
35,1903724,Dracula-165307,Paralelo,4
36,1591301,Dracula-165307,Paralelo,4
37,1125533,Dracula-165307,Paralelo,4
38,993866,Dracula-165307,Paralelo,4
39,848391,Dracula-165307,Paralelo,4
40,936610,Dracula-165307,Paralelo,4
41,1929864,Dracula-165307,Paralelo,4
42,893779,Dracula-165307,Paralelo,4
43,832012,Dracula-165307,Paralelo,4
44,967332,Dracula-165307,Paralelo,4
45,992000,Dracula-165307,Paralelo,4
46,952187,Dracula-165307,Paralelo,4
47,1378930,Dracula-165307,Paralelo,4
48,916221,Dracula-165307,Paralelo,4
49,1143447,Dracula-165307,Paralelo,4
50,710562,Dracula-165307,Paralelo,4
