Iteracao,Tempo(ns),Nome_Livro,Paradigma
1,3509838,DonQuixote-388208,Serial
2,3208027,DonQuixote-388208,Serial
3,3392348,DonQuixote-388208,Serial
4,3290799,DonQuixote-388208,Serial
5,3465351,DonQuixote-388208,Serial
6,3320026,DonQuixote-388208,Serial
7,3547771,DonQuixote-388208,Serial
8,3447124,DonQuixote-388208,Serial
9,4507571,DonQuixote-388208,Serial
10,3306047,DonQuixote-388208,Serial
11,5019075,DonQuixote-388208,Serial
12,8518068,DonQuixote-388208,Serial
13,2876913,DonQuixote-388208,Serial
14,4639674,DonQuixote-388208,Serial
15,3420465,DonQuixote-388208,Serial
16,8338088,DonQuixote-388208,Serial
17,3202195,DonQuixote-388208,Serial
18,2795675,DonQuixote-388208,Serial
19,2674736,DonQuixote-388208,Serial
20,2650193,DonQuixote-388208,Serial
21,2718558,DonQuixote-388208,Serial
22,2631136,DonQuixote-388208,Serial
23,2624669,DonQuixote-388208,Serial
24,2631769,DonQuixote-388208,Serial
25,2623225,DonQuixote-388208,Serial
26,2676476,DonQuixote-388208,Serial
27,2644309,DonQuixote-388208,Serial
28,2575629,DonQuixote-388208,Serial
29,2544475,DonQuixote-388208,Serial
30,2501410,DonQuixote-388208,Serial
31,2479260,DonQuixote-388208,Serial
32,2467818,DonQuixote-388208,Serial
33,2449525,DonQuixote-388208,Serial
34,2464689,DonQuixote-388208,Serial
35,2508084,DonQuixote-388208,Serial
36,2512749,DonQuixote-388208,Serial
37,2565003,DonQuixote-388208,Serial
38,2481337,DonQuixote-388208,Serial
39,2662770,DonQuixote-388208,Serial
40,2720897,DonQuixote-388208,Serial
41,2568884,DonQuixote-388208,Serial
42,2521737,DonQuixote-388208,Serial
43,2498400,DonQuixote-388208,Serial
44,2476214,DonQuixote-388208,Serial
45,2456353,DonQuixote-388208,Serial
46,2443405,DonQuixote-388208,Serial
47,2477634,DonQuixote-388208,Serial
48,2471794,DonQuixote-388208,Serial
49,2490248,DonQuixote-388208,Serial
50,2464322,DonQuixote-388208,Serial
51,2477197,DonQuixote-388208,Serial
52,2462806,DonQuixote-388208,Serial
53,2474300,DonQuixote-388208,Serial
54,2512214,DonQuixote-388208,Serial
55,2519976,DonQuixote-388208,Serial
56,2522316,DonQuixote-388208,Serial
57,2500194,DonQuixote-388208,Serial
58,2490869,DonQuixote-388208,Serial
59,2485996,DonQuixote-388208,Serial
60,2552925,DonQuixote-388208,Serial
61,2489908,DonQuixote-388208,Serial
62,2488129,DonQuixote-388208,Serial
63,2454413,DonQuixote-388208,Serial
64,2452634,DonQuixote-388208,Serial
65,2469680,DonQuixote-388208,Serial
66,2450545,DonQuixote-388208,Serial
67,2464782,DonQuixote-388208,Serial
68,2474654,DonQuixote-388208,Serial
69,2606471,DonQuixote-388208,Serial
70,2466776,DonQuixote-388208,Serial
71,2467566,DonQuixote-388208,Serial
72,2459007,DonQuixote-388208,Serial
73,2477609,DonQuixote-388208,Serial
74,2473212,DonQuixote-388208,Serial
75,2491225,DonQuixote-388208,Serial
76,2499697,DonQuixote-388208,Serial
77,2481666,DonQuixote-388208,Serial
78,2461859,DonQuixote-388208,Serial
79,2468284,DonQuixote-388208,Serial
80,2472453,DonQuixote-388208,Serial
81,2480762,DonQuixote-388208,Serial
82,2524648,DonQuixote-388208,Serial
83,2487236,DonQuixote-388208,Serial
84,2472923,DonQuixote-388208,Serial
85,2509372,DonQuixote-388208,Serial
86,2471793,DonQuixote-388208,Serial
87,2471607,DonQuixote-388208,Serial
88,2476312,DonQuixote-388208,Serial
89,2496889,DonQuixote-388208,Serial
90,2445037,DonQuixote-388208,Serial
91,2463762,DonQuixote-388208,Serial
92,2450738,DonQuixote-388208,Serial
93,2487904,DonQuixote-388208,Serial
94,2463598,DonQuixote-388208,Serial
95,2478815,DonQuixote-388208,Serial
96,2487238,DonQuixote-388208,Serial
97,2461002,DonQuixote-388208,Serial
98,2560867,DonQuixote-388208,Serial
99,2506456,DonQuixote-388208,Serial
100,2480323,DonQuixote-388208,Serial
101,2495855,DonQuixote-388208,Serial
102,2558221,DonQuixote-388208,Serial
103,2463732,DonQuixote-388208,Serial
104,2505946,DonQuixote-388208,Serial
105,2481148,DonQuixote-388208,Serial
106,2457588,DonQuixote-388208,Serial
107,2467987,DonQuixote-388208,Serial
108,2461946,DonQuixote-388208,Serial
109,2481905,DonQuixote-388208,Serial
110,2453498,DonQuixote-388208,Serial
111,2567414,DonQuixote-388208,Serial
112,2476997,DonQuixote-388208,Serial
113,2609805,DonQuixote-388208,Serial
114,2648356,DonQuixote-388208,Serial
115,2684468,DonQuixote-388208,Serial
116,2701412,DonQuixote-388208,Serial
117,2629659,DonQuixote-388208,Serial
118,2503095,DonQuixote-388208,Serial
119,2467101,DonQuixote-388208,Serial
120,2487562,DonQuixote-388208,Serial
121,2498256,DonQuixote-388208,Serial
122,2545214,DonQuixote-388208,Serial
123,2500360,DonQuixote-388208,Serial
124,2458863,DonQuixote-388208,Serial
125,2467082,DonQuixote-388208,Serial
126,2455609,DonQuixote-388208,Serial
127,2455960,DonQuixote-388208,Serial
128,2481869,DonQuixote-388208,Serial
129,2476340,DonQuixote-388208,Serial
130,2453994,DonQuixote-388208,Serial
131,2466945,DonQuixote-388208,Serial
132,2464877,DonQuixote-388208,Serial
133,2457207,DonQuixote-388208,Serial
134,2449846,DonQuixote-388208,Serial
135,2472249,DonQuixote-388208,Serial
136,2512781,DonQuixote-388208,Serial
137,2459012,DonQuixote-388208,Serial
138,2472589,DonQuixote-388208,Serial
139,2491423,DonQuixote-388208,Serial
140,3437401,DonQuixote-388208,Serial
141,2891234,DonQuixote-388208,Serial
142,2573003,DonQuixote-388208,Serial
143,2512049,DonQuixote-388208,Serial
144,2492481,DonQuixote-388208,Serial
145,2501740,DonQuixote-388208,Serial
146,2490012,DonQuixote-388208,Serial
147,2485493,DonQuixote-388208,Serial
148,2501872,DonQuixote-388208,Serial
149,2467051,DonQuixote-388208,Serial
150,2447540,DonQuixote-388208,Serial
151,2525822,DonQuixote-388208,Serial
152,2450785,DonQuixote-388208,Serial
153,2731166,DonQuixote-388208,Serial
154,2548903,DonQuixote-388208,Serial
155,2581862,DonQuixote-388208,Serial
156,2525402,DonQuixote-388208,Serial
157,2491988,DonQuixote-388208,Serial
158,2470210,DonQuixote-388208,Serial
159,2490737,DonQuixote-388208,Serial
160,2504980,DonQuixote-388208,Serial
161,2801213,DonQuixote-388208,Serial
162,2599006,DonQuixote-388208,Serial
163,2520283,DonQuixote-388208,Serial
164,2495567,DonQuixote-388208,Serial
165,2472640,DonQuixote-388208,Serial
166,2482370,DonQuixote-388208,Serial
167,2481206,DonQuixote-388208,Serial
168,2489547,DonQuixote-388208,Serial
169,2494121,DonQuixote-388208,Serial
170,2456015,DonQuixote-388208,Serial
171,2667847,DonQuixote-388208,Serial
172,2668307,DonQuixote-388208,Serial
173,2892483,DonQuixote-388208,Serial
174,2903053,DonQuixote-388208,Serial
175,2733240,DonQuixote-388208,Serial
176,3074850,DonQuixote-388208,Serial
177,2728401,DonQuixote-388208,Serial
178,2688064,DonQuixote-388208,Serial
179,2659353,DonQuixote-388208,Serial
180,3397620,DonQuixote-388208,Serial
181,3433163,DonQuixote-388208,Serial
182,3316937,DonQuixote-388208,Serial
183,3280309,DonQuixote-388208,Serial
184,3303554,DonQuixote-388208,Serial
185,3249412,DonQuixote-388208,Serial
186,3335948,DonQuixote-388208,Serial
187,3487263,DonQuixote-388208,Serial
188,3515654,DonQuixote-388208,Serial
189,3485019,DonQuixote-388208,Serial
190,3479302,DonQuixote-388208,Serial
191,4453476,DonQuixote-388208,Serial
192,3425757,DonQuixote-388208,Serial
193,3507356,DonQuixote-388208,Serial
194,2999843,DonQuixote-388208,Serial
195,4964347,DonQuixote-388208,Serial
196,7653956,DonQuixote-388208,Serial
197,3210490,DonQuixote-388208,Serial
198,3284565,DonQuixote-388208,Serial
199,3214947,DonQuixote-388208,Serial
200,3202378,DonQuixote-388208,Serial
201,3192250,DonQuixote-388208,Serial
202,3214977,DonQuixote-388208,Serial
203,3193641,DonQuixote-388208,Serial
204,3158538,DonQuixote-388208,Serial
205,3168380,DonQuixote-388208,Serial
206,3247954,DonQuixote-388208,Serial
207,3179849,DonQuixote-388208,Serial
208,3163700,DonQuixote-388208,Serial
209,3121764,DonQuixote-388208,Serial
210,3100768,DonQuixote-388208,Serial
211,3111667,DonQuixote-388208,Serial
212,3100419,DonQuixote-388208,Serial
213,3135665,DonQuixote-388208,Serial
214,3092290,DonQuixote-388208,Serial
215,2988961,DonQuixote-388208,Serial
216,3106734,DonQuixote-388208,Serial
217,2898135,DonQuixote-388208,Serial
218,2586389,DonQuixote-388208,Serial
219,2640204,DonQuixote-388208,Serial
220,2554909,DonQuixote-388208,Serial
221,2554533,DonQuixote-388208,Serial
222,2552044,DonQuixote-388208,Serial
223,2544108,DonQuixote-388208,Serial
224,2561130,DonQuixote-388208,Serial
225,2647187,DonQuixote-388208,Serial
226,2582255,DonQuixote-388208,Serial
227,2541411,DonQuixote-388208,Serial
228,2541779,DonQuixote-388208,Serial
229,2521443,DonQuixote-388208,Serial
230,2539267,DonQuixote-388208,Serial
231,2606811,DonQuixote-388208,Serial
232,2522818,DonQuixote-388208,Serial
233,2534720,DonQuixote-388208,Serial
234,2744299,DonQuixote-388208,Serial
235,2833425,DonQuixote-388208,Serial
236,2941204,DonQuixote-388208,Serial
237,2921862,DonQuixote-388208,Serial
238,2960307,DonQuixote-388208,Serial
239,3204630,DonQuixote-388208,Serial
240,3204877,DonQuixote-388208,Serial
241,2740891,DonQuixote-388208,Serial
242,2637258,DonQuixote-388208,Serial
243,2726067,DonQuixote-388208,Serial
244,2552278,DonQuixote-388208,Serial
245,2575188,DonQuixote-388208,Serial
246,2541247,DonQuixote-388208,Serial
247,2528264,DonQuixote-388208,Serial
248,3258932,DonQuixote-388208,Serial
249,3331859,DonQuixote-388208,Serial
250,3273473,DonQuixote-388208,Serial
251,3290116,DonQuixote-388208,Serial
252,3280703,DonQuixote-388208,Serial
253,3303888,DonQuixote-388208,Serial
254,3707495,DonQuixote-388208,Serial
255,3323432,DonQuixote-388208,Serial
256,3178495,DonQuixote-388208,Serial
257,3240026,DonQuixote-388208,Serial
258,3300598,DonQuixote-388208,Serial
259,3880408,DonQuixote-388208,Serial
260,3335000,DonQuixote-388208,Serial
261,3307304,DonQuixote-388208,Serial
262,3301324,DonQuixote-388208,Serial
263,3601313,DonQuixote-388208,Serial
264,2800260,DonQuixote-388208,Serial
265,2563871,DonQuixote-388208,Serial
266,2769359,DonQuixote-388208,Serial
267,4910982,DonQuixote-388208,Serial
268,3362282,DonQuixote-388208,Serial
269,3749695,DonQuixote-388208,Serial
270,3312797,DonQuixote-388208,Serial
271,3477898,DonQuixote-388208,Serial
272,3546645,DonQuixote-388208,Serial
273,3503724,DonQuixote-388208,Serial
274,3684109,DonQuixote-388208,Serial
275,3411147,DonQuixote-388208,Serial
276,3547110,DonQuixote-388208,Serial
277,3488658,DonQuixote-388208,Serial
278,3523747,DonQuixote-388208,Serial
279,3559270,DonQuixote-388208,Serial
280,3495719,DonQuixote-388208,Serial
281,3328558,DonQuixote-388208,Serial
282,3316056,DonQuixote-388208,Serial
283,5251799,DonQuixote-388208,Serial
284,4984041,DonQuixote-388208,Serial
285,3483267,DonQuixote-388208,Serial
286,2701007,DonQuixote-388208,Serial
287,2690976,DonQuixote-388208,Serial
288,2712502,DonQuixote-388208,Serial
289,2619736,DonQuixote-388208,Serial
290,2681840,DonQuixote-388208,Serial
291,2787030,DonQuixote-388208,Serial
292,3228380,DonQuixote-388208,Serial
293,2649322,DonQuixote-388208,Serial
294,2597658,DonQuixote-388208,Serial
295,2728516,DonQuixote-388208,Serial
296,2720541,DonQuixote-388208,Serial
297,2599894,DonQuixote-388208,Serial
298,2658644,DonQuixote-388208,Serial
299,2632825,DonQuixote-388208,Serial
300,2570188,DonQuixote-388208,Serial
301,2543186,DonQuixote-388208,Serial
302,2509471,DonQuixote-388208,Serial
303,2571053,DonQuixote-388208,Serial
304,2614610,DonQuixote-388208,Serial
305,2526557,DonQuixote-388208,Serial
306,2582903,DonQuixote-388208,Serial
307,2498921,DonQuixote-388208,Serial
308,2524472,DonQuixote-388208,Serial
309,2508461,DonQuixote-388208,Serial
310,2491640,DonQuixote-388208,Serial
311,2540161,DonQuixote-388208,Serial
312,2868108,DonQuixote-388208,Serial
313,2701608,DonQuixote-388208,Serial
314,2502663,DonQuixote-388208,Serial
315,2475778,DonQuixote-388208,Serial
