Iteracao,Tempo(ns),Nome_Livro,Paradigma
1,1418260,Dracula-165307,Serial
2,1502993,Dracula-165307,Serial
3,1179813,Dracula-165307,Serial
4,1135940,Dracula-165307,Serial
5,1107161,Dracula-165307,Serial
6,1104567,Dracula-165307,Serial
7,1142795,Dracula-165307,Serial
8,1167454,Dracula-165307,Serial
9,1119106,Dracula-165307,Serial
10,1325174,Dracula-165307,Serial
11,1172287,Dracula-165307,Serial
12,1122785,Dracula-165307,Serial
13,1111280,Dracula-165307,Serial
14,1156770,Dracula-165307,Serial
15,1228736,Dracula-165307,Serial
16,1145648,Dracula-165307,Serial
17,1127732,Dracula-165307,Serial
18,1379228,Dracula-165307,Serial
19,1199687,Dracula-165307,Serial
20,1108172,Dracula-165307,Serial
21,1166275,Dracula-165307,Serial
22,1187057,Dracula-165307,Serial
23,1114572,Dracula-165307,Serial
24,1201939,Dracula-165307,Serial
25,1167986,Dracula-165307,Serial
26,1675409,Dracula-165307,Serial
27,1470674,Dracula-165307,Serial
28,1573501,Dracula-165307,Serial
29,1588560,Dracula-165307,Serial
30,6277913,Dracula-165307,Serial
31,1538157,Dracula-165307,Serial
32,5170292,Dracula-165307,Serial
33,1325063,Dracula-165307,Serial
34,5212603,Dracula-165307,Serial
35,1132619,Dracula-165307,Serial
36,6230092,Dracula-165307,Serial
37,1247774,Dracula-165307,Serial
38,1131945,Dracula-165307,Serial
39,1173926,Dracula-165307,Serial
40,1490443,Dracula-165307,Serial
41,1329535,Dracula-165307,Serial
42,1158811,Dracula-165307,Serial
43,1144256,Dracula-165307,Serial
44,1169361,Dracula-165307,Serial
45,1131584,Dracula-165307,Serial
46,1338364,Dracula-165307,Serial
47,1122396,Dracula-165307,Serial
48,1269175,Dracula-165307,Serial
49,1176110,Dracula-165307,Serial
50,1124841,Dracula-165307,Serial
