Iteracao,Tempo(ns),Nome_Livro,Paradigma
1,29774459,MobyDick-217452,Serial
2,8398777,MobyDick-217452,Serial
3,7886357,MobyDick-217452,Serial
4,9091329,MobyDick-217452,Serial
5,1640365,MobyDick-217452,Serial
6,1855365,MobyDick-217452,Serial
7,1541304,MobyDick-217452,Serial
8,1537805,MobyDick-217452,Serial
9,1701998,MobyDick-217452,Serial
10,1623157,MobyDick-217452,Serial
11,1478215,MobyDick-217452,Serial
12,1401921,MobyDick-217452,Serial
13,1523963,MobyDick-217452,Serial
14,1644470,MobyDick-217452,Serial
15,1627403,MobyDick-217452,Serial
16,1849844,MobyDick-217452,Serial
17,1583330,MobyDick-217452,Serial
18,1617882,MobyDick-217452,Serial
19,1605616,MobyDick-217452,Serial
20,2231523,MobyDick-217452,Serial
21,1732649,MobyDick-217452,Serial
22,1725529,MobyDick-217452,Serial
23,1585177,MobyDick-217452,Serial
24,1585388,MobyDick-217452,Serial
25,1580960,MobyDick-217452,Serial
26,1568772,MobyDick-217452,Serial
27,2627899,MobyDick-217452,Serial
28,1571517,MobyDick-217452,Serial
29,1815050,MobyDick-217452,Serial
30,1625145,MobyDick-217452,Serial
31,1466728,MobyDick-217452,Serial
32,1734889,MobyDick-217452,Serial
33,1497681,MobyDick-217452,Serial
34,1663447,MobyDick-217452,Serial
35,1498038,MobyDick-217452,Serial
36,1467078,MobyDick-217452,Serial
37,1455190,MobyDick-217452,Serial
38,2307127,MobyDick-217452,Serial
39,1647041,MobyDick-217452,Serial
40,1496186,MobyDick-217452,Serial
41,1590073,MobyDick-217452,Serial
42,1442327,MobyDick-217452,Serial
43,1762164,MobyDick-217452,Serial
44,1661174,MobyDick-217452,Serial
45,1493180,MobyDick-217452,Serial
46,1448249,MobyDick-217452,Serial
47,1763088,MobyDick-217452,Serial
48,1677941,MobyDick-217452,Serial
49,1631004,MobyDick-217452,Serial
50,1810316,MobyDick-217452,Serial
