Iteracao,Tempo(ns),Nome_Livro,Paradigma
1,77304367,DonQuixote-388208,Paralelo-GPU
2,67679176,DonQuixote-388208,Paralelo-GPU
3,61958683,DonQuixote-388208,Paralelo-GPU
4,61925835,DonQuixote-388208,Paralelo-GPU
5,62611925,DonQuixote-388208,Paralelo-GPU
6,61724435,DonQuixote-388208,Paralelo-GPU
7,61679319,DonQuixote-388208,Paralelo-GPU
8,62200688,DonQuixote-388208,Paralelo-GPU
9,61710097,DonQuixote-388208,Paralelo-GPU
10,62120455,DonQuixote-388208,Paralelo-GPU
11,62161615,DonQuixote-388208,Paralelo-GPU
12,61816314,DonQuixote-388208,Paralelo-GPU
13,62112349,DonQuixote-388208,Paralelo-GPU
14,62132873,DonQuixote-388208,Paralelo-GPU
15,61921790,DonQuixote-388208,Paralelo-GPU
16,61975727,DonQuixote-388208,Paralelo-GPU
17,61928013,DonQuixote-388208,Paralelo-GPU
18,63733362,DonQuixote-388208,Paralelo-GPU
19,62743634,DonQuixote-388208,Paralelo-GPU
20,62256337,DonQuixote-388208,Paralelo-GPU
21,61834091,DonQuixote-388208,Paralelo-GPU
22,61920016,DonQuixote-388208,Paralelo-GPU
23,62512449,DonQuixote-388208,Paralelo-GPU
24,62167361,DonQuixote-388208,Paralelo-GPU
25,62236721,DonQuixote-388208,Paralelo-GPU
26,62782001,DonQuixote-388208,Paralelo-GPU
27,64342137,DonQuixote-388208,Paralelo-GPU
28,67085373,DonQuixote-388208,Paralelo-GPU
29,63528691,DonQuixote-388208,Paralelo-GPU
30,64803467,DonQuixote-388208,Paralelo-GPU
31,66334394,DonQuixote-388208,Paralelo-GPU
32,62256418,DonQuixote-388208,Paralelo-GPU
33,67005311,DonQuixote-388208,Paralelo-GPU
34,67029272,DonQuixote-388208,Paralelo-GPU
35,65548065,DonQuixote-388208,Paralelo-GPU
36,65982042,DonQuixote-388208,Paralelo-GPU
37,67502237,DonQuixote-388208,Paralelo-GPU
38,67207280,DonQuixote-388208,Paralelo-GPU
39,64356644,DonQuixote-388208,Paralelo-GPU
40,62096459,DonQuixote-388208,Paralelo-GPU
41,62236932,DonQuixote-388208,Paralelo-GPU
42,63035468,DonQuixote-388208,Paralelo-GPU
43,62343026,DonQuixote-388208,Paralelo-GPU
44,62962386,DonQuixote-388208,Paralelo-GPU
45,63099127,DonQuixote-388208,Paralelo-GPU
46,61969448,DonQuixote-388208,Paralelo-GPU
47,61349461,DonQuixote-388208,Paralelo-GPU
48,60998292,DonQuixote-388208,Paralelo-GPU
