Iteracao,Tempo(ns),Nome_Livro,Paradigma
1,74170155,DonQuixote-388208,Paralelo-GPU
2,64210899,DonQuixote-388208,Paralelo-GPU
3,63383255,DonQuixote-388208,Paralelo-GPU
4,71069802,DonQuixote-388208,Paralelo-GPU
5,62298922,DonQuixote-388208,Paralelo-GPU
6,64235830,DonQuixote-388208,Paralelo-GPU
7,63009944,DonQuixote-388208,Paralelo-GPU
8,55462517,DonQuixote-388208,Paralelo-GPU
9,66966755,DonQuixote-388208,Paralelo-GPU
10,73853148,DonQuixote-388208,Paralelo-GPU
11,61230519,DonQuixote-388208,Paralelo-GPU
12,67941859,DonQuixote-388208,Paralelo-GPU
13,59777741,DonQuixote-388208,Paralelo-GPU
14,61973799,DonQuixote-388208,Paralelo-GPU
15,65156055,DonQuixote-388208,Paralelo-GPU
16,59528713,DonQuixote-388208,Paralelo-GPU
17,66598328,DonQuixote-388208,Paralelo-GPU
18,59610211,DonQuixote-388208,Paralelo-GPU
19,58704948,DonQuixote-388208,Paralelo-GPU
20,61684587,DonQuixote-388208,Paralelo-GPU
21,76469431,DonQuixote-388208,Paralelo-GPU
22,64713149,DonQuixote-388208,Paralelo-GPU
23,62199574,DonQuixote-388208,Paralelo-GPU
24,61075802,DonQuixote-388208,Paralelo-GPU
25,62031713,DonQuixote-388208,Paralelo-GPU
26,115475004,DonQuixote-388208,Paralelo-GPU
27,61467236,DonQuixote-388208,Paralelo-GPU
28,61671399,DonQuixote-388208,Paralelo-GPU
29,84037514,DonQuixote-388208,Paralelo-GPU
30,66268439,DonQuixote-388208,Paralelo-GPU
31,61634189,DonQuixote-388208,Paralelo-GPU
32,60997546,DonQuixote-388208,Paralelo-GPU
33,60607820,DonQuixote-388208,Paralelo-GPU
34,60684466,DonQuixote-388208,Paralelo-GPU
35,133005079,DonQuixote-388208,Paralelo-GPU
36,231886762,DonQuixote-388208,Paralelo-GPU
37,155752240,DonQuixote-388208,Paralelo-GPU
38,108908210,DonQuixote-388208,Paralelo-GPU
39,115403388,DonQuixote-388208,Paralelo-GPU
40,83017844,DonQuixote-388208,Paralelo-GPU
41,77420592,DonQuixote-388208,Paralelo-GPU
42,63518907,DonQuixote-388208,Paralelo-GPU
43,67605073,DonQuixote-388208,Paralelo-GPU
44,74338670,DonQuixote-388208,Paralelo-GPU
45,66032713,DonQuixote-388208,Paralelo-GPU
46,92493861,DonQuixote-388208,Paralelo-GPU
47,95588049,DonQuixote-388208,Paralelo-GPU
48,69457811,DonQuixote-388208,Paralelo-GPU
49,66120759,DonQuixote-388208,Paralelo-GPU
50,69552775,DonQuixote-388208,Paralelo-GPU
