Iteracao,Tempo(ns),Nome_Livro,Paradigma
1,95442252,Dracula-165307,Paralelo-GPU
2,133369965,Dracula-165307,Paralelo-GPU
3,88130611,Dracula-165307,Paralelo-GPU
4,69793145,Dracula-165307,Paralelo-GPU
5,70075654,Dracula-165307,Paralelo-GPU
6,64809582,Dracula-165307,Paralelo-GPU
7,64439186,Dracula-165307,Paralelo-GPU
8,78246580,Dracula-165307,Paralelo-GPU
9,67986428,Dracula-165307,Paralelo-GPU
10,68971092,Dracula-165307,Paralelo-GPU
11,71908998,Dracula-165307,Paralelo-GPU
12,68630260,Dracula-165307,Paralelo-GPU
13,70494907,Dracula-165307,Paralelo-GPU
14,69239627,Dracula-165307,Paralelo-GPU
15,68584297,Dracula-165307,Paralelo-GPU
16,71701682,Dracula-165307,Paralelo-GPU
17,73424389,Dracula-165307,Paralelo-GPU
18,74608570,Dracula-165307,Paralelo-GPU
19,69858706,Dracula-165307,Paralelo-GPU
20,91389313,Dracula-165307,Paralelo-GPU
21,96503766,Dracula-165307,Paralelo-GPU
22,70205301,Dracula-165307,Paralelo-GPU
23,94310341,Dracula-165307,Paralelo-GPU
24,62321714,Dracula-165307,Paralelo-GPU
25,63705181,Dracula-165307,Paralelo-GPU
26,83195249,Dracula-165307,Paralelo-GPU
27,88780791,Dracula-165307,Paralelo-GPU
28,83640786,Dracula-165307,Paralelo-GPU
29,87489140,Dracula-165307,Paralelo-GPU
30,85426139,Dracula-165307,Paralelo-GPU
31,90670310,Dracula-165307,Paralelo-GPU
32,81193660,Dracula-165307,Paralelo-GPU
33,78683438,Dracula-165307,Paralelo-GPU
34,81752929,Dracula-165307,Paralelo-GPU
35,83877555,Dracula-165307,Paralelo-GPU
36,76209457,Dracula-165307,Paralelo-GPU
37,82274442,Dracula-165307,Paralelo-GPU
38,79937193,Dracula-165307,Paralelo-GPU
39,82709632,Dracula-165307,Paralelo-GPU
40,82683536,Dracula-165307,Paralelo-GPU
41,85583341,Dracula-165307,Paralelo-GPU
42,76342342,Dracula-165307,Paralelo-GPU
43,76967912,Dracula-165307,Paralelo-GPU
44,81883287,Dracula-165307,Paralelo-GPU
45,84089873,Dracula-165307,Paralelo-GPU
46,82838902,Dracula-165307,Paralelo-GPU
47,81905472,Dracula-165307,Paralelo-GPU
48,75339108,Dracula-165307,Paralelo-GPU
49,76274129,Dracula-165307,Paralelo-GPU
50,79486972,Dracula-165307,Paralelo-GPU
51,73021963,Dracula-165307,Paralelo-GPU
52,80379146,Dracula-165307,Paralelo-GPU
53,84496070,Dracula-165307,Paralelo-GPU
54,101590255,Dracula-165307,Paralelo-GPU
55,98241570,Dracula-165307,Paralelo-GPU
56,107310067,Dracula-165307,Paralelo-GPU
57,99119808,Dracula-165307,Paralelo-GPU
58,107595914,Dracula-165307,Paralelo-GPU
59,92230505,Dracula-165307,Paralelo-GPU
60,96644867,Dracula-165307,Paralelo-GPU
61,92752070,Dracula-165307,Paralelo-GPU
62,102199020,Dracula-165307,Paralelo-GPU
63,93210741,Dracula-165307,Paralelo-GPU
64,106654827,Dracula-165307,Paralelo-GPU
65,108262158,Dracula-165307,Paralelo-GPU
66,100569686,Dracula-165307,Paralelo-GPU
67,96903262,Dracula-165307,Paralelo-GPU
68,112562762,Dracula-165307,Paralelo-GPU
69,133768899,Dracula-165307,Paralelo-GPU
70,146515807,Dracula-165307,Paralelo-GPU
71,119165586,Dracula-165307,Paralelo-GPU
72,92452095,Dracula-165307,Paralelo-GPU
73,67198640,Dracula-165307,Paralelo-GPU
74,65647959,Dracula-165307,Paralelo-GPU
75,74308720,Dracula-165307,Paralelo-GPU
76,77387626,Dracula-165307,Paralelo-GPU
77,91650853,Dracula-165307,Paralelo-GPU
78,69553033,Dracula-165307,Paralelo-GPU
79,69900442,Dracula-165307,Paralelo-GPU
80,78049132,Dracula-165307,Paralelo-GPU
81,98392421,Dracula-165307,Paralelo-GPU
82,70900770,Dracula-165307,Paralelo-GPU
83,87022404,Dracula-165307,Paralelo-GPU
84,66916879,Dracula-165307,Paralelo-GPU
85,63347988,Dracula-165307,Paralelo-GPU
86,69258357,Dracula-165307,Paralelo-GPU
87,80547716,Dracula-165307,Paralelo-GPU
88,67259223,Dracula-165307,Paralelo-GPU
89,61606581,Dracula-165307,Paralelo-GPU
90,61423280,Dracula-165307,Paralelo-GPU
91,63083184,Dracula-165307,Paralelo-GPU
92,78498272,Dracula-165307,Paralelo-GPU
93,72383927,Dracula-165307,Paralelo-GPU
94,69376547,Dracula-165307,Paralelo-GPU
95,79732050,Dracula-165307,Paralelo-GPU
96,69791596,Dracula-165307,Paralelo-GPU
97,80924611,Dracula-165307,Paralelo-GPU
98,74875341,Dracula-165307,Paralelo-GPU
99,69181047,Dracula-165307,Paralelo-GPU
100,59737179,Dracula-165307,Paralelo-GPU
101,72416392,Dracula-165307,Paralelo-GPU
102,59722988,Dracula-165307,Paralelo-GPU
103,57549060,Dracula-165307,Paralelo-GPU
104,57351755,Dracula-165307,Paralelo-GPU
105,58128995,Dracula-165307,Paralelo-GPU
106,57066461,Dracula-165307,Paralelo-GPU
107,58761724,Dracula-165307,Paralelo-GPU
108,57495567,Dracula-165307,Paralelo-GPU
109,57491648,Dracula-165307,Paralelo-GPU
110,67477058,Dracula-165307,Paralelo-GPU
