Iteracao,Tempo(ns),Nome_Livro,Paradigma
1,61685001,Dracula-165307,Paralelo-GPU
2,61689601,Dracula-165307,Paralelo-GPU
3,57510116,Dracula-165307,Paralelo-GPU
4,67121484,Dracula-165307,Paralelo-GPU
5,71627122,Dracula-165307,Paralelo-GPU
6,75012209,Dracula-165307,Paralelo-GPU
7,67361366,Dracula-165307,Paralelo-GPU
8,77425352,Dracula-165307,Paralelo-GPU
9,121123447,Dracula-165307,Paralelo-GPU
10,67975291,Dracula-165307,Paralelo-GPU
11,54511244,Dracula-165307,Paralelo-GPU
12,54918390,Dracula-165307,Paralelo-GPU
13,75959931,Dracula-165307,Paralelo-GPU
14,63919013,Dracula-165307,Paralelo-GPU
15,59929076,Dracula-165307,Paralelo-GPU
16,53087803,Dracula-165307,Paralelo-GPU
17,56495569,Dracula-165307,Paralelo-GPU
18,54133787,Dracula-165307,Paralelo-GPU
19,54212383,Dracula-165307,Paralelo-GPU
20,50681015,Dracula-165307,Paralelo-GPU
21,50547252,Dracula-165307,Paralelo-GPU
22,55186667,Dracula-165307,Paralelo-GPU
23,58022070,Dracula-165307,Paralelo-GPU
24,52019714,Dracula-165307,Paralelo-GPU
25,53495984,Dracula-165307,Paralelo-GPU
26,52680815,Dracula-165307,Paralelo-GPU
27,54549338,Dracula-165307,Paralelo-GPU
28,69624415,Dracula-165307,Paralelo-GPU
29,63918018,Dracula-165307,Paralelo-GPU
30,66894632,Dracula-165307,Paralelo-GPU
31,51627798,Dracula-165307,Paralelo-GPU
32,57227986,Dracula-165307,Paralelo-GPU
33,61996491,Dracula-165307,Paralelo-GPU
34,51887966,Dracula-165307,Paralelo-GPU
35,52514089,Dracula-165307,Paralelo-GPU
36,52409822,Dracula-165307,Paralelo-GPU
37,51352883,Dracula-165307,Paralelo-GPU
38,51330623,Dracula-165307,Paralelo-GPU
39,56292598,Dracula-165307,Paralelo-GPU
40,51167549,Dracula-165307,Paralelo-GPU
41,50375062,Dracula-165307,Paralelo-GPU
42,68669155,Dracula-165307,Paralelo-GPU
43,69541184,Dracula-165307,Paralelo-GPU
44,97534758,Dracula-165307,Paralelo-GPU
45,55132689,Dracula-165307,Paralelo-GPU
46,51419949,Dracula-165307,Paralelo-GPU
47,59023725,Dracula-165307,Paralelo-GPU
48,57864299,Dracula-165307,Paralelo-GPU
49,51865324,Dracula-165307,Paralelo-GPU
50,52537040,Dracula-165307,Paralelo-GPU
