Iteracao,Tempo(ns),Nome_Livro,Paradigma
1,138408684,MobyDick-217452,Paralelo-GPU
2,62509871,MobyDick-217452,Paralelo-GPU
3,64480678,MobyDick-217452,Paralelo-GPU
4,59705979,MobyDick-217452,Paralelo-GPU
5,60931847,MobyDick-217452,Paralelo-GPU
6,62688524,MobyDick-217452,Paralelo-GPU
7,62348876,MobyDick-217452,Paralelo-GPU
8,62581330,MobyDick-217452,Paralelo-GPU
9,64357351,MobyDick-217452,Paralelo-GPU
10,63123848,MobyDick-217452,Paralelo-GPU
11,61889750,MobyDick-217452,Paralelo-GPU
12,62031261,MobyDick-217452,Paralelo-GPU
13,61619107,MobyDick-217452,Paralelo-GPU
14,59264938,MobyDick-217452,Paralelo-GPU
15,64239255,MobyDick-217452,Paralelo-GPU
16,60012332,MobyDick-217452,Paralelo-GPU
17,59353173,MobyDick-217452,Paralelo-GPU
18,60464168,MobyDick-217452,Paralelo-GPU
19,59466400,MobyDick-217452,Paralelo-GPU
20,58749341,MobyDick-217452,Paralelo-GPU
21,61400958,MobyDick-217452,Paralelo-GPU
22,59479302,MobyDick-217452,Paralelo-GPU
23,59857963,MobyDick-217452,Paralelo-GPU
24,58608764,MobyDick-217452,Paralelo-GPU
25,59647784,MobyDick-217452,Paralelo-GPU
26,58147044,MobyDick-217452,Paralelo-GPU
27,58645931,MobyDick-217452,Paralelo-GPU
28,59698075,MobyDick-217452,Paralelo-GPU
29,64505573,MobyDick-217452,Paralelo-GPU
30,58748069,MobyDick-217452,Paralelo-GPU
31,59417015,MobyDick-217452,Paralelo-GPU
32,58966363,MobyDick-217452,Paralelo-GPU
33,58733896,MobyDick-217452,Paralelo-GPU
34,58844495,MobyDick-217452,Paralelo-GPU
35,59069882,MobyDick-217452,Paralelo-GPU
36,58520026,MobyDick-217452,Paralelo-GPU
37,58858237,MobyDick-217452,Paralelo-GPU
38,59304482,MobyDick-217452,Paralelo-GPU
39,73432899,MobyDick-217452,Paralelo-GPU
40,74651119,MobyDick-217452,Paralelo-GPU
41,76394833,MobyDick-217452,Paralelo-GPU
42,102783187,MobyDick-217452,Paralelo-GPU
43,121975382,MobyDick-217452,Paralelo-GPU
44,150379641,MobyDick-217452,Paralelo-GPU
45,199442952,MobyDick-217452,Paralelo-GPU
46,85004878,MobyDick-217452,Paralelo-GPU
47,68631542,MobyDick-217452,Paralelo-GPU
48,64237526,MobyDick-217452,Paralelo-GPU
49,71390143,MobyDick-217452,Paralelo-GPU
50,70269559,MobyDick-217452,Paralelo-GPU
51,66686458,MobyDick-217452,Paralelo-GPU
52,64168439,MobyDick-217452,Paralelo-GPU
53,60786946,MobyDick-217452,Paralelo-GPU
54,60626646,MobyDick-217452,Paralelo-GPU
55,60436147,MobyDick-217452,Paralelo-GPU
56,61312656,MobyDick-217452,Paralelo-GPU
57,59819536,MobyDick-217452,Paralelo-GPU
58,60338764,MobyDick-217452,Paralelo-GPU
59,59738273,MobyDick-217452,Paralelo-GPU
60,61060972,MobyDick-217452,Paralelo-GPU
61,61389325,MobyDick-217452,Paralelo-GPU
62,64261878,MobyDick-217452,Paralelo-GPU
63,65668301,MobyDick-217452,Paralelo-GPU
64,60711679,MobyDick-217452,Paralelo-GPU
65,61389411,MobyDick-217452,Paralelo-GPU
66,61149104,MobyDick-217452,Paralelo-GPU
67,61959545,MobyDick-217452,Paralelo-GPU
68,60497707,MobyDick-217452,Paralelo-GPU
69,59889561,MobyDick-217452,Paralelo-GPU
70,60143250,MobyDick-217452,Paralelo-GPU
