Iteracao,Tempo(ns),Nome_Livro,Paradigma
1,356913308,MobyDick-217452,Paralelo-GPU
2,222460215,MobyDick-217452,Paralelo-GPU
3,84628274,MobyDick-217452,Paralelo-GPU
4,71255533,MobyDick-217452,Paralelo-GPU
5,78448238,MobyDick-217452,Paralelo-GPU
6,75989236,MobyDick-217452,Paralelo-GPU
7,84015789,MobyDick-217452,Paralelo-GPU
8,65951048,MobyDick-217452,Paralelo-GPU
9,63574724,MobyDick-217452,Paralelo-GPU
10,75115967,MobyDick-217452,Paralelo-GPU
11,83560362,MobyDick-217452,Paralelo-GPU
12,80772326,MobyDick-217452,Paralelo-GPU
13,59206414,MobyDick-217452,Paralelo-GPU
14,61530894,MobyDick-217452,Paralelo-GPU
15,60316974,MobyDick-217452,Paralelo-GPU
16,63219699,MobyDick-217452,Paralelo-GPU
17,58023788,MobyDick-217452,Paralelo-GPU
18,95200769,MobyDick-217452,Paralelo-GPU
19,96491139,MobyDick-217452,Paralelo-GPU
20,99618521,MobyDick-217452,Paralelo-GPU
21,119201600,MobyDick-217452,Paralelo-GPU
22,64876077,MobyDick-217452,Paralelo-GPU
23,57573726,MobyDick-217452,Paralelo-GPU
24,57624897,MobyDick-217452,Paralelo-GPU
25,72288010,MobyDick-217452,Paralelo-GPU
26,66435342,MobyDick-217452,Paralelo-GPU
27,71380722,MobyDick-217452,Paralelo-GPU
28,69772870,MobyDick-217452,Paralelo-GPU
29,70409422,MobyDick-217452,Paralelo-GPU
30,79382234,MobyDick-217452,Paralelo-GPU
31,78793477,MobyDick-217452,Paralelo-GPU
32,56939172,MobyDick-217452,Paralelo-GPU
33,57179133,MobyDick-217452,Paralelo-GPU
34,58836630,MobyDick-217452,Paralelo-GPU
35,59163191,MobyDick-217452,Paralelo-GPU
36,56916536,MobyDick-217452,Paralelo-GPU
37,58676254,MobyDick-217452,Paralelo-GPU
38,58721243,MobyDick-217452,Paralelo-GPU
39,57271507,MobyDick-217452,Paralelo-GPU
40,56905808,MobyDick-217452,Paralelo-GPU
41,57237843,MobyDick-217452,Paralelo-GPU
42,64807117,MobyDick-217452,Paralelo-GPU
43,66387561,MobyDick-217452,Paralelo-GPU
44,77705430,MobyDick-217452,Paralelo-GPU
45,69483366,MobyDick-217452,Paralelo-GPU
46,70322762,MobyDick-217452,Paralelo-GPU
47,83691085,MobyDick-217452,Paralelo-GPU
48,65765187,MobyDick-217452,Paralelo-GPU
49,72484606,MobyDick-217452,Paralelo-GPU
50,59792317,MobyDick-217452,Paralelo-GPU
