Iteracao,Tempo(ns),Nome_Livro,Paradigma,Quantidade_Threads
1,460574,DonQuixote-388208,Paralelo,4
2,408746,DonQuixote-388208,Paralelo,4
3,231005,DonQuixote-388208,Paralelo,4
4,232638,DonQuixote-388208,Paralelo,4
5,221351,DonQuixote-388208,Paralelo,4
6,214985,DonQuixote-388208,Paralelo,4
7,197000,DonQuixote-388208,Paralelo,4
8,207559,DonQuixote-388208,Paralelo,4
9,200809,DonQuixote-388208,Paralelo,4
10,205203,DonQuixote-388208,Paralelo,4
11,196187,DonQuixote-388208,Paralelo,4
12,214481,DonQuixote-388208,Paralelo,4
13,208842,DonQuixote-388208,Paralelo,4
14,198677,DonQuixote-388208,Paralelo,4
15,193983,DonQuixote-388208,Paralelo,4
16,202071,DonQuixote-388208,Paralelo,4
17,213945,DonQuixote-388208,Paralelo,4
18,193796,DonQuixote-388208,Paralelo,4
19,203577,DonQuixote-388208,Paralelo,4
20,201395,DonQuixote-388208,Paralelo,4
21,210735,DonQuixote-388208,Paralelo,4
22,225370,DonQuixote-388208,Paralelo,4
23,229268,DonQuixote-388208,Paralelo,4
24,217747,DonQuixote-388208,Paralelo,4
25,211066,DonQuixote-388208,Paralelo,4
26,232551,DonQuixote-388208,Paralelo,4
27,217982,DonQuixote-388208,Paralelo,4
28,209745,DonQuixote-388208,Paralelo,4
29,224504,DonQuixote-388208,Paralelo,4
30,223279,DonQuixote-388208,Paralelo,4
31,214332,DonQuixote-388208,Paralelo,4
32,211109,DonQuixote-388208,Paralelo,4
33,220166,DonQuixote-388208,Paralelo,4
34,252871,DonQuixote-388208,Paralelo,4
35,203379,DonQuixote-388208,Paralelo,4
36,209973,DonQuixote-388208,Paralelo,4
37,208349,DonQuixote-388208,Paralelo,4
38,212764,DonQuixote-388208,Paralelo,4
39,214972,DonQuixote-388208,Paralelo,4
40,202778,DonQuixote-388208,Paralelo,4
41,213202,DonQuixote-388208,Paralelo,4
42,271818,DonQuixote-388208,Paralelo,4
43,209577,DonQuixote-388208,Paralelo,4
44,217866,DonQuixote-388208,Paralelo,4
45,208712,DonQuixote-388208,Paralelo,4
46,266913,DonQuixote-388208,Paralelo,4
47,208786,DonQuixote-388208,Paralelo,4
48,242532,DonQuixote-388208,Paralelo,4
49,205132,DonQuixote-388208,Paralelo,4
50,263465,DonQuixote-388208,Paralelo,4
51,209971,DonQuixote-388208,Paralelo,4
52,215041,DonQuixote-388208,Paralelo,4
53,201120,DonQuixote-388208,Paralelo,4
54,210176,DonQuixote-388208,Paralelo,4
55,250148,DonQuixote-388208,Paralelo,4
56,223473,DonQuixote-388208,Paralelo,4
57,204579,DonQuixote-388208,Paralelo,4
58,285994,DonQuixote-388208,Paralelo,4
59,228526,DonQuixote-388208,Paralelo,4
60,204070,DonQuixote-388208,Paralelo,4
61,206803,DonQuixote-388208,Paralelo,4
62,288101,DonQuixote-388208,Paralelo,4
63,213672,DonQuixote-388208,Paralelo,4
64,244060,DonQuixote-388208,Paralelo,4
65,235210,DonQuixote-388208,Paralelo,4
66,285776,DonQuixote-388208,Paralelo,4
67,283473,DonQuixote-388208,Paralelo,4
68,231448,DonQuixote-388208,Paralelo,4
69,220898,DonQuixote-388208,Paralelo,4
70,245981,DonQuixote-388208,Paralelo,4
71,227238,DonQuixote-388208,Paralelo,4
72,236060,DonQuixote-388208,Paralelo,4
73,217534,DonQuixote-388208,Paralelo,4
