Iteracao,Tempo(ns),Nome_Livro,Paradigma,Quantidade_Threads
1,352258,Dracula-165307,Paralelo,4
2,296046,Dracula-165307,Paralelo,4
3,240016,Dracula-165307,Paralelo,4
4,248991,Dracula-165307,Paralelo,4
5,261055,Dracula-165307,Paralelo,4
6,228893,Dracula-165307,Paralelo,4
7,226790,Dracula-165307,Paralelo,4
8,238165,Dracula-165307,Paralelo,4
9,280804,Dracula-165307,Paralelo,4
10,338171,Dracula-165307,Paralelo,4
11,355887,Dracula-165307,Paralelo,4
12,259332,Dracula-165307,Paralelo,4
13,249785,Dracula-165307,Paralelo,4
14,234242,Dracula-165307,Paralelo,4
15,242203,Dracula-165307,Paralelo,4
16,229067,Dracula-165307,Paralelo,4
17,234376,Dracula-165307,Paralelo,4
18,226900,Dracula-165307,Paralelo,4
19,235835,Dracula-165307,Paralelo,4
20,226490,Dracula-165307,Paralelo,4
21,229949,Dracula-165307,Paralelo,4
22,232403,Dracula-165307,Paralelo,4
23,291571,Dracula-165307,Paralelo,4
24,222670,Dracula-165307,Paralelo,4
25,266713,Dracula-165307,Paralelo,4
26,352183,Dracula-165307,Paralelo,4
27,331970,Dracula-165307,Paralelo,4
28,334558,Dracula-165307,Paralelo,4
29,395665,Dracula-165307,Paralelo,4
30,315530,Dracula-165307,Paralelo,4
31,320538,Dracula-165307,Paralelo,4
32,321021,Dracula-165307,Paralelo,4
33,395958,Dracula-165307,Paralelo,4
34,327407,Dracula-165307,Paralelo,4
35,271289,Dracula-165307,Paralelo,4
36,350206,Dracula-165307,Paralelo,4
37,323284,Dracula-165307,Paralelo,4
38,389508,Dracula-165307,Paralelo,4
39,317993,Dracula-165307,Paralelo,4
40,329923,Dracula-165307,Paralelo,4
41,360576,Dracula-165307,Paralelo,4
42,230048,Dracula-165307,Paralelo,4
43,232203,Dracula-165307,Paralelo,4
44,269086,Dracula-165307,Paralelo,4
45,221854,Dracula-165307,Paralelo,4
46,225380,Dracula-165307,Paralelo,4
47,230908,Dracula-165307,Paralelo,4
48,229795,Dracula-165307,Paralelo,4
49,223341,Dracula-165307,Paralelo,4
50,222962,Dracula-165307,Paralelo,4
51,232455,Dracula-165307,Paralelo,4
52,229084,Dracula-165307,Paralelo,4
53,239921,Dracula-165307,Paralelo,4
54,222006,Dracula-165307,Paralelo,4
55,222569,Dracula-165307,Paralelo,4
56,223748,Dracula-165307,Paralelo,4
57,282093,Dracula-165307,Paralelo,4
58,217593,Dracula-165307,Paralelo,4
59,248132,Dracula-165307,Paralelo,4
60,217222,Dracula-165307,Paralelo,4
61,230648,Dracula-165307,Paralelo,4
62,222311,Dracula-165307,Paralelo,4
63,224762,Dracula-165307,Paralelo,4
64,213556,Dracula-165307,Paralelo,4
65,241480,Dracula-165307,Paralelo,4
66,221334,Dracula-165307,Paralelo,4
67,228227,Dracula-165307,Paralelo,4
68,246862,Dracula-165307,Paralelo,4
69,330006,Dracula-165307,Paralelo,4
70,243974,Dracula-165307,Paralelo,4
71,284720,Dracula-165307,Paralelo,4
72,286102,Dracula-165307,Paralelo,4
73,287618,Dracula-165307,Paralelo,4
74,275334,Dracula-165307,Paralelo,4
75,283250,Dracula-165307,Paralelo,4
76,368551,Dracula-165307,Paralelo,4
77,276997,Dracula-165307,Paralelo,4
78,272514,Dracula-165307,Paralelo,4
79,320180,Dracula-165307,Paralelo,4
80,240822,Dracula-165307,Paralelo,4
81,235893,Dracula-165307,Paralelo,4
82,277705,Dracula-165307,Paralelo,4
83,348220,Dracula-165307,Paralelo,4
84,270676,Dracula-165307,Paralelo,4
85,279482,Dracula-165307,Paralelo,4
86,288455,Dracula-165307,Paralelo,4
87,225225,Dracula-165307,Paralelo,4
88,242664,Dracula-165307,Paralelo,4
89,249775,Dracula-165307,Paralelo,4
90,1433625,Dracula-165307,Paralelo,4
91,254446,Dracula-165307,Paralelo,4
92,289983,Dracula-165307,Paralelo,4
93,244659,Dracula-165307,Paralelo,4
94,257914,Dracula-165307,Paralelo,4
95,223116,Dracula-165307,Paralelo,4
96,229752,Dracula-165307,Paralelo,4
97,247734,Dracula-165307,Paralelo,4
98,245473,Dracula-165307,Paralelo,4
99,246931,Dracula-165307,Paralelo,4
100,240662,Dracula-165307,Paralelo,4
101,286261,Dracula-165307,Paralelo,4
102,292804,Dracula-165307,Paralelo,4
103,352477,Dracula-165307,Paralelo,4
104,223441,Dracula-165307,Paralelo,4
105,553173,Dracula-165307,Paralelo,4
106,322972,Dracula-165307,Paralelo,4
107,314896,Dracula-165307,Paralelo,4
108,280260,Dracula-165307,Paralelo,4
109,284261,Dracula-165307,Paralelo,4
110,228144,Dracula-165307,Paralelo,4
111,284718,Dracula-165307,Paralelo,4
112,223285,Dracula-165307,Paralelo,4
113,237518,Dracula-165307,Paralelo,4
114,278107,Dracula-165307,Paralelo,4
115,223511,Dracula-165307,Paralelo,4
116,218296,Dracula-165307,Paralelo,4
117,218149,Dracula-165307,Paralelo,4
118,217477,Dracula-165307,Paralelo,4
119,252059,Dracula-165307,Paralelo,4
120,227398,Dracula-165307,Paralelo,4
121,216584,Dracula-165307,Paralelo,4
122,219851,Dracula-165307,Paralelo,4
123,234469,Dracula-165307,Paralelo,4
124,219998,Dracula-165307,Paralelo,4
125,218193,Dracula-165307,Paralelo,4
126,222565,Dracula-165307,Paralelo,4
127,255083,Dracula-165307,Paralelo,4
128,214418,Dracula-165307,Paralelo,4
129,215538,Dracula-165307,Paralelo,4
130,226994,Dracula-165307,Paralelo,4
131,221322,Dracula-165307,Paralelo,4
132,268813,Dracula-165307,Paralelo,4
133,221455,Dracula-165307,Paralelo,4
134,219901,Dracula-165307,Paralelo,4
135,220339,Dracula-165307,Paralelo,4
