Iteracao,Tempo(ns),Nome_Livro,Paradigma,Quantidade_Threads
1,2139437,MobyDick-217452,Paralelo,4
2,529626,MobyDick-217452,Paralelo,4
3,496429,MobyDick-217452,Paralelo,4
4,470664,MobyDick-217452,Paralelo,4
5,460387,MobyDick-217452,Paralelo,4
6,522533,MobyDick-217452,Paralelo,4
7,455529,MobyDick-217452,Paralelo,4
8,453790,MobyDick-217452,Paralelo,4
9,452445,MobyDick-217452,Paralelo,4
10,578649,MobyDick-217452,Paralelo,4
11,678548,MobyDick-217452,Paralelo,4
12,451665,MobyDick-217452,Paralelo,4
13,510161,MobyDick-217452,Paralelo,4
14,531986,MobyDick-217452,Paralelo,4
15,16271636,MobyDick-217452,Paralelo,4
16,663576,MobyDick-217452,Paralelo,4
17,580249,MobyDick-217452,Paralelo,4
18,470226,MobyDick-217452,Paralelo,4
19,556025,MobyDick-217452,Paralelo,4
20,441016,MobyDick-217452,Paralelo,4
21,460772,MobyDick-217452,Paralelo,4
22,516823,MobyDick-217452,Paralelo,4
23,467309,MobyDick-217452,Paralelo,4
24,506461,MobyDick-217452,Paralelo,4
25,489593,MobyDick-217452,Paralelo,4
26,458131,MobyDick-217452,Paralelo,4
27,522463,MobyDick-217452,Paralelo,4
28,477460,MobyDick-217452,Paralelo,4
29,482097,MobyDick-217452,Paralelo,4
30,973734,MobyDick-217452,Paralelo,4
31,494211,MobyDick-217452,Paralelo,4
32,711592,MobyDick-217452,Paralelo,4
33,460185,MobyDick-217452,Paralelo,4
34,491090,MobyDick-217452,Paralelo,4
35,436481,MobyDick-217452,Paralelo,4
36,450506,MobyDick-217452,Paralelo,4
37,420243,MobyDick-217452,Paralelo,4
38,553186,MobyDick-217452,Paralelo,4
39,460279,MobyDick-217452,Paralelo,4
40,597212,MobyDick-217452,Paralelo,4
41,592723,MobyDick-217452,Paralelo,4
42,614786,MobyDick-217452,Paralelo,4
43,594734,MobyDick-217452,Paralelo,4
44,549484,MobyDick-217452,Paralelo,4
45,548119,MobyDick-217452,Paralelo,4
46,619967,MobyDick-217452,Paralelo,4
47,751913,MobyDick-217452,Paralelo,4
48,508269,MobyDick-217452,Paralelo,4
49,676026,MobyDick-217452,Paralelo,4
50,759533,MobyDick-217452,Paralelo,4
51,593296,MobyDick-217452,Paralelo,4
52,561433,MobyDick-217452,Paralelo,4
53,481776,MobyDick-217452,Paralelo,4
54,455781,MobyDick-217452,Paralelo,4
55,499769,MobyDick-217452,Paralelo,4
56,449247,MobyDick-217452,Paralelo,4
57,543758,MobyDick-217452,Paralelo,4
58,508591,MobyDick-217452,Paralelo,4
59,588473,MobyDick-217452,Paralelo,4
60,547854,MobyDick-217452,Paralelo,4
61,637386,MobyDick-217452,Paralelo,4
62,682804,MobyDick-217452,Paralelo,4
63,546802,MobyDick-217452,Paralelo,4
64,719659,MobyDick-217452,Paralelo,4
65,635167,MobyDick-217452,Paralelo,4
66,448321,MobyDick-217452,Paralelo,4
67,441217,MobyDick-217452,Paralelo,4
68,430851,MobyDick-217452,Paralelo,4
69,441913,MobyDick-217452,Paralelo,4
70,10126030,MobyDick-217452,Paralelo,4
71,521973,MobyDick-217452,Paralelo,4
72,486327,MobyDick-217452,Paralelo,4
73,444949,MobyDick-217452,Paralelo,4
74,489625,MobyDick-217452,Paralelo,4
75,1181255,MobyDick-217452,Paralelo,4
76,528247,MobyDick-217452,Paralelo,4
77,535391,MobyDick-217452,Paralelo,4
78,446718,MobyDick-217452,Paralelo,4
79,641713,MobyDick-217452,Paralelo,4
80,499121,MobyDick-217452,Paralelo,4
81,563146,MobyDick-217452,Paralelo,4
82,567780,MobyDick-217452,Paralelo,4
83,542015,MobyDick-217452,Paralelo,4
84,874971,MobyDick-217452,Paralelo,4
85,968956,MobyDick-217452,Paralelo,4
86,813227,MobyDick-217452,Paralelo,4
87,906416,MobyDick-217452,Paralelo,4
88,1848142,MobyDick-217452,Paralelo,4
89,467629,MobyDick-217452,Paralelo,4
90,444845,MobyDick-217452,Paralelo,4
91,449965,MobyDick-217452,Paralelo,4
92,444328,MobyDick-217452,Paralelo,4
93,423882,MobyDick-217452,Paralelo,4
94,515061,MobyDick-217452,Paralelo,4
95,668619,MobyDick-217452,Paralelo,4
96,611521,MobyDick-217452,Paralelo,4
97,1610624,MobyDick-217452,Paralelo,4
98,805525,MobyDick-217452,Paralelo,4
99,826497,MobyDick-217452,Paralelo,4
100,771705,MobyDick-217452,Paralelo,4
101,500088,MobyDick-217452,Paralelo,4
102,717345,MobyDick-217452,Paralelo,4
103,1190279,MobyDick-217452,Paralelo,4
104,522620,MobyDick-217452,Paralelo,4
105,908369,MobyDick-217452,Paralelo,4
106,665787,MobyDick-217452,Paralelo,4
107,1239404,MobyDick-217452,Paralelo,4
108,606191,MobyDick-217452,Paralelo,4
109,482580,MobyDick-217452,Paralelo,4
110,696729,MobyDick-217452,Paralelo,4
111,836390,MobyDick-217452,Paralelo,4
112,574615,MobyDick-217452,Paralelo,4
113,891602,MobyDick-217452,Paralelo,4
114,482039,MobyDick-217452,Paralelo,4
115,587917,MobyDick-217452,Paralelo,4
116,425729,MobyDick-217452,Paralelo,4
117,1154711,MobyDick-217452,Paralelo,4
118,685017,MobyDick-217452,Paralelo,4
119,832213,MobyDick-217452,Paralelo,4
120,938985,MobyDick-217452,Paralelo,4
121,791767,MobyDick-217452,Paralelo,4
122,839519,MobyDick-217452,Paralelo,4
123,1033826,MobyDick-217452,Paralelo,4
124,734861,MobyDick-217452,Paralelo,4
125,714012,MobyDick-217452,Paralelo,4
126,679016,MobyDick-217452,Paralelo,4
127,719351,MobyDick-217452,Paralelo,4
128,634731,MobyDick-217452,Paralelo,4
129,469178,MobyDick-217452,Paralelo,4
130,493648,MobyDick-217452,Paralelo,4
131,461027,MobyDick-217452,Paralelo,4
132,417947,MobyDick-217452,Paralelo,4
133,449594,MobyDick-217452,Paralelo,4
134,432480,MobyDick-217452,Paralelo,4
135,423443,MobyDick-217452,Paralelo,4
136,390191,MobyDick-217452,Paralelo,4
137,399633,MobyDick-217452,Paralelo,4
138,458598,MobyDick-217452,Paralelo,4
139,418529,MobyDick-217452,Paralelo,4
140,408931,MobyDick-217452,Paralelo,4
141,378788,MobyDick-217452,Paralelo,4
142,406122,MobyDick-217452,Paralelo,4
143,423771,MobyDick-217452,Paralelo,4
144,420020,MobyDick-217452,Paralelo,4
145,662466,MobyDick-217452,Paralelo,4
146,432558,MobyDick-217452,Paralelo,4
147,429979,MobyDick-217452,Paralelo,4
148,404643,MobyDick-217452,Paralelo,4
149,453511,MobyDick-217452,Paralelo,4
150,553256,MobyDick-217452,Paralelo,4
151,416583,MobyDick-217452,Paralelo,4
152,414334,MobyDick-217452,Paralelo,4
153,404925,MobyDick-217452,Paralelo,4
154,397703,MobyDick-217452,Paralelo,4
155,396183,MobyDick-217452,Paralelo,4
156,389171,MobyDick-217452,Paralelo,4
157,384851,MobyDick-217452,Paralelo,4
158,434873,MobyDick-217452,Paralelo,4
159,418539,MobyDick-217452,Paralelo,4
160,422798,MobyDick-217452,Paralelo,4
161,416097,MobyDick-217452,Paralelo,4
162,434971,MobyDick-217452,Paralelo,4
163,466888,MobyDick-217452,Paralelo,4
164,377062,MobyDick-217452,Paralelo,4
165,394263,MobyDick-217452,Paralelo,4
166,376099,MobyDick-217452,Paralelo,4
167,388502,MobyDick-217452,Paralelo,4
168,398019,MobyDick-217452,Paralelo,4
169,369127,MobyDick-217452,Paralelo,4
170,407838,MobyDick-217452,Paralelo,4
171,461096,MobyDick-217452,Paralelo,4
172,409639,MobyDick-217452,Paralelo,4
173,383943,MobyDick-217452,Paralelo,4
174,372154,MobyDick-217452,Paralelo,4
175,411843,MobyDick-217452,Paralelo,4
176,394791,MobyDick-217452,Paralelo,4
177,410098,MobyDick-217452,Paralelo,4
178,415948,MobyDick-217452,Paralelo,4
179,391761,MobyDick-217452,Paralelo,4
180,414535,MobyDick-217452,Paralelo,4
181,399405,MobyDick-217452,Paralelo,4
182,395920,MobyDick-217452,Paralelo,4
183,397035,MobyDick-217452,Paralelo,4
184,356617,MobyDick-217452,Paralelo,4
185,402458,MobyDick-217452,Paralelo,4
186,375088,MobyDick-217452,Paralelo,4
187,581920,MobyDick-217452,Paralelo,4
188,602384,MobyDick-217452,Paralelo,4
189,429665,MobyDick-217452,Paralelo,4
190,423681,MobyDick-217452,Paralelo,4
191,442067,MobyDick-217452,Paralelo,4
192,455286,MobyDick-217452,Paralelo,4
193,416578,MobyDick-217452,Paralelo,4
194,408459,MobyDick-217452,Paralelo,4
195,405386,MobyDick-217452,Paralelo,4
196,434169,MobyDick-217452,Paralelo,4
197,387850,MobyDick-217452,Paralelo,4
198,414523,MobyDick-217452,Paralelo,4
199,396034,MobyDick-217452,Paralelo,4
200,473203,MobyDick-217452,Paralelo,4
201,598080,MobyDick-217452,Paralelo,4
202,425486,MobyDick-217452,Paralelo,4
203,380038,MobyDick-217452,Paralelo,4
204,405166,MobyDick-217452,Paralelo,4
205,377436,MobyDick-217452,Paralelo,4
206,368487,MobyDick-217452,Paralelo,4
207,498194,MobyDick-217452,Paralelo,4
208,366670,MobyDick-217452,Paralelo,4
209,396963,MobyDick-217452,Paralelo,4
210,380509,MobyDick-217452,Paralelo,4
211,360951,MobyDick-217452,Paralelo,4
212,376811,MobyDick-217452,Paralelo,4
213,335905,MobyDick-217452,Paralelo,4
214,367498,MobyDick-217452,Paralelo,4
215,421985,MobyDick-217452,Paralelo,4
216,8248294,MobyDick-217452,Paralelo,4
217,421347,MobyDick-217452,Paralelo,4
218,348224,MobyDick-217452,Paralelo,4
219,352846,MobyDick-217452,Paralelo,4
220,371966,MobyDick-217452,Paralelo,4
221,354748,MobyDick-217452,Paralelo,4
222,326076,MobyDick-217452,Paralelo,4
223,346876,MobyDick-217452,Paralelo,4
224,390690,MobyDick-217452,Paralelo,4
225,340934,MobyDick-217452,Paralelo,4
226,349043,MobyDick-217452,Paralelo,4
227,329440,MobyDick-217452,Paralelo,4
228,385375,MobyDick-217452,Paralelo,4
229,359549,MobyDick-217452,Paralelo,4
230,335135,MobyDick-217452,Paralelo,4
231,371075,MobyDick-217452,Paralelo,4
232,329669,MobyDick-217452,Paralelo,4
233,347169,MobyDick-217452,Paralelo,4
234,366555,MobyDick-217452,Paralelo,4
235,392660,MobyDick-217452,Paralelo,4
236,450206,MobyDick-217452,Paralelo,4
237,362456,MobyDick-217452,Paralelo,4
238,349530,MobyDick-217452,Paralelo,4
239,473292,MobyDick-217452,Paralelo,4
240,373672,MobyDick-217452,Paralelo,4
241,367277,MobyDick-217452,Paralelo,4
242,385233,MobyDick-217452,Paralelo,4
243,361630,MobyDick-217452,Paralelo,4
244,393175,MobyDick-217452,Paralelo,4
245,407872,MobyDick-217452,Paralelo,4
246,438230,MobyDick-217452,Paralelo,4
247,410591,MobyDick-217452,Paralelo,4
248,384307,MobyDick-217452,Paralelo,4
249,408712,MobyDick-217452,Paralelo,4
250,418324,MobyDick-217452,Paralelo,4
251,418053,MobyDick-217452,Paralelo,4
