Iteracao,Tempo(ns),Nome_Livro,Paradigma
1,2157835,DonQuixote-388208,Serial
2,1960211,DonQuixote-388208,Serial
3,1955401,DonQuixote-388208,Serial
4,2871758,DonQuixote-388208,Serial
5,2809017,DonQuixote-388208,Serial
6,2677822,DonQuixote-388208,Serial
7,2596802,DonQuixote-388208,Serial
8,2784173,DonQuixote-388208,Serial
9,2455031,DonQuixote-388208,Serial
10,2423414,DonQuixote-388208,Serial
11,2590341,DonQuixote-388208,Serial
12,2819551,DonQuixote-388208,Serial
13,2279978,DonQuixote-388208,Serial
14,2106849,DonQuixote-388208,Serial
15,2050455,DonQuixote-388208,Serial
16,2038770,DonQuixote-388208,Serial
17,2251164,DonQuixote-388208,Serial
18,2306616,DonQuixote-388208,Serial
19,2266840,DonQuixote-388208,Serial
20,2323880,DonQuixote-388208,Serial
21,2367618,DonQuixote-388208,Serial
22,2293695,DonQuixote-388208,Serial
23,2230887,DonQuixote-388208,Serial
24,2380248,DonQuixote-388208,Serial
25,2328779,DonQuixote-388208,Serial
26,2315568,DonQuixote-388208,Serial
27,2236529,DonQuixote-388208,Serial
28,2202789,DonQuixote-388208,Serial
29,2203600,DonQuixote-388208,Serial
30,2169633,DonQuixote-388208,Serial
31,2442068,DonQuixote-388208,Serial
32,2852497,DonQuixote-388208,Serial
33,2328504,DonQuixote-388208,Serial
34,2298734,DonQuixote-388208,Serial
35,2322878,DonQuixote-388208,Serial
36,2351975,DonQuixote-388208,Serial
37,2305175,DonQuixote-388208,Serial
38,2394110,DonQuixote-388208,Serial
39,2259672,DonQuixote-388208,Serial
40,1941286,DonQuixote-388208,Serial
41,1938805,DonQuixote-388208,Serial
42,2333790,DonQuixote-388208,Serial
43,2430229,DonQuixote-388208,Serial
44,2326046,DonQuixote-388208,Serial
45,2364882,DonQuixote-388208,Serial
46,2306311,DonQuixote-388208,Serial
47,2302566,DonQuixote-388208,Serial
48,2291515,DonQuixote-388208,Serial
49,2272651,DonQuixote-388208,Serial
50,2166828,DonQuixote-388208,Serial
51,1951429,DonQuixote-388208,Serial
52,2004555,DonQuixote-388208,Serial
53,2121516,DonQuixote-388208,Serial
54,2519356,DonQuixote-388208,Serial
55,2477920,DonQuixote-388208,Serial
56,2444713,DonQuixote-388208,Serial
57,2449143,DonQuixote-388208,Serial
58,2462721,DonQuixote-388208,Serial
59,2603905,DonQuixote-388208,Serial
60,2929311,DonQuixote-388208,Serial
61,3358116,DonQuixote-388208,Serial
62,2869076,DonQuixote-388208,Serial
63,2763362,DonQuixote-388208,Serial
64,2963681,DonQuixote-388208,Serial
65,2773977,DonQuixote-388208,Serial
66,2381629,DonQuixote-388208,Serial
67,2150997,DonQuixote-388208,Serial
68,2077370,DonQuixote-388208,Serial
69,2018593,DonQuixote-388208,Serial
70,2132669,DonQuixote-388208,Serial
71,2035475,DonQuixote-388208,Serial
72,2061223,DonQuixote-388208,Serial
73,2018599,DonQuixote-388208,Serial
74,1941733,DonQuixote-388208,Serial
75,1930608,DonQuixote-388208,Serial
76,1895294,DonQuixote-388208,Serial
77,1884636,DonQuixote-388208,Serial
78,1892701,DonQuixote-388208,Serial
79,1904461,DonQuixote-388208,Serial
80,1876643,DonQuixote-388208,Serial
81,1892870,DonQuixote-388208,Serial
82,1875859,DonQuixote-388208,Serial
83,1850426,DonQuixote-388208,Serial
84,1874174,DonQuixote-388208,Serial
85,1889549,DonQuixote-388208,Serial
86,1845590,DonQuixote-388208,Serial
87,1967798,DonQuixote-388208,Serial
88,1917642,DonQuixote-388208,Serial
89,1882192,DonQuixote-388208,Serial
90,1895596,DonQuixote-388208,Serial
91,1861779,DonQuixote-388208,Serial
92,1839924,DonQuixote-388208,Serial
93,1843189,DonQuixote-388208,Serial
94,1869632,DonQuixote-388208,Serial
95,1873292,DonQuixote-388208,Serial
96,1858321,DonQuixote-388208,Serial
97,1893969,DonQuixote-388208,Serial
98,1888570,DonQuixote-388208,Serial
99,1937630,DonQuixote-388208,Serial
100,1947270,DonQuixote-388208,Serial
101,1999040,DonQuixote-388208,Serial
102,1985765,DonQuixote-388208,Serial
103,2035816,DonQuixote-388208,Serial
104,1915527,DonQuixote-388208,Serial
105,1908060,DonQuixote-388208,Serial
106,1887169,DonQuixote-388208,Serial
107,1912098,DonQuixote-388208,Serial
108,1929772,DonQuixote-388208,Serial
109,1872978,DonQuixote-388208,Serial
110,1901380,DonQuixote-388208,Serial
111,2021847,DonQuixote-388208,Serial
112,2471785,DonQuixote-388208,Serial
113,2896129,DonQuixote-388208,Serial
114,2635044,DonQuixote-388208,Serial
115,3717525,DonQuixote-388208,Serial
116,3536192,DonQuixote-388208,Serial
117,2372555,DonQuixote-388208,Serial
118,2142442,DonQuixote-388208,Serial
119,2153772,DonQuixote-388208,Serial
120,2202971,DonQuixote-388208,Serial
121,3609423,DonQuixote-388208,Serial
122,3282464,DonQuixote-388208,Serial
123,2994026,DonQuixote-388208,Serial
124,2481107,DonQuixote-388208,Serial
