Iteracao,Tempo(ns),Nome_Livro,Paradigma
1,1056212,Dracula-165307,Serial
2,926545,Dracula-165307,Serial
3,1007122,Dracula-165307,Serial
4,911895,Dracula-165307,Serial
5,940832,Dracula-165307,Serial
6,963576,Dracula-165307,Serial
7,938701,Dracula-165307,Serial
8,946727,Dracula-165307,Serial
9,962601,Dracula-165307,Serial
10,969868,Dracula-165307,Serial
11,976885,Dracula-165307,Serial
12,1065659,Dracula-165307,Serial
13,980618,Dracula-165307,Serial
14,1014285,Dracula-165307,Serial
15,1145864,Dracula-165307,Serial
16,1100245,Dracula-165307,Serial
17,990500,Dracula-165307,Serial
18,1111282,Dracula-165307,Serial
19,1164358,Dracula-165307,Serial
20,1155312,Dracula-165307,Serial
21,1333176,Dracula-165307,Serial
22,1068112,Dracula-165307,Serial
23,1140872,Dracula-165307,Serial
24,1024566,Dracula-165307,Serial
25,978779,Dracula-165307,Serial
26,959291,Dracula-165307,Serial
27,1069123,Dracula-165307,Serial
28,930230,Dracula-165307,Serial
29,939275,Dracula-165307,Serial
30,957218,Dracula-165307,Serial
31,975326,Dracula-165307,Serial
32,961330,Dracula-165307,Serial
33,1044381,Dracula-165307,Serial
34,982195,Dracula-165307,Serial
35,1020571,Dracula-165307,Serial
36,953686,Dracula-165307,Serial
37,888865,Dracula-165307,Serial
38,976629,Dracula-165307,Serial
39,994544,Dracula-165307,Serial
40,1030271,Dracula-165307,Serial
41,1026021,Dracula-165307,Serial
42,1005415,Dracula-165307,Serial
43,1058935,Dracula-165307,Serial
44,1059421,Dracula-165307,Serial
45,1015953,Dracula-165307,Serial
46,1002376,Dracula-165307,Serial
47,974451,Dracula-165307,Serial
48,1071992,Dracula-165307,Serial
49,1031407,Dracula-165307,Serial
50,1138304,Dracula-165307,Serial
51,1018973,Dracula-165307,Serial
52,954940,Dracula-165307,Serial
53,960134,Dracula-165307,Serial
54,873270,Dracula-165307,Serial
55,845546,Dracula-165307,Serial
56,850893,Dracula-165307,Serial
57,852147,Dracula-165307,Serial
58,797808,Dracula-165307,Serial
59,792131,Dracula-165307,Serial
60,800950,Dracula-165307,Serial
61,905794,Dracula-165307,Serial
62,868975,Dracula-165307,Serial
63,853327,Dracula-165307,Serial
64,843024,Dracula-165307,Serial
65,860982,Dracula-165307,Serial
66,813803,Dracula-165307,Serial
67,815835,Dracula-165307,Serial
68,809563,Dracula-165307,Serial
69,849890,Dracula-165307,Serial
70,820378,Dracula-165307,Serial
71,841433,Dracula-165307,Serial
72,826675,Dracula-165307,Serial
73,803057,Dracula-165307,Serial
74,829824,Dracula-165307,Serial
75,840486,Dracula-165307,Serial
76,873409,Dracula-165307,Serial
77,968952,Dracula-165307,Serial
78,1226517,Dracula-165307,Serial
79,1131965,Dracula-165307,Serial
80,1129294,Dracula-165307,Serial
81,1400656,Dracula-165307,Serial
82,1283623,Dracula-165307,Serial
83,1039443,Dracula-165307,Serial
84,1150355,Dracula-165307,Serial
85,1112067,Dracula-165307,Serial
86,1091481,Dracula-165307,Serial
87,1116918,Dracula-165307,Serial
88,1086791,Dracula-165307,Serial
89,1034173,Dracula-165307,Serial
90,1055094,Dracula-165307,Serial
91,1116217,Dracula-165307,Serial
92,1175340,Dracula-165307,Serial
93,1116166,Dracula-165307,Serial
94,1137024,Dracula-165307,Serial
95,1232943,Dracula-165307,Serial
96,1136250,Dracula-165307,Serial
97,972608,Dracula-165307,Serial
98,964999,Dracula-165307,Serial
99,989855,Dracula-165307,Serial
100,950271,Dracula-165307,Serial
101,835590,Dracula-165307,Serial
102,816603,Dracula-165307,Serial
103,798769,Dracula-165307,Serial
104,809242,Dracula-165307,Serial
105,837701,Dracula-165307,Serial
106,825985,Dracula-165307,Serial
107,809556,Dracula-165307,Serial
108,815628,Dracula-165307,Serial
109,800172,Dracula-165307,Serial
110,794029,Dracula-165307,Serial
111,809313,Dracula-165307,Serial
112,797498,Dracula-165307,Serial
113,843483,Dracula-165307,Serial
114,807364,Dracula-165307,Serial
115,795271,Dracula-165307,Serial
116,934618,Dracula-165307,Serial
117,968037,Dracula-165307,Serial
118,915547,Dracula-165307,Serial
119,929732,Dracula-165307,Serial
120,864887,Dracula-165307,Serial
121,827538,Dracula-165307,Serial
122,829469,Dracula-165307,Serial
123,930270,Dracula-165307,Serial
124,904426,Dracula-165307,Serial
125,832461,Dracula-165307,Serial
126,903311,Dracula-165307,Serial
127,806730,Dracula-165307,Serial
128,945041,Dracula-165307,Serial
129,878992,Dracula-165307,Serial
130,803644,Dracula-165307,Serial
131,805555,Dracula-165307,Serial
132,844484,Dracula-165307,Serial
133,792718,Dracula-165307,Serial
134,816205,Dracula-165307,Serial
135,806357,Dracula-165307,Serial
136,803176,Dracula-165307,Serial
137,791938,Dracula-165307,Serial
138,786884,Dracula-165307,Serial
139,881681,Dracula-165307,Serial
140,826219,Dracula-165307,Serial
141,971660,Dracula-165307,Serial
142,966299,Dracula-165307,Serial
143,865908,Dracula-165307,Serial
144,874557,Dracula-165307,Serial
145,845784,Dracula-165307,Serial
146,843703,Dracula-165307,Serial
147,812693,Dracula-165307,Serial
148,825178,Dracula-165307,Serial
149,830386,Dracula-165307,Serial
150,827611,Dracula-165307,Serial
151,835011,Dracula-165307,Serial
152,793717,Dracula-165307,Serial
153,784548,Dracula-165307,Serial
154,811590,Dracula-165307,Serial
155,793011,Dracula-165307,Serial
156,778855,Dracula-165307,Serial
157,772943,Dracula-165307,Serial
158,759470,Dracula-165307,Serial
159,769706,Dracula-165307,Serial
160,763344,Dracula-165307,Serial
161,767321,Dracula-165307,Serial
162,757797,Dracula-165307,Serial
163,763499,Dracula-165307,Serial
164,805208,Dracula-165307,Serial
165,790247,Dracula-165307,Serial
166,781676,Dracula-165307,Serial
167,770396,Dracula-165307,Serial
168,786031,Dracula-165307,Serial
169,788768,Dracula-165307,Serial
