Iteracao,Tempo(ns),Nome_Livro,Paradigma
1,11135701,MobyDick-217452,Serial
2,1867381,MobyDick-217452,Serial
3,4117184,MobyDick-217452,Serial
4,1447377,MobyDick-217452,Serial
5,1584913,MobyDick-217452,Serial
6,1441156,MobyDick-217452,Serial
7,1462960,MobyDick-217452,Serial
8,1656559,MobyDick-217452,Serial
9,1538927,MobyDick-217452,Serial
10,1253746,MobyDick-217452,Serial
11,1209327,MobyDick-217452,Serial
12,1280699,MobyDick-217452,Serial
13,1250023,MobyDick-217452,Serial
14,1244287,MobyDick-217452,Serial
15,1258776,MobyDick-217452,Serial
16,1252120,MobyDick-217452,Serial
17,1211400,MobyDick-217452,Serial
18,1276000,MobyDick-217452,Serial
19,1240935,MobyDick-217452,Serial
20,1337451,MobyDick-217452,Serial
21,1262804,MobyDick-217452,Serial
22,1339134,MobyDick-217452,Serial
23,1279102,MobyDick-217452,Serial
24,1222595,MobyDick-217452,Serial
25,1226151,MobyDick-217452,Serial
26,1212163,MobyDick-217452,Serial
27,1313386,MobyDick-217452,Serial
28,1255126,MobyDick-217452,Serial
29,1373361,MobyDick-217452,Serial
30,1331465,MobyDick-217452,Serial
31,1232129,MobyDick-217452,Serial
32,1433612,MobyDick-217452,Serial
33,1509799,MobyDick-217452,Serial
34,1292524,MobyDick-217452,Serial
35,1217999,MobyDick-217452,Serial
36,1201047,MobyDick-217452,Serial
37,1224929,MobyDick-217452,Serial
38,1393245,MobyDick-217452,Serial
39,1283987,MobyDick-217452,Serial
40,1187932,MobyDick-217452,Serial
41,1276033,MobyDick-217452,Serial
42,1364338,MobyDick-217452,Serial
43,1496111,MobyDick-217452,Serial
44,1268757,MobyDick-217452,Serial
45,1258244,MobyDick-217452,Serial
46,1204279,MobyDick-217452,Serial
47,1216680,MobyDick-217452,Serial
48,1296489,MobyDick-217452,Serial
49,1278312,MobyDick-217452,Serial
50,1259390,MobyDick-217452,Serial
51,1304178,MobyDick-217452,Serial
52,1269146,MobyDick-217452,Serial
53,1229590,MobyDick-217452,Serial
54,1376231,MobyDick-217452,Serial
55,1408274,MobyDick-217452,Serial
56,1377768,MobyDick-217452,Serial
57,1379664,MobyDick-217452,Serial
58,1652853,MobyDick-217452,Serial
59,1515053,MobyDick-217452,Serial
60,1367012,MobyDick-217452,Serial
61,1248392,MobyDick-217452,Serial
62,1181375,MobyDick-217452,Serial
63,1290769,MobyDick-217452,Serial
64,1239453,MobyDick-217452,Serial
65,1467009,MobyDick-217452,Serial
66,1530652,MobyDick-217452,Serial
67,1457185,MobyDick-217452,Serial
68,1994155,MobyDick-217452,Serial
69,1474868,MobyDick-217452,Serial
70,1417254,MobyDick-217452,Serial
71,1503229,MobyDick-217452,Serial
72,1587059,MobyDick-217452,Serial
73,1487636,MobyDick-217452,Serial
74,1509352,MobyDick-217452,Serial
75,1515742,MobyDick-217452,Serial
76,1300931,MobyDick-217452,Serial
77,1276357,MobyDick-217452,Serial
78,1194996,MobyDick-217452,Serial
79,1237900,MobyDick-217452,Serial
80,1292739,MobyDick-217452,Serial
81,1272868,MobyDick-217452,Serial
82,1229056,MobyDick-217452,Serial
83,1219172,MobyDick-217452,Serial
84,1339854,MobyDick-217452,Serial
85,1276132,MobyDick-217452,Serial
86,1274072,MobyDick-217452,Serial
87,1389738,MobyDick-217452,Serial
88,1661760,MobyDick-217452,Serial
89,1505115,MobyDick-217452,Serial
90,1537249,MobyDick-217452,Serial
91,1499132,MobyDick-217452,Serial
92,1419321,MobyDick-217452,Serial
93,1454844,MobyDick-217452,Serial
94,1453680,MobyDick-217452,Serial
95,1302519,MobyDick-217452,Serial
96,1442427,MobyDick-217452,Serial
97,1573699,MobyDick-217452,Serial
98,1644645,MobyDick-217452,Serial
99,1397138,MobyDick-217452,Serial
100,1414722,MobyDick-217452,Serial
101,1424825,MobyDick-217452,Serial
102,1238159,MobyDick-217452,Serial
103,1212005,MobyDick-217452,Serial
104,1187953,MobyDick-217452,Serial
105,1230165,MobyDick-217452,Serial
106,1222361,MobyDick-217452,Serial
107,1173379,MobyDick-217452,Serial
108,1322693,MobyDick-217452,Serial
109,1455318,MobyDick-217452,Serial
110,1393940,MobyDick-217452,Serial
111,1413519,MobyDick-217452,Serial
112,1416348,MobyDick-217452,Serial
113,1494181,MobyDick-217452,Serial
114,1723091,MobyDick-217452,Serial
115,1712139,MobyDick-217452,Serial
116,1745927,MobyDick-217452,Serial
117,1757373,MobyDick-217452,Serial
118,1606888,MobyDick-217452,Serial
119,1485117,MobyDick-217452,Serial
120,1467928,MobyDick-217452,Serial
121,1387743,MobyDick-217452,Serial
122,1375145,MobyDick-217452,Serial
123,1350504,MobyDick-217452,Serial
124,1422491,MobyDick-217452,Serial
125,1425997,MobyDick-217452,Serial
126,1393486,MobyDick-217452,Serial
127,1478878,MobyDick-217452,Serial
128,1535562,MobyDick-217452,Serial
129,1559752,MobyDick-217452,Serial
130,1640683,MobyDick-217452,Serial
131,1497745,MobyDick-217452,Serial
132,1495157,MobyDick-217452,Serial
133,1269889,MobyDick-217452,Serial
134,1504255,MobyDick-217452,Serial
135,1379881,MobyDick-217452,Serial
136,1486817,MobyDick-217452,Serial
137,1476654,MobyDick-217452,Serial
138,1515666,MobyDick-217452,Serial
139,1366105,MobyDick-217452,Serial
140,1268351,MobyDick-217452,Serial
141,1270936,MobyDick-217452,Serial
142,1645508,MobyDick-217452,Serial
143,1312088,MobyDick-217452,Serial
144,1279633,MobyDick-217452,Serial
145,1436904,MobyDick-217452,Serial
146,1252492,MobyDick-217452,Serial
147,1290541,MobyDick-217452,Serial
148,1372214,MobyDick-217452,Serial
149,1215695,MobyDick-217452,Serial
150,1258073,MobyDick-217452,Serial
151,1191708,MobyDick-217452,Serial
152,1426698,MobyDick-217452,Serial
153,1385465,MobyDick-217452,Serial
154,1271514,MobyDick-217452,Serial
155,1328316,MobyDick-217452,Serial
156,1590626,MobyDick-217452,Serial
157,1361658,MobyDick-217452,Serial
158,1219159,MobyDick-217452,Serial
159,1224923,MobyDick-217452,Serial
160,1274081,MobyDick-217452,Serial
161,1534086,MobyDick-217452,Serial
162,1504470,MobyDick-217452,Serial
163,1385232,MobyDick-217452,Serial
164,1410263,MobyDick-217452,Serial
165,1584242,MobyDick-217452,Serial
166,1721611,MobyDick-217452,Serial
167,1581905,MobyDick-217452,Serial
168,1568777,MobyDick-217452,Serial
169,1480018,MobyDick-217452,Serial
170,1431994,MobyDick-217452,Serial
171,1521294,MobyDick-217452,Serial
172,1523879,MobyDick-217452,Serial
173,1251297,MobyDick-217452,Serial
174,1206477,MobyDick-217452,Serial
175,1257755,MobyDick-217452,Serial
176,1318538,MobyDick-217452,Serial
177,1407124,MobyDick-217452,Serial
178,1358403,MobyDick-217452,Serial
179,1550825,MobyDick-217452,Serial
180,1482702,MobyDick-217452,Serial
181,1456293,MobyDick-217452,Serial
182,1485450,MobyDick-217452,Serial
183,1497975,MobyDick-217452,Serial
184,1373941,MobyDick-217452,Serial
185,1505047,MobyDick-217452,Serial
186,1440911,MobyDick-217452,Serial
187,1561717,MobyDick-217452,Serial
188,1346196,MobyDick-217452,Serial
189,1428481,MobyDick-217452,Serial
190,1453750,MobyDick-217452,Serial
191,1454665,MobyDick-217452,Serial
192,1388927,MobyDick-217452,Serial
193,1535855,MobyDick-217452,Serial
194,1418679,MobyDick-217452,Serial
195,1501835,MobyDick-217452,Serial
196,1428720,MobyDick-217452,Serial
197,1509621,MobyDick-217452,Serial
198,1282916,MobyDick-217452,Serial
199,1186158,MobyDick-217452,Serial
200,1419740,MobyDick-217452,Serial
201,1485221,MobyDick-217452,Serial
202,1234153,MobyDick-217452,Serial
203,1229438,MobyDick-217452,Serial
204,1272873,MobyDick-217452,Serial
205,1229151,MobyDick-217452,Serial
206,1243726,MobyDick-217452,Serial
207,1515270,MobyDick-217452,Serial
208,1288458,MobyDick-217452,Serial
209,1510686,MobyDick-217452,Serial
210,1259625,MobyDick-217452,Serial
211,1225702,MobyDick-217452,Serial
212,1354222,MobyDick-217452,Serial
213,1163493,MobyDick-217452,Serial
214,1120331,MobyDick-217452,Serial
215,1325429,MobyDick-217452,Serial
216,1225836,MobyDick-217452,Serial
217,1178728,MobyDick-217452,Serial
218,1152263,MobyDick-217452,Serial
219,1404346,MobyDick-217452,Serial
220,1418993,MobyDick-217452,Serial
221,1383603,MobyDick-217452,Serial
222,1416967,MobyDick-217452,Serial
223,1494008,MobyDick-217452,Serial
224,1526012,MobyDick-217452,Serial
225,1439919,MobyDick-217452,Serial
226,1215739,MobyDick-217452,Serial
227,1209084,MobyDick-217452,Serial
228,1150757,MobyDick-217452,Serial
229,1438701,MobyDick-217452,Serial
230,1540386,MobyDick-217452,Serial
231,1179858,MobyDick-217452,Serial
232,1148601,MobyDick-217452,Serial
233,1157330,MobyDick-217452,Serial
234,1149848,MobyDick-217452,Serial
235,1219626,MobyDick-217452,Serial
236,1199798,MobyDick-217452,Serial
237,1171034,MobyDick-217452,Serial
238,1442526,MobyDick-217452,Serial
239,1495435,MobyDick-217452,Serial
240,1460182,MobyDick-217452,Serial
241,1471927,MobyDick-217452,Serial
242,1255979,MobyDick-217452,Serial
243,1169679,MobyDick-217452,Serial
244,1299910,MobyDick-217452,Serial
245,1370311,MobyDick-217452,Serial
246,1165315,MobyDick-217452,Serial
247,1302474,MobyDick-217452,Serial
248,1389218,MobyDick-217452,Serial
249,1176835,MobyDick-217452,Serial
250,1361124,MobyDick-217452,Serial
251,1270285,MobyDick-217452,Serial
252,1400971,MobyDick-217452,Serial
253,1614728,MobyDick-217452,Serial
254,1612441,MobyDick-217452,Serial
255,1578815,MobyDick-217452,Serial
256,1475291,MobyDick-217452,Serial
257,1592765,MobyDick-217452,Serial
258,1531177,MobyDick-217452,Serial
259,1412828,MobyDick-217452,Serial
260,1454133,MobyDick-217452,Serial
261,1423421,MobyDick-217452,Serial
