Iteracao,Tempo(ns),Nome_Livro,Paradigma
1,68948081,DonQuixote-388208,Paralelo-GPU
2,80825203,DonQuixote-388208,Paralelo-GPU
3,62823773,DonQuixote-388208,Paralelo-GPU
4,62466233,DonQuixote-388208,Paralelo-GPU
5,63326733,DonQuixote-388208,Paralelo-GPU
6,62658317,DonQuixote-388208,Paralelo-GPU
7,63128489,DonQuixote-388208,Paralelo-GPU
8,64442266,DonQuixote-388208,Paralelo-GPU
9,62515881,DonQuixote-388208,Paralelo-GPU
10,62468893,DonQuixote-388208,Paralelo-GPU
11,63774935,DonQuixote-388208,Paralelo-GPU
12,62333265,DonQuixote-388208,Paralelo-GPU
13,62944836,DonQuixote-388208,Paralelo-GPU
14,65947603,DonQuixote-388208,Paralelo-GPU
15,62864961,DonQuixote-388208,Paralelo-GPU
16,64342089,DonQuixote-388208,Paralelo-GPU
17,62086903,DonQuixote-388208,Paralelo-GPU
18,62422663,DonQuixote-388208,Paralelo-GPU
19,70427602,DonQuixote-388208,Paralelo-GPU
20,63486841,DonQuixote-388208,Paralelo-GPU
21,66848061,DonQuixote-388208,Paralelo-GPU
22,62328508,DonQuixote-388208,Paralelo-GPU
23,61996259,DonQuixote-388208,Paralelo-GPU
24,63843212,DonQuixote-388208,Paralelo-GPU
25,62718605,DonQuixote-388208,Paralelo-GPU
26,61045745,DonQuixote-388208,Paralelo-GPU
27,62278884,DonQuixote-388208,Paralelo-GPU
28,62367590,DonQuixote-388208,Paralelo-GPU
29,62543060,DonQuixote-388208,Paralelo-GPU
30,115002427,DonQuixote-388208,Paralelo-GPU
31,62889997,DonQuixote-388208,Paralelo-GPU
32,62550148,DonQuixote-388208,Paralelo-GPU
33,62912877,DonQuixote-388208,Paralelo-GPU
34,63052286,DonQuixote-388208,Paralelo-GPU
35,62663897,DonQuixote-388208,Paralelo-GPU
36,63767552,DonQuixote-388208,Paralelo-GPU
37,63061402,DonQuixote-388208,Paralelo-GPU
38,62609391,DonQuixote-388208,Paralelo-GPU
39,63442790,DonQuixote-388208,Paralelo-GPU
40,62804047,DonQuixote-388208,Paralelo-GPU
41,62423112,DonQuixote-388208,Paralelo-GPU
42,63677407,DonQuixote-388208,Paralelo-GPU
43,62856652,DonQuixote-388208,Paralelo-GPU
44,62962423,DonQuixote-388208,Paralelo-GPU
45,62511508,DonQuixote-388208,Paralelo-GPU
46,62570789,DonQuixote-388208,Paralelo-GPU
47,62956520,DonQuixote-388208,Paralelo-GPU
