Iteracao,Tempo(ns),Nome,Paradigma,Quantidade_Threads
1,70544329,DonQuixote-388208,Paralelo-GPU,4
2,67844210,DonQuixote-388208,Paralelo-GPU,4
3,86937107,DonQuixote-388208,Paralelo-GPU,4
4,73130952,DonQuixote-388208,Paralelo-GPU,4
5,70459578,DonQuixote-388208,Paralelo-GPU,4
6,71225638,DonQuixote-388208,Paralelo-GPU,4
7,70290835,DonQuixote-388208,Paralelo-GPU,4
8,65637725,DonQuixote-388208,Paralelo-GPU,4
9,65224251,DonQuixote-388208,Paralelo-GPU,4
10,70009581,DonQuixote-388208,Paralelo-GPU,4
11,69332982,DonQuixote-388208,Paralelo-GPU,4
12,70018775,DonQuixote-388208,Paralelo-GPU,4
13,72515370,DonQuixote-388208,Paralelo-GPU,4
14,79598380,DonQuixote-388208,Paralelo-GPU,4
15,100169040,DonQuixote-388208,Paralelo-GPU,4
16,103709978,DonQuixote-388208,Paralelo-GPU,4
17,97384663,DonQuixote-388208,Paralelo-GPU,4
18,95079454,DonQuixote-388208,Paralelo-GPU,4
19,103152921,DonQuixote-388208,Paralelo-GPU,4
20,76759879,DonQuixote-388208,Paralelo-GPU,4
21,107913259,DonQuixote-388208,Paralelo-GPU,4
22,75562269,DonQuixote-388208,Paralelo-GPU,4
23,95623373,DonQuixote-388208,Paralelo-GPU,4
24,91901565,DonQuixote-388208,Paralelo-GPU,4
25,91503043,DonQuixote-388208,Paralelo-GPU,4
26,108083912,DonQuixote-388208,Paralelo-GPU,4
27,94417715,DonQuixote-388208,Paralelo-GPU,4
28,98309581,DonQuixote-388208,Paralelo-GPU,4
29,72451488,DonQuixote-388208,Paralelo-GPU,4
30,76660117,DonQuixote-388208,Paralelo-GPU,4
31,81246600,DonQuixote-388208,Paralelo-GPU,4
32,78055907,DonQuixote-388208,Paralelo-GPU,4
33,97686392,DonQuixote-388208,Paralelo-GPU,4
34,138974001,DonQuixote-388208,Paralelo-GPU,4
35,70360000,DonQuixote-388208,Paralelo-GPU,4
36,68370504,DonQuixote-388208,Paralelo-GPU,4
37,68494086,DonQuixote-388208,Paralelo-GPU,4
38,65552705,DonQuixote-388208,Paralelo-GPU,4
39,65222630,DonQuixote-388208,Paralelo-GPU,4
40,65457361,DonQuixote-388208,Paralelo-GPU,4
41,64586728,DonQuixote-388208,Paralelo-GPU,4
42,69512088,DonQuixote-388208,Paralelo-GPU,4
43,64728198,DonQuixote-388208,Paralelo-GPU,4
44,65722701,DonQuixote-388208,Paralelo-GPU,4
45,71283877,DonQuixote-388208,Paralelo-GPU,4
46,70589617,DonQuixote-388208,Paralelo-GPU,4
47,73136178,DonQuixote-388208,Paralelo-GPU,4
48,70116267,DonQuixote-388208,Paralelo-GPU,4
49,71370447,DonQuixote-388208,Paralelo-GPU,4
50,68464377,DonQuixote-388208,Paralelo-GPU,4
51,70566620,DonQuixote-388208,Paralelo-GPU,4
52,71235827,DonQuixote-388208,Paralelo-GPU,4
53,68522108,DonQuixote-388208,Paralelo-GPU,4
54,72292205,DonQuixote-388208,Paralelo-GPU,4
55,70164682,DonQuixote-388208,Paralelo-GPU,4
56,65856130,DonQuixote-388208,Paralelo-GPU,4
57,69492417,DonQuixote-388208,Paralelo-GPU,4
58,73217178,DonQuixote-388208,Paralelo-GPU,4
59,76413957,DonQuixote-388208,Paralelo-GPU,4
60,73683095,DonQuixote-388208,Paralelo-GPU,4
61,71891236,DonQuixote-388208,Paralelo-GPU,4
62,67606145,DonQuixote-388208,Paralelo-GPU,4
63,73860694,DonQuixote-388208,Paralelo-GPU,4
64,70662311,DonQuixote-388208,Paralelo-GPU,4
65,69077315,DonQuixote-388208,Paralelo-GPU,4
66,68521091,DonQuixote-388208,Paralelo-GPU,4
67,70309762,DonQuixote-388208,Paralelo-GPU,4
68,66218569,DonQuixote-388208,Paralelo-GPU,4
69,64289000,DonQuixote-388208,Paralelo-GPU,4
70,70095188,DonQuixote-388208,Paralelo-GPU,4
71,64466516,DonQuixote-388208,Paralelo-GPU,4
72,65979560,DonQuixote-388208,Paralelo-GPU,4
73,72384226,DonQuixote-388208,Paralelo-GPU,4
74,65598670,DonQuixote-388208,Paralelo-GPU,4
75,66867501,DonQuixote-388208,Paralelo-GPU,4
76,68478673,DonQuixote-388208,Paralelo-GPU,4
77,70557761,DonQuixote-388208,Paralelo-GPU,4
78,67841082,DonQuixote-388208,Paralelo-GPU,4
79,69288920,DonQuixote-388208,Paralelo-GPU,4
80,66804751,DonQuixote-388208,Paralelo-GPU,4
81,66478620,DonQuixote-388208,Paralelo-GPU,4
82,71951338,DonQuixote-388208,Paralelo-GPU,4
83,71259278,DonQuixote-388208,Paralelo-GPU,4
84,125284259,DonQuixote-388208,Paralelo-GPU,4
85,74724003,DonQuixote-388208,Paralelo-GPU,4
86,70348277,DonQuixote-388208,Paralelo-GPU,4
87,66022704,DonQuixote-388208,Paralelo-GPU,4
88,68486749,DonQuixote-388208,Paralelo-GPU,4
89,64980945,DonQuixote-388208,Paralelo-GPU,4
90,63578353,DonQuixote-388208,Paralelo-GPU,4
91,68922141,DonQuixote-388208,Paralelo-GPU,4
92,63693607,DonQuixote-388208,Paralelo-GPU,4
93,65073129,DonQuixote-388208,Paralelo-GPU,4
94,66058134,DonQuixote-388208,Paralelo-GPU,4
95,71218231,DonQuixote-388208,Paralelo-GPU,4
96,65834568,DonQuixote-388208,Paralelo-GPU,4
97,65897506,DonQuixote-388208,Paralelo-GPU,4
98,79248260,DonQuixote-388208,Paralelo-GPU,4
99,96860857,DonQuixote-388208,Paralelo-GPU,4
100,90341582,DonQuixote-388208,Paralelo-GPU,4
101,81465334,DonQuixote-388208,Paralelo-GPU,4
