Iteracao,Tempo(ns),Nome_Livro,Paradigma
1,60805160,Dracula-165307,Paralelo-GPU
2,60204076,Dracula-165307,Paralelo-GPU
3,72387112,Dracula-165307,Paralelo-GPU
4,60944168,Dracula-165307,Paralelo-GPU
5,59618128,Dracula-165307,Paralelo-GPU
6,59049700,Dracula-165307,Paralelo-GPU
7,59165761,Dracula-165307,Paralelo-GPU
8,61608090,Dracula-165307,Paralelo-GPU
9,59412813,Dracula-165307,Paralelo-GPU
10,59230324,Dracula-165307,Paralelo-GPU
11,58730002,Dracula-165307,Paralelo-GPU
12,58945783,Dracula-165307,Paralelo-GPU
13,59716929,Dracula-165307,Paralelo-GPU
14,59241962,Dracula-165307,Paralelo-GPU
15,66580631,Dracula-165307,Paralelo-GPU
16,85564008,Dracula-165307,Paralelo-GPU
17,60039595,Dracula-165307,Paralelo-GPU
18,68741266,Dracula-165307,Paralelo-GPU
19,60584439,Dracula-165307,Paralelo-GPU
20,59916226,Dracula-165307,Paralelo-GPU
21,59040256,Dracula-165307,Paralelo-GPU
22,59092570,Dracula-165307,Paralelo-GPU
23,58967056,Dracula-165307,Paralelo-GPU
24,75219820,Dracula-165307,Paralelo-GPU
25,59690871,Dracula-165307,Paralelo-GPU
26,60085066,Dracula-165307,Paralelo-GPU
27,59501726,Dracula-165307,Paralelo-GPU
28,60904774,Dracula-165307,Paralelo-GPU
29,59948619,Dracula-165307,Paralelo-GPU
30,59098691,Dracula-165307,Paralelo-GPU
31,59209463,Dracula-165307,Paralelo-GPU
32,60571237,Dracula-165307,Paralelo-GPU
33,56801154,Dracula-165307,Paralelo-GPU
34,58992442,Dracula-165307,Paralelo-GPU
35,58832363,Dracula-165307,Paralelo-GPU
36,60025371,Dracula-165307,Paralelo-GPU
37,60148089,Dracula-165307,Paralelo-GPU
38,59362323,Dracula-165307,Paralelo-GPU
39,58650014,Dracula-165307,Paralelo-GPU
40,60287031,Dracula-165307,Paralelo-GPU
