Iteracao,Tempo(ns),Nome,Paradigma,Quantidade_Threads
1,90131417,Dracula-165307,Paralelo-GPU,4
2,70683744,Dracula-165307,Paralelo-GPU,4
3,65839517,Dracula-165307,Paralelo-GPU,4
4,62476219,Dracula-165307,Paralelo-GPU,4
5,65577758,Dracula-165307,Paralelo-GPU,4
6,63018947,Dracula-165307,Paralelo-GPU,4
7,62666357,Dracula-165307,Paralelo-GPU,4
8,64855802,Dracula-165307,Paralelo-GPU,4
9,65423024,Dracula-165307,Paralelo-GPU,4
10,62173038,Dracula-165307,Paralelo-GPU,4
11,63205457,Dracula-165307,Paralelo-GPU,4
12,70856915,Dracula-165307,Paralelo-GPU,4
13,106503724,Dracula-165307,Paralelo-GPU,4
14,100076382,Dracula-165307,Paralelo-GPU,4
15,88325338,Dracula-165307,Paralelo-GPU,4
16,74699776,Dracula-165307,Paralelo-GPU,4
17,70891666,Dracula-165307,Paralelo-GPU,4
18,66159098,Dracula-165307,Paralelo-GPU,4
19,64780749,Dracula-165307,Paralelo-GPU,4
20,63959201,Dracula-165307,Paralelo-GPU,4
21,65906954,Dracula-165307,Paralelo-GPU,4
22,63729219,Dracula-165307,Paralelo-GPU,4
23,62091235,Dracula-165307,Paralelo-GPU,4
24,59123841,Dracula-165307,Paralelo-GPU,4
25,59339063,Dracula-165307,Paralelo-GPU,4
26,65172962,Dracula-165307,Paralelo-GPU,4
27,65947710,Dracula-165307,Paralelo-GPU,4
28,60034460,Dracula-165307,Paralelo-GPU,4
29,62187385,Dracula-165307,Paralelo-GPU,4
30,63528415,Dracula-165307,Paralelo-GPU,4
31,68805949,Dracula-165307,Paralelo-GPU,4
32,64243261,Dracula-165307,Paralelo-GPU,4
33,67181692,Dracula-165307,Paralelo-GPU,4
34,61657332,Dracula-165307,Paralelo-GPU,4
35,64685015,Dracula-165307,Paralelo-GPU,4
36,61236441,Dracula-165307,Paralelo-GPU,4
37,62407342,Dracula-165307,Paralelo-GPU,4
38,61862969,Dracula-165307,Paralelo-GPU,4
39,66079926,Dracula-165307,Paralelo-GPU,4
40,73144124,Dracula-165307,Paralelo-GPU,4
41,69720485,Dracula-165307,Paralelo-GPU,4
42,63983471,Dracula-165307,Paralelo-GPU,4
43,71020825,Dracula-165307,Paralelo-GPU,4
44,69825588,Dracula-165307,Paralelo-GPU,4
45,63562489,Dracula-165307,Paralelo-GPU,4
46,63136011,Dracula-165307,Paralelo-GPU,4
47,69800822,Dracula-165307,Paralelo-GPU,4
48,62750031,Dracula-165307,Paralelo-GPU,4
49,67715695,Dracula-165307,Paralelo-GPU,4
50,63346755,Dracula-165307,Paralelo-GPU,4
51,69148957,Dracula-165307,Paralelo-GPU,4
52,59991767,Dracula-165307,Paralelo-GPU,4
53,70190049,Dracula-165307,Paralelo-GPU,4
54,59179656,Dracula-165307,Paralelo-GPU,4
55,60702741,Dracula-165307,Paralelo-GPU,4
56,59911871,Dracula-165307,Paralelo-GPU,4
57,64215821,Dracula-165307,Paralelo-GPU,4
58,59623060,Dracula-165307,Paralelo-GPU,4
59,60418223,Dracula-165307,Paralelo-GPU,4
60,61582157,Dracula-165307,Paralelo-GPU,4
61,85090759,Dracula-165307,Paralelo-GPU,4
62,101083990,Dracula-165307,Paralelo-GPU,4
63,130325568,Dracula-165307,Paralelo-GPU,4
64,101080333,Dracula-165307,Paralelo-GPU,4
65,66508740,Dracula-165307,Paralelo-GPU,4
66,73273949,Dracula-165307,Paralelo-GPU,4
67,63903362,Dracula-165307,Paralelo-GPU,4
68,80409681,Dracula-165307,Paralelo-GPU,4
69,83897914,Dracula-165307,Paralelo-GPU,4
70,96952714,Dracula-165307,Paralelo-GPU,4
71,62844564,Dracula-165307,Paralelo-GPU,4
72,86289432,Dracula-165307,Paralelo-GPU,4
73,72117611,Dracula-165307,Paralelo-GPU,4
74,61265966,Dracula-165307,Paralelo-GPU,4
75,61188466,Dracula-165307,Paralelo-GPU,4
76,74174874,Dracula-165307,Paralelo-GPU,4
77,62160401,Dracula-165307,Paralelo-GPU,4
78,60855220,Dracula-165307,Paralelo-GPU,4
79,69125692,Dracula-165307,Paralelo-GPU,4
80,79618923,Dracula-165307,Paralelo-GPU,4
81,73878353,Dracula-165307,Paralelo-GPU,4
82,69909010,Dracula-165307,Paralelo-GPU,4
83,80938339,Dracula-165307,Paralelo-GPU,4
84,89732149,Dracula-165307,Paralelo-GPU,4
85,73699130,Dracula-165307,Paralelo-GPU,4
86,65762758,Dracula-165307,Paralelo-GPU,4
87,77855119,Dracula-165307,Paralelo-GPU,4
88,85319262,Dracula-165307,Paralelo-GPU,4
89,79364628,Dracula-165307,Paralelo-GPU,4
90,93014475,Dracula-165307,Paralelo-GPU,4
91,123617522,Dracula-165307,Paralelo-GPU,4
92,107794330,Dracula-165307,Paralelo-GPU,4
93,60632318,Dracula-165307,Paralelo-GPU,4
94,65924930,Dracula-165307,Paralelo-GPU,4
95,78882994,Dracula-165307,Paralelo-GPU,4
96,63342503,Dracula-165307,Paralelo-GPU,4
97,67034677,Dracula-165307,Paralelo-GPU,4
98,77154873,Dracula-165307,Paralelo-GPU,4
99,71111436,Dracula-165307,Paralelo-GPU,4
100,82377808,Dracula-165307,Paralelo-GPU,4
101,74823856,Dracula-165307,Paralelo-GPU,4
102,120917527,Dracula-165307,Paralelo-GPU,4
103,84811363,Dracula-165307,Paralelo-GPU,4
104,127091906,Dracula-165307,Paralelo-GPU,4
105,75500893,Dracula-165307,Paralelo-GPU,4
106,110706716,Dracula-165307,Paralelo-GPU,4
107,113143461,Dracula-165307,Paralelo-GPU,4
108,127766924,Dracula-165307,Paralelo-GPU,4
109,161848417,Dracula-165307,Paralelo-GPU,4
110,280281288,Dracula-165307,Paralelo-GPU,4
111,349274641,Dracula-165307,Paralelo-GPU,4
112,177927518,Dracula-165307,Paralelo-GPU,4
113,135358091,Dracula-165307,Paralelo-GPU,4
114,170944215,Dracula-165307,Paralelo-GPU,4
115,197621198,Dracula-165307,Paralelo-GPU,4
116,324455826,Dracula-165307,Paralelo-GPU,4
117,167612982,Dracula-165307,Paralelo-GPU,4
118,178879475,Dracula-165307,Paralelo-GPU,4
119,258545186,Dracula-165307,Paralelo-GPU,4
120,123810633,Dracula-165307,Paralelo-GPU,4
121,99571046,Dracula-165307,Paralelo-GPU,4
122,96435147,Dracula-165307,Paralelo-GPU,4
123,87578080,Dracula-165307,Paralelo-GPU,4
124,96420600,Dracula-165307,Paralelo-GPU,4
125,69535037,Dracula-165307,Paralelo-GPU,4
126,62689895,Dracula-165307,Paralelo-GPU,4
127,61767161,Dracula-165307,Paralelo-GPU,4
128,81653767,Dracula-165307,Paralelo-GPU,4
129,66415972,Dracula-165307,Paralelo-GPU,4
130,65474464,Dracula-165307,Paralelo-GPU,4
131,63264225,Dracula-165307,Paralelo-GPU,4
132,71852504,Dracula-165307,Paralelo-GPU,4
133,67989212,Dracula-165307,Paralelo-GPU,4
