Iteracao,Tempo(ns),Nome_Livro,Paradigma
1,366746719,MobyDick-217452,Paralelo-GPU
2,75811405,MobyDick-217452,Paralelo-GPU
3,71641461,MobyDick-217452,Paralelo-GPU
4,78818657,MobyDick-217452,Paralelo-GPU
5,95556823,MobyDick-217452,Paralelo-GPU
6,59081855,MobyDick-217452,Paralelo-GPU
7,59911170,MobyDick-217452,Paralelo-GPU
8,60943752,MobyDick-217452,Paralelo-GPU
9,59946670,MobyDick-217452,Paralelo-GPU
10,61407160,MobyDick-217452,Paralelo-GPU
11,61186592,MobyDick-217452,Paralelo-GPU
12,61152360,MobyDick-217452,Paralelo-GPU
13,85518090,MobyDick-217452,Paralelo-GPU
14,82799631,MobyDick-217452,Paralelo-GPU
15,66084788,MobyDick-217452,Paralelo-GPU
16,60791251,MobyDick-217452,Paralelo-GPU
17,68651194,MobyDick-217452,Paralelo-GPU
18,68813553,MobyDick-217452,Paralelo-GPU
19,62071977,MobyDick-217452,Paralelo-GPU
20,58822204,MobyDick-217452,Paralelo-GPU
21,59576926,MobyDick-217452,Paralelo-GPU
22,60891977,MobyDick-217452,Paralelo-GPU
23,61886086,MobyDick-217452,Paralelo-GPU
24,68836839,MobyDick-217452,Paralelo-GPU
25,62308522,MobyDick-217452,Paralelo-GPU
26,73966295,MobyDick-217452,Paralelo-GPU
27,64563387,MobyDick-217452,Paralelo-GPU
28,60192366,MobyDick-217452,Paralelo-GPU
29,74313338,MobyDick-217452,Paralelo-GPU
30,71770725,MobyDick-217452,Paralelo-GPU
31,68287419,MobyDick-217452,Paralelo-GPU
32,60624953,MobyDick-217452,Paralelo-GPU
33,60443620,MobyDick-217452,Paralelo-GPU
34,60283124,MobyDick-217452,Paralelo-GPU
35,60344442,MobyDick-217452,Paralelo-GPU
36,59804761,MobyDick-217452,Paralelo-GPU
37,62418447,MobyDick-217452,Paralelo-GPU
38,59927239,MobyDick-217452,Paralelo-GPU
39,61795838,MobyDick-217452,Paralelo-GPU
40,60232672,MobyDick-217452,Paralelo-GPU
41,61529490,MobyDick-217452,Paralelo-GPU
42,61390023,MobyDick-217452,Paralelo-GPU
43,61406141,MobyDick-217452,Paralelo-GPU
44,60275214,MobyDick-217452,Paralelo-GPU
45,60873113,MobyDick-217452,Paralelo-GPU
46,71947234,MobyDick-217452,Paralelo-GPU
47,62126185,MobyDick-217452,Paralelo-GPU
48,61267159,MobyDick-217452,Paralelo-GPU
49,61356350,MobyDick-217452,Paralelo-GPU
50,60776463,MobyDick-217452,Paralelo-GPU
51,62125247,MobyDick-217452,Paralelo-GPU
52,60451623,MobyDick-217452,Paralelo-GPU
53,61387646,MobyDick-217452,Paralelo-GPU
54,60310639,MobyDick-217452,Paralelo-GPU
55,62949262,MobyDick-217452,Paralelo-GPU
56,60517604,MobyDick-217452,Paralelo-GPU
57,60956918,MobyDick-217452,Paralelo-GPU
58,60641298,MobyDick-217452,Paralelo-GPU
59,62219671,MobyDick-217452,Paralelo-GPU
60,60795710,MobyDick-217452,Paralelo-GPU
61,60707757,MobyDick-217452,Paralelo-GPU
62,60926262,MobyDick-217452,Paralelo-GPU
63,63416033,MobyDick-217452,Paralelo-GPU
64,62448326,MobyDick-217452,Paralelo-GPU
65,60897309,MobyDick-217452,Paralelo-GPU
66,60444831,MobyDick-217452,Paralelo-GPU
67,62350589,MobyDick-217452,Paralelo-GPU
68,60996143,MobyDick-217452,Paralelo-GPU
69,60321593,MobyDick-217452,Paralelo-GPU
70,62214642,MobyDick-217452,Paralelo-GPU
71,61452480,MobyDick-217452,Paralelo-GPU
72,61224577,MobyDick-217452,Paralelo-GPU
73,61969551,MobyDick-217452,Paralelo-GPU
74,60247450,MobyDick-217452,Paralelo-GPU
75,61596978,MobyDick-217452,Paralelo-GPU
76,60671490,MobyDick-217452,Paralelo-GPU
77,60855093,MobyDick-217452,Paralelo-GPU
78,61626159,MobyDick-217452,Paralelo-GPU
79,62530455,MobyDick-217452,Paralelo-GPU
80,60766181,MobyDick-217452,Paralelo-GPU
81,59928737,MobyDick-217452,Paralelo-GPU
82,60634527,MobyDick-217452,Paralelo-GPU
83,61243420,MobyDick-217452,Paralelo-GPU
84,60895152,MobyDick-217452,Paralelo-GPU
85,60375924,MobyDick-217452,Paralelo-GPU
86,59837234,MobyDick-217452,Paralelo-GPU
87,59935698,MobyDick-217452,Paralelo-GPU
88,60490979,MobyDick-217452,Paralelo-GPU
89,59401689,MobyDick-217452,Paralelo-GPU
90,60560130,MobyDick-217452,Paralelo-GPU
91,61649367,MobyDick-217452,Paralelo-GPU
92,61060584,MobyDick-217452,Paralelo-GPU
93,60474971,MobyDick-217452,Paralelo-GPU
94,60790748,MobyDick-217452,Paralelo-GPU
95,59620837,MobyDick-217452,Paralelo-GPU
96,61238828,MobyDick-217452,Paralelo-GPU
97,59618644,MobyDick-217452,Paralelo-GPU
98,60156187,MobyDick-217452,Paralelo-GPU
99,59870532,MobyDick-217452,Paralelo-GPU
100,61151471,MobyDick-217452,Paralelo-GPU
101,60623364,MobyDick-217452,Paralelo-GPU
102,60496936,MobyDick-217452,Paralelo-GPU
103,60732918,MobyDick-217452,Paralelo-GPU
104,61110402,MobyDick-217452,Paralelo-GPU
105,61123674,MobyDick-217452,Paralelo-GPU
106,60084347,MobyDick-217452,Paralelo-GPU
107,60996384,MobyDick-217452,Paralelo-GPU
108,60791150,MobyDick-217452,Paralelo-GPU
109,61078242,MobyDick-217452,Paralelo-GPU
110,69604238,MobyDick-217452,Paralelo-GPU
111,64242768,MobyDick-217452,Paralelo-GPU
112,63572874,MobyDick-217452,Paralelo-GPU
113,66224989,MobyDick-217452,Paralelo-GPU
114,64618838,MobyDick-217452,Paralelo-GPU
115,66832187,MobyDick-217452,Paralelo-GPU
116,61141880,MobyDick-217452,Paralelo-GPU
117,61580667,MobyDick-217452,Paralelo-GPU
118,63596281,MobyDick-217452,Paralelo-GPU
119,61540774,MobyDick-217452,Paralelo-GPU
120,60786358,MobyDick-217452,Paralelo-GPU
121,60445268,MobyDick-217452,Paralelo-GPU
122,61411043,MobyDick-217452,Paralelo-GPU
123,60055427,MobyDick-217452,Paralelo-GPU
124,61906688,MobyDick-217452,Paralelo-GPU
125,60231182,MobyDick-217452,Paralelo-GPU
126,61020387,MobyDick-217452,Paralelo-GPU
127,61410807,MobyDick-217452,Paralelo-GPU
128,61950026,MobyDick-217452,Paralelo-GPU
129,60588519,MobyDick-217452,Paralelo-GPU
130,61040691,MobyDick-217452,Paralelo-GPU
131,59922105,MobyDick-217452,Paralelo-GPU
132,142214163,MobyDick-217452,Paralelo-GPU
133,61035799,MobyDick-217452,Paralelo-GPU
134,62172015,MobyDick-217452,Paralelo-GPU
135,61604162,MobyDick-217452,Paralelo-GPU
136,60945778,MobyDick-217452,Paralelo-GPU
137,60510886,MobyDick-217452,Paralelo-GPU
138,60366241,MobyDick-217452,Paralelo-GPU
139,60685043,MobyDick-217452,Paralelo-GPU
140,59945361,MobyDick-217452,Paralelo-GPU
141,60311683,MobyDick-217452,Paralelo-GPU
142,61012039,MobyDick-217452,Paralelo-GPU
143,63630748,MobyDick-217452,Paralelo-GPU
144,60099956,MobyDick-217452,Paralelo-GPU
145,59956538,MobyDick-217452,Paralelo-GPU
146,59954915,MobyDick-217452,Paralelo-GPU
147,62513431,MobyDick-217452,Paralelo-GPU
148,61168329,MobyDick-217452,Paralelo-GPU
149,60567654,MobyDick-217452,Paralelo-GPU
150,60486376,MobyDick-217452,Paralelo-GPU
151,61567559,MobyDick-217452,Paralelo-GPU
152,61749931,MobyDick-217452,Paralelo-GPU
153,60021878,MobyDick-217452,Paralelo-GPU
154,61134521,MobyDick-217452,Paralelo-GPU
155,62728453,MobyDick-217452,Paralelo-GPU
156,61687339,MobyDick-217452,Paralelo-GPU
157,61032827,MobyDick-217452,Paralelo-GPU
158,69355771,MobyDick-217452,Paralelo-GPU
159,71009726,MobyDick-217452,Paralelo-GPU
160,61637340,MobyDick-217452,Paralelo-GPU
161,60904843,MobyDick-217452,Paralelo-GPU
162,60175953,MobyDick-217452,Paralelo-GPU
163,62490711,MobyDick-217452,Paralelo-GPU
164,62346173,MobyDick-217452,Paralelo-GPU
165,60141610,MobyDick-217452,Paralelo-GPU
166,60771827,MobyDick-217452,Paralelo-GPU
167,61564748,MobyDick-217452,Paralelo-GPU
168,62526251,MobyDick-217452,Paralelo-GPU
169,61219424,MobyDick-217452,Paralelo-GPU
170,61509294,MobyDick-217452,Paralelo-GPU
171,61769966,MobyDick-217452,Paralelo-GPU
172,61381348,MobyDick-217452,Paralelo-GPU
173,62934164,MobyDick-217452,Paralelo-GPU
174,61166589,MobyDick-217452,Paralelo-GPU
175,60793167,MobyDick-217452,Paralelo-GPU
176,63474672,MobyDick-217452,Paralelo-GPU
177,60695359,MobyDick-217452,Paralelo-GPU
178,61498933,MobyDick-217452,Paralelo-GPU
179,61589106,MobyDick-217452,Paralelo-GPU
180,60569922,MobyDick-217452,Paralelo-GPU
181,61021882,MobyDick-217452,Paralelo-GPU
182,60662074,MobyDick-217452,Paralelo-GPU
183,61081737,MobyDick-217452,Paralelo-GPU
184,62205184,MobyDick-217452,Paralelo-GPU
185,60725815,MobyDick-217452,Paralelo-GPU
186,60343275,MobyDick-217452,Paralelo-GPU
187,60695976,MobyDick-217452,Paralelo-GPU
188,61188723,MobyDick-217452,Paralelo-GPU
189,60908381,MobyDick-217452,Paralelo-GPU
190,63677594,MobyDick-217452,Paralelo-GPU
191,60906766,MobyDick-217452,Paralelo-GPU
192,62030353,MobyDick-217452,Paralelo-GPU
193,61245244,MobyDick-217452,Paralelo-GPU
194,60685853,MobyDick-217452,Paralelo-GPU
195,61692189,MobyDick-217452,Paralelo-GPU
196,61148892,MobyDick-217452,Paralelo-GPU
197,60958207,MobyDick-217452,Paralelo-GPU
198,60974209,MobyDick-217452,Paralelo-GPU
199,61899615,MobyDick-217452,Paralelo-GPU
200,61841290,MobyDick-217452,Paralelo-GPU
201,60366413,MobyDick-217452,Paralelo-GPU
202,60132110,MobyDick-217452,Paralelo-GPU
203,60421910,MobyDick-217452,Paralelo-GPU
204,61414309,MobyDick-217452,Paralelo-GPU
205,61192671,MobyDick-217452,Paralelo-GPU
206,60304581,MobyDick-217452,Paralelo-GPU
207,61330419,MobyDick-217452,Paralelo-GPU
208,61792529,MobyDick-217452,Paralelo-GPU
209,60686134,MobyDick-217452,Paralelo-GPU
210,63362411,MobyDick-217452,Paralelo-GPU
211,60454422,MobyDick-217452,Paralelo-GPU
212,61038170,MobyDick-217452,Paralelo-GPU
213,60732489,MobyDick-217452,Paralelo-GPU
214,60737672,MobyDick-217452,Paralelo-GPU
215,60952721,MobyDick-217452,Paralelo-GPU
216,64846315,MobyDick-217452,Paralelo-GPU
217,62861978,MobyDick-217452,Paralelo-GPU
218,60895360,MobyDick-217452,Paralelo-GPU
