Iteracao,Tempo(ns),Nome,Paradigma,Quantidade_Threads
1,181097319,MobyDick-217452,Paralelo-GPU,4
2,61510276,MobyDick-217452,Paralelo-GPU,4
3,60614152,MobyDick-217452,Paralelo-GPU,4
4,62218543,MobyDick-217452,Paralelo-GPU,4
5,62738569,MobyDick-217452,Paralelo-GPU,4
6,56346540,MobyDick-217452,Paralelo-GPU,4
7,54589819,MobyDick-217452,Paralelo-GPU,4
8,58306494,MobyDick-217452,Paralelo-GPU,4
9,60100902,MobyDick-217452,Paralelo-GPU,4
10,55738583,MobyDick-217452,Paralelo-GPU,4
11,55787731,MobyDick-217452,Paralelo-GPU,4
12,59654991,MobyDick-217452,Paralelo-GPU,4
13,65169211,MobyDick-217452,Paralelo-GPU,4
14,57198175,MobyDick-217452,Paralelo-GPU,4
15,59716345,MobyDick-217452,Paralelo-GPU,4
16,57860014,MobyDick-217452,Paralelo-GPU,4
17,108399613,MobyDick-217452,Paralelo-GPU,4
18,66381985,MobyDick-217452,Paralelo-GPU,4
19,82975908,MobyDick-217452,Paralelo-GPU,4
20,59032022,MobyDick-217452,Paralelo-GPU,4
21,63838299,MobyDick-217452,Paralelo-GPU,4
22,64609495,MobyDick-217452,Paralelo-GPU,4
23,67422336,MobyDick-217452,Paralelo-GPU,4
24,69623305,MobyDick-217452,Paralelo-GPU,4
25,54331306,MobyDick-217452,Paralelo-GPU,4
26,70758122,MobyDick-217452,Paralelo-GPU,4
27,75047318,MobyDick-217452,Paralelo-GPU,4
28,69070442,MobyDick-217452,Paralelo-GPU,4
29,59666282,MobyDick-217452,Paralelo-GPU,4
30,57753117,MobyDick-217452,Paralelo-GPU,4
31,56243855,MobyDick-217452,Paralelo-GPU,4
32,60032284,MobyDick-217452,Paralelo-GPU,4
33,57116696,MobyDick-217452,Paralelo-GPU,4
34,56956198,MobyDick-217452,Paralelo-GPU,4
35,59386856,MobyDick-217452,Paralelo-GPU,4
36,75226698,MobyDick-217452,Paralelo-GPU,4
37,64543242,MobyDick-217452,Paralelo-GPU,4
38,57273163,MobyDick-217452,Paralelo-GPU,4
39,53695434,MobyDick-217452,Paralelo-GPU,4
40,57379281,MobyDick-217452,Paralelo-GPU,4
