Iteracao,Tempo(ns),Nome_Livro,Paradigma,Quantidade_Threads
1,567931,DonQuixote-388208,Paralelo,4
2,264316,DonQuixote-388208,Paralelo,4
3,242972,DonQuixote-388208,Paralelo,4
4,240743,DonQuixote-388208,Paralelo,4
5,233813,DonQuixote-388208,Paralelo,4
6,233513,DonQuixote-388208,Paralelo,4
7,237008,DonQuixote-388208,Paralelo,4
8,223407,DonQuixote-388208,Paralelo,4
9,238653,DonQuixote-388208,Paralelo,4
10,227488,DonQuixote-388208,Paralelo,4
11,220194,DonQuixote-388208,Paralelo,4
12,228170,DonQuixote-388208,Paralelo,4
13,235184,DonQuixote-388208,Paralelo,4
14,232133,DonQuixote-388208,Paralelo,4
15,237645,DonQuixote-388208,Paralelo,4
16,216277,DonQuixote-388208,Paralelo,4
17,228418,DonQuixote-388208,Paralelo,4
18,225234,DonQuixote-388208,Paralelo,4
19,245940,DonQuixote-388208,Paralelo,4
20,229959,DonQuixote-388208,Paralelo,4
21,227831,DonQuixote-388208,Paralelo,4
22,242787,DonQuixote-388208,Paralelo,4
23,224879,DonQuixote-388208,Paralelo,4
24,239382,DonQuixote-388208,Paralelo,4
25,223055,DonQuixote-388208,Paralelo,4
26,238403,DonQuixote-388208,Paralelo,4
27,238887,DonQuixote-388208,Paralelo,4
28,231120,DonQuixote-388208,Paralelo,4
29,236052,DonQuixote-388208,Paralelo,4
30,235485,DonQuixote-388208,Paralelo,4
31,240002,DonQuixote-388208,Paralelo,4
32,224765,DonQuixote-388208,Paralelo,4
33,218696,DonQuixote-388208,Paralelo,4
34,236420,DonQuixote-388208,Paralelo,4
35,247426,DonQuixote-388208,Paralelo,4
36,233267,DonQuixote-388208,Paralelo,4
37,232619,DonQuixote-388208,Paralelo,4
38,215088,DonQuixote-388208,Paralelo,4
39,247325,DonQuixote-388208,Paralelo,4
40,229544,DonQuixote-388208,Paralelo,4
41,241017,DonQuixote-388208,Paralelo,4
42,215488,DonQuixote-388208,Paralelo,4
43,226961,DonQuixote-388208,Paralelo,4
44,239167,DonQuixote-388208,Paralelo,4
45,233771,DonQuixote-388208,Paralelo,4
46,220905,DonQuixote-388208,Paralelo,4
47,244274,DonQuixote-388208,Paralelo,4
48,219775,DonQuixote-388208,Paralelo,4
49,213700,DonQuixote-388208,Paralelo,4
50,228759,DonQuixote-388208,Paralelo,4
51,222671,DonQuixote-388208,Paralelo,4
52,218131,DonQuixote-388208,Paralelo,4
53,213774,DonQuixote-388208,Paralelo,4
54,211221,DonQuixote-388208,Paralelo,4
55,223789,DonQuixote-388208,Paralelo,4
56,223676,DonQuixote-388208,Paralelo,4
57,213665,DonQuixote-388208,Paralelo,4
58,210292,DonQuixote-388208,Paralelo,4
59,222747,DonQuixote-388208,Paralelo,4
60,223387,DonQuixote-388208,Paralelo,4
61,215536,DonQuixote-388208,Paralelo,4
62,215420,DonQuixote-388208,Paralelo,4
63,213004,DonQuixote-388208,Paralelo,4
64,209361,DonQuixote-388208,Paralelo,4
65,222432,DonQuixote-388208,Paralelo,4
66,229487,DonQuixote-388208,Paralelo,4
67,219962,DonQuixote-388208,Paralelo,4
68,213311,DonQuixote-388208,Paralelo,4
69,227857,DonQuixote-388208,Paralelo,4
70,218990,DonQuixote-388208,Paralelo,4
71,221919,DonQuixote-388208,Paralelo,4
72,214794,DonQuixote-388208,Paralelo,4
73,237100,DonQuixote-388208,Paralelo,4
74,211725,DonQuixote-388208,Paralelo,4
75,214849,DonQuixote-388208,Paralelo,4
76,251121,DonQuixote-388208,Paralelo,4
77,292958,DonQuixote-388208,Paralelo,4
78,236281,DonQuixote-388208,Paralelo,4
79,235928,DonQuixote-388208,Paralelo,4
80,227929,DonQuixote-388208,Paralelo,4
81,256171,DonQuixote-388208,Paralelo,4
82,251349,DonQuixote-388208,Paralelo,4
83,241212,DonQuixote-388208,Paralelo,4
84,230587,DonQuixote-388208,Paralelo,4
