Iteracao,Tempo(ns),Nome_Livro,Paradigma,Quantidade_Threads
1,2363973,Dracula-165307,Paralelo,4
2,672002,Dracula-165307,Paralelo,4
3,643813,Dracula-165307,Paralelo,4
4,564000,Dracula-165307,Paralelo,4
5,7405157,Dracula-165307,Paralelo,4
6,1098439,Dracula-165307,Paralelo,4
7,599283,Dracula-165307,Paralelo,4
8,672936,Dracula-165307,Paralelo,4
9,4418430,Dracula-165307,Paralelo,4
10,4231053,Dracula-165307,Paralelo,4
11,5289230,Dracula-165307,Paralelo,4
12,4392656,Dracula-165307,Paralelo,4
13,4567582,Dracula-165307,Paralelo,4
14,907027,Dracula-165307,Paralelo,4
15,462204,Dracula-165307,Paralelo,4
16,443030,Dracula-165307,Paralelo,4
17,427240,Dracula-165307,Paralelo,4
18,523581,Dracula-165307,Paralelo,4
19,1158765,Dracula-165307,Paralelo,4
20,426602,Dracula-165307,Paralelo,4
21,2789316,Dracula-165307,Paralelo,4
22,1141224,Dracula-165307,Paralelo,4
23,1027198,Dracula-165307,Paralelo,4
24,1137777,Dracula-165307,Paralelo,4
25,1228081,Dracula-165307,Paralelo,4
26,1270662,Dracula-165307,Paralelo,4
27,423388,Dracula-165307,Paralelo,4
28,1315270,Dracula-165307,Paralelo,4
29,3030407,Dracula-165307,Paralelo,4
30,920884,Dracula-165307,Paralelo,4
31,534092,Dracula-165307,Paralelo,4
32,1138361,Dracula-165307,Paralelo,4
33,528053,Dracula-165307,Paralelo,4
34,1609143,Dracula-165307,Paralelo,4
35,377969,Dracula-165307,Paralelo,4
36,908624,Dracula-165307,Paralelo,4
37,401565,Dracula-165307,Paralelo,4
38,416548,Dracula-165307,Paralelo,4
39,416277,Dracula-165307,Paralelo,4
40,495608,Dracula-165307,Paralelo,4
41,454236,Dracula-165307,Paralelo,4
42,428558,Dracula-165307,Paralelo,4
43,442572,Dracula-165307,Paralelo,4
44,457318,Dracula-165307,Paralelo,4
45,435180,Dracula-165307,Paralelo,4
46,421625,Dracula-165307,Paralelo,4
47,412119,Dracula-165307,Paralelo,4
48,356950,Dracula-165307,Paralelo,4
49,427055,Dracula-165307,Paralelo,4
50,364856,Dracula-165307,Paralelo,4
51,357293,Dracula-165307,Paralelo,4
52,350888,Dracula-165307,Paralelo,4
53,329091,Dracula-165307,Paralelo,4
54,380474,Dracula-165307,Paralelo,4
