Iteracao,Tempo(ns),Nome_Livro,Paradigma,Quantidade_Threads
1,3072951,MobyDick-217452,Paralelo,4
2,961775,MobyDick-217452,Paralelo,4
3,713585,MobyDick-217452,Paralelo,4
4,586072,MobyDick-217452,Paralelo,4
5,519056,MobyDick-217452,Paralelo,4
6,526709,MobyDick-217452,Paralelo,4
7,443856,MobyDick-217452,Paralelo,4
8,439942,MobyDick-217452,Paralelo,4
9,464518,MobyDick-217452,Paralelo,4
10,502835,MobyDick-217452,Paralelo,4
11,507055,MobyDick-217452,Paralelo,4
12,455006,MobyDick-217452,Paralelo,4
13,470459,MobyDick-217452,Paralelo,4
14,474238,MobyDick-217452,Paralelo,4
15,539665,MobyDick-217452,Paralelo,4
16,470099,MobyDick-217452,Paralelo,4
17,542111,MobyDick-217452,Paralelo,4
18,425628,MobyDick-217452,Paralelo,4
19,502473,MobyDick-217452,Paralelo,4
20,427182,MobyDick-217452,Paralelo,4
21,463073,MobyDick-217452,Paralelo,4
22,468904,MobyDick-217452,Paralelo,4
23,420471,MobyDick-217452,Paralelo,4
24,415620,MobyDick-217452,Paralelo,4
25,416199,MobyDick-217452,Paralelo,4
26,437573,MobyDick-217452,Paralelo,4
27,478289,MobyDick-217452,Paralelo,4
28,453312,MobyDick-217452,Paralelo,4
29,464382,MobyDick-217452,Paralelo,4
30,410894,MobyDick-217452,Paralelo,4
31,432779,MobyDick-217452,Paralelo,4
32,515526,MobyDick-217452,Paralelo,4
33,453209,MobyDick-217452,Paralelo,4
34,439526,MobyDick-217452,Paralelo,4
35,442324,MobyDick-217452,Paralelo,4
36,439697,MobyDick-217452,Paralelo,4
37,403495,MobyDick-217452,Paralelo,4
38,498464,MobyDick-217452,Paralelo,4
39,415188,MobyDick-217452,Paralelo,4
40,429741,MobyDick-217452,Paralelo,4
41,475843,MobyDick-217452,Paralelo,4
42,688316,MobyDick-217452,Paralelo,4
43,724491,MobyDick-217452,Paralelo,4
44,506880,MobyDick-217452,Paralelo,4
45,486609,MobyDick-217452,Paralelo,4
46,653878,MobyDick-217452,Paralelo,4
47,1387072,MobyDick-217452,Paralelo,4
48,1008085,MobyDick-217452,Paralelo,4
49,531131,MobyDick-217452,Paralelo,4
50,566069,MobyDick-217452,Paralelo,4
51,618507,MobyDick-217452,Paralelo,4
52,583795,MobyDick-217452,Paralelo,4
53,624539,MobyDick-217452,Paralelo,4
54,508552,MobyDick-217452,Paralelo,4
55,542022,MobyDick-217452,Paralelo,4
56,450220,MobyDick-217452,Paralelo,4
57,506780,MobyDick-217452,Paralelo,4
58,470668,MobyDick-217452,Paralelo,4
59,687699,MobyDick-217452,Paralelo,4
60,499911,MobyDick-217452,Paralelo,4
61,657833,MobyDick-217452,Paralelo,4
62,766159,MobyDick-217452,Paralelo,4
63,1460349,MobyDick-217452,Paralelo,4
64,649259,MobyDick-217452,Paralelo,4
65,543250,MobyDick-217452,Paralelo,4
66,475536,MobyDick-217452,Paralelo,4
67,457939,MobyDick-217452,Paralelo,4
68,416024,MobyDick-217452,Paralelo,4
69,427588,MobyDick-217452,Paralelo,4
70,406826,MobyDick-217452,Paralelo,4
71,426943,MobyDick-217452,Paralelo,4
72,428530,MobyDick-217452,Paralelo,4
73,451123,MobyDick-217452,Paralelo,4
74,12401624,MobyDick-217452,Paralelo,4
75,656252,MobyDick-217452,Paralelo,4
76,492145,MobyDick-217452,Paralelo,4
77,589596,MobyDick-217452,Paralelo,4
78,497202,MobyDick-217452,Paralelo,4
79,604325,MobyDick-217452,Paralelo,4
80,599566,MobyDick-217452,Paralelo,4
81,606491,MobyDick-217452,Paralelo,4
82,1160275,MobyDick-217452,Paralelo,4
83,557965,MobyDick-217452,Paralelo,4
84,732207,MobyDick-217452,Paralelo,4
85,694500,MobyDick-217452,Paralelo,4
86,664219,MobyDick-217452,Paralelo,4
87,1054657,MobyDick-217452,Paralelo,4
88,466353,MobyDick-217452,Paralelo,4
89,456413,MobyDick-217452,Paralelo,4
90,417389,MobyDick-217452,Paralelo,4
91,397693,MobyDick-217452,Paralelo,4
92,400854,MobyDick-217452,Paralelo,4
93,412215,MobyDick-217452,Paralelo,4
94,396329,MobyDick-217452,Paralelo,4
95,424207,MobyDick-217452,Paralelo,4
96,413748,MobyDick-217452,Paralelo,4
97,420118,MobyDick-217452,Paralelo,4
98,422252,MobyDick-217452,Paralelo,4
99,407773,MobyDick-217452,Paralelo,4
100,537768,MobyDick-217452,Paralelo,4
101,512644,MobyDick-217452,Paralelo,4
102,517810,MobyDick-217452,Paralelo,4
103,3875965,MobyDick-217452,Paralelo,4
104,2558569,MobyDick-217452,Paralelo,4
105,856735,MobyDick-217452,Paralelo,4
106,960089,MobyDick-217452,Paralelo,4
107,873880,MobyDick-217452,Paralelo,4
108,996831,MobyDick-217452,Paralelo,4
109,863024,MobyDick-217452,Paralelo,4
110,798128,MobyDick-217452,Paralelo,4
111,2240108,MobyDick-217452,Paralelo,4
112,853296,MobyDick-217452,Paralelo,4
113,1077814,MobyDick-217452,Paralelo,4
114,1017976,MobyDick-217452,Paralelo,4
115,895057,MobyDick-217452,Paralelo,4
116,1346578,MobyDick-217452,Paralelo,4
117,754973,MobyDick-217452,Paralelo,4
118,985944,MobyDick-217452,Paralelo,4
119,866602,MobyDick-217452,Paralelo,4
120,1100811,MobyDick-217452,Paralelo,4
121,1554494,MobyDick-217452,Paralelo,4
122,2695348,MobyDick-217452,Paralelo,4
123,1746376,MobyDick-217452,Paralelo,4
124,695529,MobyDick-217452,Paralelo,4
125,623463,MobyDick-217452,Paralelo,4
126,673677,MobyDick-217452,Paralelo,4
127,828360,MobyDick-217452,Paralelo,4
128,773470,MobyDick-217452,Paralelo,4
129,575027,MobyDick-217452,Paralelo,4
130,647350,MobyDick-217452,Paralelo,4
131,667970,MobyDick-217452,Paralelo,4
132,522999,MobyDick-217452,Paralelo,4
133,469176,MobyDick-217452,Paralelo,4
134,465985,MobyDick-217452,Paralelo,4
135,457804,MobyDick-217452,Paralelo,4
136,486817,MobyDick-217452,Paralelo,4
137,470241,MobyDick-217452,Paralelo,4
138,458526,MobyDick-217452,Paralelo,4
139,875774,MobyDick-217452,Paralelo,4
140,514810,MobyDick-217452,Paralelo,4
141,455537,MobyDick-217452,Paralelo,4
142,614006,MobyDick-217452,Paralelo,4
143,488429,MobyDick-217452,Paralelo,4
144,472959,MobyDick-217452,Paralelo,4
145,554812,MobyDick-217452,Paralelo,4
146,520452,MobyDick-217452,Paralelo,4
147,489950,MobyDick-217452,Paralelo,4
148,536241,MobyDick-217452,Paralelo,4
149,467207,MobyDick-217452,Paralelo,4
150,537356,MobyDick-217452,Paralelo,4
151,503573,MobyDick-217452,Paralelo,4
152,516084,MobyDick-217452,Paralelo,4
153,423331,MobyDick-217452,Paralelo,4
154,411937,MobyDick-217452,Paralelo,4
155,396426,MobyDick-217452,Paralelo,4
156,466472,MobyDick-217452,Paralelo,4
157,400639,MobyDick-217452,Paralelo,4
158,788798,MobyDick-217452,Paralelo,4
159,550082,MobyDick-217452,Paralelo,4
160,621351,MobyDick-217452,Paralelo,4
161,574960,MobyDick-217452,Paralelo,4
162,515158,MobyDick-217452,Paralelo,4
163,509963,MobyDick-217452,Paralelo,4
164,439367,MobyDick-217452,Paralelo,4
165,804794,MobyDick-217452,Paralelo,4
