Iteracao,Tempo(ns),Nome_Livro,Paradigma
1,3046683,DonQuixote-388208,Serial
2,2873772,DonQuixote-388208,Serial
3,2671059,DonQuixote-388208,Serial
4,2879296,DonQuixote-388208,Serial
5,2760235,DonQuixote-388208,Serial
6,2546742,DonQuixote-388208,Serial
7,2512314,DonQuixote-388208,Serial
8,2096015,DonQuixote-388208,Serial
9,2124915,DonQuixote-388208,Serial
10,2448776,DonQuixote-388208,Serial
11,3526439,DonQuixote-388208,Serial
12,2608610,DonQuixote-388208,Serial
13,2493578,DonQuixote-388208,Serial
14,2602496,DonQuixote-388208,Serial
15,2438209,DonQuixote-388208,Serial
16,2568400,DonQuixote-388208,Serial
17,2838707,DonQuixote-388208,Serial
18,2611707,DonQuixote-388208,Serial
19,2414322,DonQuixote-388208,Serial
20,2230523,DonQuixote-388208,Serial
21,2343199,DonQuixote-388208,Serial
22,2333823,DonQuixote-388208,Serial
23,2116579,DonQuixote-388208,Serial
24,2050540,DonQuixote-388208,Serial
25,2046168,DonQuixote-388208,Serial
26,2111170,DonQuixote-388208,Serial
27,2068657,DonQuixote-388208,Serial
28,2084426,DonQuixote-388208,Serial
29,2016951,DonQuixote-388208,Serial
30,2136038,DonQuixote-388208,Serial
31,1988689,DonQuixote-388208,Serial
32,2246882,DonQuixote-388208,Serial
33,1963220,DonQuixote-388208,Serial
34,1898229,DonQuixote-388208,Serial
35,1896156,DonQuixote-388208,Serial
36,1908188,DonQuixote-388208,Serial
37,1916158,DonQuixote-388208,Serial
38,1879015,DonQuixote-388208,Serial
39,1885869,DonQuixote-388208,Serial
40,1869713,DonQuixote-388208,Serial
41,1870637,DonQuixote-388208,Serial
42,1882973,DonQuixote-388208,Serial
43,2256220,DonQuixote-388208,Serial
44,1987217,DonQuixote-388208,Serial
45,1961511,DonQuixote-388208,Serial
46,1940904,DonQuixote-388208,Serial
47,1895802,DonQuixote-388208,Serial
48,1889754,DonQuixote-388208,Serial
49,2221945,DonQuixote-388208,Serial
50,2633282,DonQuixote-388208,Serial
51,2764006,DonQuixote-388208,Serial
52,2050228,DonQuixote-388208,Serial
53,1966106,DonQuixote-388208,Serial
54,1924961,DonQuixote-388208,Serial
55,1923142,DonQuixote-388208,Serial
56,2064501,DonQuixote-388208,Serial
57,2278594,DonQuixote-388208,Serial
58,1951565,DonQuixote-388208,Serial
59,1931977,DonQuixote-388208,Serial
60,1937659,DonQuixote-388208,Serial
