Iteracao,Tempo(ns),Nome_Livro,Paradigma
1,1250133,Dracula-165307,Serial
2,1031653,Dracula-165307,Serial
3,1025921,Dracula-165307,Serial
4,1024620,Dracula-165307,Serial
5,1231983,Dracula-165307,Serial
6,1343489,Dracula-165307,Serial
7,1254994,Dracula-165307,Serial
8,1270675,Dracula-165307,Serial
9,1243372,Dracula-165307,Serial
10,1286535,Dracula-165307,Serial
11,1363092,Dracula-165307,Serial
12,1394383,Dracula-165307,Serial
13,1443715,Dracula-165307,Serial
14,1203482,Dracula-165307,Serial
15,1878173,Dracula-165307,Serial
16,1878660,Dracula-165307,Serial
17,1399296,Dracula-165307,Serial
18,1348018,Dracula-165307,Serial
19,1947349,Dracula-165307,Serial
20,3381466,Dracula-165307,Serial
21,1731824,Dracula-165307,Serial
22,1027754,Dracula-165307,Serial
23,1031082,Dracula-165307,Serial
24,1050973,Dracula-165307,Serial
25,1025975,Dracula-165307,Serial
26,1778461,Dracula-165307,Serial
27,1488003,Dracula-165307,Serial
28,1051505,Dracula-165307,Serial
29,1133801,Dracula-165307,Serial
30,3488496,Dracula-165307,Serial
31,1703203,Dracula-165307,Serial
32,1056232,Dracula-165307,Serial
33,1084240,Dracula-165307,Serial
34,1040457,Dracula-165307,Serial
35,1076701,Dracula-165307,Serial
36,1048859,Dracula-165307,Serial
37,1096886,Dracula-165307,Serial
38,1057455,Dracula-165307,Serial
39,1039398,Dracula-165307,Serial
40,1081639,Dracula-165307,Serial
41,1117541,Dracula-165307,Serial
42,1059704,Dracula-165307,Serial
43,1019028,Dracula-165307,Serial
44,1047190,Dracula-165307,Serial
45,1010311,Dracula-165307,Serial
46,1043111,Dracula-165307,Serial
47,1088511,Dracula-165307,Serial
48,1008373,Dracula-165307,Serial
49,1043512,Dracula-165307,Serial
50,1042975,Dracula-165307,Serial
51,1008500,Dracula-165307,Serial
52,1028493,Dracula-165307,Serial
53,1042640,Dracula-165307,Serial
54,1049544,Dracula-165307,Serial
55,1107833,Dracula-165307,Serial
56,1028792,Dracula-165307,Serial
57,1051429,Dracula-165307,Serial
58,1057117,Dracula-165307,Serial
59,1013121,Dracula-165307,Serial
60,1050009,Dracula-165307,Serial
61,1041581,Dracula-165307,Serial
62,1031126,Dracula-165307,Serial
63,1040402,Dracula-165307,Serial
64,1038343,Dracula-165307,Serial
65,1005442,Dracula-165307,Serial
66,1036958,Dracula-165307,Serial
67,1023853,Dracula-165307,Serial
68,1048583,Dracula-165307,Serial
69,1026068,Dracula-165307,Serial
70,1012222,Dracula-165307,Serial
71,1021582,Dracula-165307,Serial
72,1006605,Dracula-165307,Serial
73,1001153,Dracula-165307,Serial
74,996237,Dracula-165307,Serial
75,1003676,Dracula-165307,Serial
76,993984,Dracula-165307,Serial
77,1008014,Dracula-165307,Serial
78,995194,Dracula-165307,Serial
79,993777,Dracula-165307,Serial
80,988870,Dracula-165307,Serial
81,990072,Dracula-165307,Serial
82,990926,Dracula-165307,Serial
83,991783,Dracula-165307,Serial
84,991922,Dracula-165307,Serial
85,1016864,Dracula-165307,Serial
86,1016551,Dracula-165307,Serial
87,1000927,Dracula-165307,Serial
88,1000040,Dracula-165307,Serial
89,997604,Dracula-165307,Serial
90,995630,Dracula-165307,Serial
91,996260,Dracula-165307,Serial
92,992647,Dracula-165307,Serial
93,991839,Dracula-165307,Serial
94,987763,Dracula-165307,Serial
95,990457,Dracula-165307,Serial
96,985912,Dracula-165307,Serial
97,992010,Dracula-165307,Serial
98,992403,Dracula-165307,Serial
99,1064806,Dracula-165307,Serial
100,999381,Dracula-165307,Serial
101,992125,Dracula-165307,Serial
102,1010095,Dracula-165307,Serial
103,987292,Dracula-165307,Serial
104,985160,Dracula-165307,Serial
105,997155,Dracula-165307,Serial
106,993582,Dracula-165307,Serial
107,1016882,Dracula-165307,Serial
108,1238268,Dracula-165307,Serial
109,1136830,Dracula-165307,Serial
110,1033081,Dracula-165307,Serial
111,1029403,Dracula-165307,Serial
112,1020185,Dracula-165307,Serial
113,1068845,Dracula-165307,Serial
114,1034003,Dracula-165307,Serial
115,1014941,Dracula-165307,Serial
116,1011774,Dracula-165307,Serial
117,1011502,Dracula-165307,Serial
118,1032417,Dracula-165307,Serial
119,1039297,Dracula-165307,Serial
120,1022878,Dracula-165307,Serial
121,1022057,Dracula-165307,Serial
122,1008125,Dracula-165307,Serial
123,1005564,Dracula-165307,Serial
124,1002495,Dracula-165307,Serial
125,1016129,Dracula-165307,Serial
126,1003091,Dracula-165307,Serial
127,1001805,Dracula-165307,Serial
128,1007405,Dracula-165307,Serial
129,1013784,Dracula-165307,Serial
130,1001105,Dracula-165307,Serial
131,1004483,Dracula-165307,Serial
132,998719,Dracula-165307,Serial
133,995708,Dracula-165307,Serial
134,1022296,Dracula-165307,Serial
135,995623,Dracula-165307,Serial
136,990647,Dracula-165307,Serial
137,992976,Dracula-165307,Serial
138,1003923,Dracula-165307,Serial
139,999604,Dracula-165307,Serial
140,1010608,Dracula-165307,Serial
141,996932,Dracula-165307,Serial
142,996372,Dracula-165307,Serial
143,995545,Dracula-165307,Serial
144,992601,Dracula-165307,Serial
145,991787,Dracula-165307,Serial
146,989711,Dracula-165307,Serial
147,996559,Dracula-165307,Serial
148,993221,Dracula-165307,Serial
149,993066,Dracula-165307,Serial
150,1023461,Dracula-165307,Serial
151,992142,Dracula-165307,Serial
152,988317,Dracula-165307,Serial
153,1191753,Dracula-165307,Serial
154,1008402,Dracula-165307,Serial
155,1009458,Dracula-165307,Serial
156,999884,Dracula-165307,Serial
157,992345,Dracula-165307,Serial
158,992163,Dracula-165307,Serial
159,987080,Dracula-165307,Serial
160,985550,Dracula-165307,Serial
161,988346,Dracula-165307,Serial
162,984559,Dracula-165307,Serial
163,985366,Dracula-165307,Serial
164,987772,Dracula-165307,Serial
165,989243,Dracula-165307,Serial
166,1000937,Dracula-165307,Serial
