Iteracao,Tempo(ns),Nome_Livro,Paradigma
1,19261114,MobyDick-217452,Serial
2,5050503,MobyDick-217452,Serial
3,2015250,MobyDick-217452,Serial
4,2034350,MobyDick-217452,Serial
5,1990952,MobyDick-217452,Serial
6,1745841,MobyDick-217452,Serial
7,1734305,MobyDick-217452,Serial
8,5127331,MobyDick-217452,Serial
9,1803054,MobyDick-217452,Serial
10,1657740,MobyDick-217452,Serial
11,1994050,MobyDick-217452,Serial
12,1942455,MobyDick-217452,Serial
13,1711702,MobyDick-217452,Serial
14,1871354,MobyDick-217452,Serial
15,1919639,MobyDick-217452,Serial
16,1791339,MobyDick-217452,Serial
17,2084453,MobyDick-217452,Serial
18,1987674,MobyDick-217452,Serial
19,2387568,MobyDick-217452,Serial
20,2630383,MobyDick-217452,Serial
21,1660260,MobyDick-217452,Serial
22,1663352,MobyDick-217452,Serial
23,1702780,MobyDick-217452,Serial
24,1612942,MobyDick-217452,Serial
25,1673257,MobyDick-217452,Serial
26,1932309,MobyDick-217452,Serial
27,1796218,MobyDick-217452,Serial
28,3414051,MobyDick-217452,Serial
29,1963672,MobyDick-217452,Serial
30,1673015,MobyDick-217452,Serial
31,1646001,MobyDick-217452,Serial
32,1659289,MobyDick-217452,Serial
33,1687483,MobyDick-217452,Serial
34,1671069,MobyDick-217452,Serial
35,1652171,MobyDick-217452,Serial
36,1723785,MobyDick-217452,Serial
37,1557867,MobyDick-217452,Serial
38,1683532,MobyDick-217452,Serial
39,1607527,MobyDick-217452,Serial
40,2670800,MobyDick-217452,Serial
41,1725537,MobyDick-217452,Serial
42,4115293,MobyDick-217452,Serial
43,4631089,MobyDick-217452,Serial
44,1923065,MobyDick-217452,Serial
45,1773617,MobyDick-217452,Serial
46,1964848,MobyDick-217452,Serial
47,1732023,MobyDick-217452,Serial
48,1649029,MobyDick-217452,Serial
49,1689347,MobyDick-217452,Serial
50,1707015,MobyDick-217452,Serial
51,1734249,MobyDick-217452,Serial
52,1737849,MobyDick-217452,Serial
53,1653005,MobyDick-217452,Serial
54,1867629,MobyDick-217452,Serial
55,1793750,MobyDick-217452,Serial
56,1742538,MobyDick-217452,Serial
57,1775220,MobyDick-217452,Serial
58,1749800,MobyDick-217452,Serial
59,1700382,MobyDick-217452,Serial
60,1615345,MobyDick-217452,Serial
61,1697919,MobyDick-217452,Serial
62,1791287,MobyDick-217452,Serial
63,3034498,MobyDick-217452,Serial
64,1876490,MobyDick-217452,Serial
65,4004009,MobyDick-217452,Serial
66,1659381,MobyDick-217452,Serial
67,4083001,MobyDick-217452,Serial
68,1648577,MobyDick-217452,Serial
69,1935158,MobyDick-217452,Serial
70,1550743,MobyDick-217452,Serial
71,1609440,MobyDick-217452,Serial
72,1559955,MobyDick-217452,Serial
73,3499758,MobyDick-217452,Serial
74,2862459,MobyDick-217452,Serial
75,1614561,MobyDick-217452,Serial
76,1544810,MobyDick-217452,Serial
77,1834414,MobyDick-217452,Serial
78,1544384,MobyDick-217452,Serial
79,1561787,MobyDick-217452,Serial
80,1429674,MobyDick-217452,Serial
81,1564753,MobyDick-217452,Serial
82,1725576,MobyDick-217452,Serial
83,1563694,MobyDick-217452,Serial
84,1510528,MobyDick-217452,Serial
85,1773532,MobyDick-217452,Serial
86,1529227,MobyDick-217452,Serial
87,1635046,MobyDick-217452,Serial
88,1617492,MobyDick-217452,Serial
89,1502307,MobyDick-217452,Serial
90,1467718,MobyDick-217452,Serial
91,1426581,MobyDick-217452,Serial
92,1534445,MobyDick-217452,Serial
93,1554266,MobyDick-217452,Serial
94,1512019,MobyDick-217452,Serial
95,1415487,MobyDick-217452,Serial
96,1432918,MobyDick-217452,Serial
97,1435549,MobyDick-217452,Serial
98,1470408,MobyDick-217452,Serial
99,1421045,MobyDick-217452,Serial
100,1422284,MobyDick-217452,Serial
101,1401038,MobyDick-217452,Serial
102,1431130,MobyDick-217452,Serial
103,1320742,MobyDick-217452,Serial
104,1356516,MobyDick-217452,Serial
105,1413529,MobyDick-217452,Serial
106,1376723,MobyDick-217452,Serial
107,1388915,MobyDick-217452,Serial
108,1683367,MobyDick-217452,Serial
109,1700286,MobyDick-217452,Serial
110,1578541,MobyDick-217452,Serial
111,1494989,MobyDick-217452,Serial
112,1424997,MobyDick-217452,Serial
113,1437789,MobyDick-217452,Serial
114,1446511,MobyDick-217452,Serial
115,1608612,MobyDick-217452,Serial
116,1555379,MobyDick-217452,Serial
117,1361467,MobyDick-217452,Serial
118,1393475,MobyDick-217452,Serial
119,1372484,MobyDick-217452,Serial
120,1398920,MobyDick-217452,Serial
121,1370649,MobyDick-217452,Serial
122,1331640,MobyDick-217452,Serial
123,1331326,MobyDick-217452,Serial
124,1327384,MobyDick-217452,Serial
125,1333517,MobyDick-217452,Serial
126,1507347,MobyDick-217452,Serial
127,1547611,MobyDick-217452,Serial
128,1492355,MobyDick-217452,Serial
129,1569433,MobyDick-217452,Serial
130,1545671,MobyDick-217452,Serial
131,1471660,MobyDick-217452,Serial
132,1252535,MobyDick-217452,Serial
133,1254202,MobyDick-217452,Serial
134,1190181,MobyDick-217452,Serial
135,1454248,MobyDick-217452,Serial
136,1604991,MobyDick-217452,Serial
137,1574767,MobyDick-217452,Serial
138,1466649,MobyDick-217452,Serial
139,1499335,MobyDick-217452,Serial
140,1531635,MobyDick-217452,Serial
141,1526381,MobyDick-217452,Serial
142,1401173,MobyDick-217452,Serial
143,1776277,MobyDick-217452,Serial
144,1424801,MobyDick-217452,Serial
145,1373117,MobyDick-217452,Serial
146,1400615,MobyDick-217452,Serial
147,1365166,MobyDick-217452,Serial
148,1341486,MobyDick-217452,Serial
149,1405532,MobyDick-217452,Serial
150,1198047,MobyDick-217452,Serial
151,1327047,MobyDick-217452,Serial
152,1425096,MobyDick-217452,Serial
153,1471878,MobyDick-217452,Serial
154,1463554,MobyDick-217452,Serial
155,1497605,MobyDick-217452,Serial
156,1303481,MobyDick-217452,Serial
157,1191583,MobyDick-217452,Serial
158,1202530,MobyDick-217452,Serial
159,1586509,MobyDick-217452,Serial
160,1560407,MobyDick-217452,Serial
161,1732396,MobyDick-217452,Serial
162,1618846,MobyDick-217452,Serial
163,1618038,MobyDick-217452,Serial
164,1758054,MobyDick-217452,Serial
165,1793113,MobyDick-217452,Serial
166,1754409,MobyDick-217452,Serial
167,1733561,MobyDick-217452,Serial
168,1788198,MobyDick-217452,Serial
169,1731185,MobyDick-217452,Serial
170,1636743,MobyDick-217452,Serial
171,1657042,MobyDick-217452,Serial
172,1651217,MobyDick-217452,Serial
173,1615647,MobyDick-217452,Serial
174,1624057,MobyDick-217452,Serial
175,3724663,MobyDick-217452,Serial
176,1836696,MobyDick-217452,Serial
177,1629602,MobyDick-217452,Serial
178,1486907,MobyDick-217452,Serial
179,1704880,MobyDick-217452,Serial
180,2426449,MobyDick-217452,Serial
181,1649854,MobyDick-217452,Serial
182,1703756,MobyDick-217452,Serial
183,2489119,MobyDick-217452,Serial
184,1585386,MobyDick-217452,Serial
185,1677512,MobyDick-217452,Serial
186,1612766,MobyDick-217452,Serial
187,4707235,MobyDick-217452,Serial
188,2355949,MobyDick-217452,Serial
189,1652419,MobyDick-217452,Serial
190,1732511,MobyDick-217452,Serial
191,1584268,MobyDick-217452,Serial
192,1625606,MobyDick-217452,Serial
193,1631640,MobyDick-217452,Serial
194,1817105,MobyDick-217452,Serial
195,2757329,MobyDick-217452,Serial
196,1758814,MobyDick-217452,Serial
197,1596366,MobyDick-217452,Serial
198,1666981,MobyDick-217452,Serial
199,1584822,MobyDick-217452,Serial
200,1605454,MobyDick-217452,Serial
201,1694655,MobyDick-217452,Serial
202,1650283,MobyDick-217452,Serial
203,1609566,MobyDick-217452,Serial
204,1594419,MobyDick-217452,Serial
205,1697082,MobyDick-217452,Serial
206,2041245,MobyDick-217452,Serial
207,3337594,MobyDick-217452,Serial
208,1812111,MobyDick-217452,Serial
209,1580145,MobyDick-217452,Serial
210,1628881,MobyDick-217452,Serial
211,1690370,MobyDick-217452,Serial
212,1547989,MobyDick-217452,Serial
213,1716357,MobyDick-217452,Serial
214,1570132,MobyDick-217452,Serial
215,1670795,MobyDick-217452,Serial
216,2443792,MobyDick-217452,Serial
217,1609078,MobyDick-217452,Serial
218,1853303,MobyDick-217452,Serial
219,1632042,MobyDick-217452,Serial
220,2687074,MobyDick-217452,Serial
221,1569976,MobyDick-217452,Serial
222,1687195,MobyDick-217452,Serial
223,1615846,MobyDick-217452,Serial
224,1631851,MobyDick-217452,Serial
225,1579520,MobyDick-217452,Serial
226,1568052,MobyDick-217452,Serial
227,1490483,MobyDick-217452,Serial
228,1465154,MobyDick-217452,Serial
229,1453873,MobyDick-217452,Serial
230,1921575,MobyDick-217452,Serial
231,1392515,MobyDick-217452,Serial
232,1485674,MobyDick-217452,Serial
233,1480873,MobyDick-217452,Serial
234,3219505,MobyDick-217452,Serial
235,2194332,MobyDick-217452,Serial
236,1708841,MobyDick-217452,Serial
237,1636777,MobyDick-217452,Serial
238,1683161,MobyDick-217452,Serial
239,2435412,MobyDick-217452,Serial
240,1347258,MobyDick-217452,Serial
241,1332604,MobyDick-217452,Serial
242,1678607,MobyDick-217452,Serial
243,1488854,MobyDick-217452,Serial
244,1405918,MobyDick-217452,Serial
245,1559414,MobyDick-217452,Serial
246,1464283,MobyDick-217452,Serial
247,1423013,MobyDick-217452,Serial
248,1423186,MobyDick-217452,Serial
249,1391884,MobyDick-217452,Serial
250,1487339,MobyDick-217452,Serial
251,1422171,MobyDick-217452,Serial
252,1315907,MobyDick-217452,Serial
253,1622588,MobyDick-217452,Serial
254,1624474,MobyDick-217452,Serial
255,1601983,MobyDick-217452,Serial
256,3784970,MobyDick-217452,Serial
257,2635662,MobyDick-217452,Serial
258,1439751,MobyDick-217452,Serial
259,1540064,MobyDick-217452,Serial
260,1464448,MobyDick-217452,Serial
261,1537774,MobyDick-217452,Serial
262,1508622,MobyDick-217452,Serial
263,1469491,MobyDick-217452,Serial
264,1438550,MobyDick-217452,Serial
265,1439980,MobyDick-217452,Serial
266,1478793,MobyDick-217452,Serial
267,1380659,MobyDick-217452,Serial
268,1364392,MobyDick-217452,Serial
269,1464320,MobyDick-217452,Serial
270,1438068,MobyDick-217452,Serial
271,1435787,MobyDick-217452,Serial
272,1492410,MobyDick-217452,Serial
273,1416083,MobyDick-217452,Serial
274,1403838,MobyDick-217452,Serial
275,1370321,MobyDick-217452,Serial
276,1498231,MobyDick-217452,Serial
277,1450125,MobyDick-217452,Serial
278,1504451,MobyDick-217452,Serial
279,1473187,MobyDick-217452,Serial
280,1495165,MobyDick-217452,Serial
281,1439158,MobyDick-217452,Serial
282,1472491,MobyDick-217452,Serial
283,1410930,MobyDick-217452,Serial
284,1533433,MobyDick-217452,Serial
285,1509801,MobyDick-217452,Serial
286,1608451,MobyDick-217452,Serial
287,1518142,MobyDick-217452,Serial
288,1661293,MobyDick-217452,Serial
289,1625974,MobyDick-217452,Serial
290,1474531,MobyDick-217452,Serial
291,1502039,MobyDick-217452,Serial
292,1437793,MobyDick-217452,Serial
293,1490381,MobyDick-217452,Serial
294,1646808,MobyDick-217452,Serial
295,1478939,MobyDick-217452,Serial
296,1539864,MobyDick-217452,Serial
297,1470540,MobyDick-217452,Serial
298,1547826,MobyDick-217452,Serial
299,1434729,MobyDick-217452,Serial
300,1486046,MobyDick-217452,Serial
301,1555985,MobyDick-217452,Serial
302,1476304,MobyDick-217452,Serial
303,1394201,MobyDick-217452,Serial
304,1198993,MobyDick-217452,Serial
305,1534177,MobyDick-217452,Serial
306,1572278,MobyDick-217452,Serial
307,1507488,MobyDick-217452,Serial
308,1556000,MobyDick-217452,Serial
309,1351053,MobyDick-217452,Serial
310,1559217,MobyDick-217452,Serial
311,1620139,MobyDick-217452,Serial
312,1690745,MobyDick-217452,Serial
313,1790006,MobyDick-217452,Serial
314,1594898,MobyDick-217452,Serial
315,1725767,MobyDick-217452,Serial
316,1780815,MobyDick-217452,Serial
317,1552563,MobyDick-217452,Serial
318,2369456,MobyDick-217452,Serial
319,1544892,MobyDick-217452,Serial
320,1617839,MobyDick-217452,Serial
321,1642720,MobyDick-217452,Serial
322,1595279,MobyDick-217452,Serial
323,1745524,MobyDick-217452,Serial
324,1775221,MobyDick-217452,Serial
325,1585883,MobyDick-217452,Serial
326,1485632,MobyDick-217452,Serial
327,1504214,MobyDick-217452,Serial
328,1503631,MobyDick-217452,Serial
329,1382265,MobyDick-217452,Serial
330,1486715,MobyDick-217452,Serial
331,1544349,MobyDick-217452,Serial
332,1510884,MobyDick-217452,Serial
333,1451462,MobyDick-217452,Serial
334,1597453,MobyDick-217452,Serial
335,1559583,MobyDick-217452,Serial
336,1454500,MobyDick-217452,Serial
337,1422698,MobyDick-217452,Serial
338,1327164,MobyDick-217452,Serial
339,1258158,MobyDick-217452,Serial
340,1237006,MobyDick-217452,Serial
341,1247691,MobyDick-217452,Serial
342,1299134,MobyDick-217452,Serial
343,1269494,MobyDick-217452,Serial
344,1459729,MobyDick-217452,Serial
345,1306238,MobyDick-217452,Serial
346,1605571,MobyDick-217452,Serial
347,1232818,MobyDick-217452,Serial
348,1370730,MobyDick-217452,Serial
349,1229517,MobyDick-217452,Serial
350,1434502,MobyDick-217452,Serial
351,3170112,MobyDick-217452,Serial
352,1215886,MobyDick-217452,Serial
353,1208122,MobyDick-217452,Serial
354,1182890,MobyDick-217452,Serial
355,1185675,MobyDick-217452,Serial
356,1266979,MobyDick-217452,Serial
357,1281874,MobyDick-217452,Serial
358,1459494,MobyDick-217452,Serial
359,1407943,MobyDick-217452,Serial
360,1411481,MobyDick-217452,Serial
361,1330651,MobyDick-217452,Serial
362,1264294,MobyDick-217452,Serial
363,1213013,MobyDick-217452,Serial
364,1198048,MobyDick-217452,Serial
365,1214228,MobyDick-217452,Serial
366,1169480,MobyDick-217452,Serial
367,1239182,MobyDick-217452,Serial
368,1497949,MobyDick-217452,Serial
369,1246948,MobyDick-217452,Serial
370,1273838,MobyDick-217452,Serial
371,1229478,MobyDick-217452,Serial
372,1288424,MobyDick-217452,Serial
373,1558194,MobyDick-217452,Serial
374,1351354,MobyDick-217452,Serial
375,1529720,MobyDick-217452,Serial
376,1485210,MobyDick-217452,Serial
377,1569341,MobyDick-217452,Serial
378,1559033,MobyDick-217452,Serial
379,1561334,MobyDick-217452,Serial
380,1458837,MobyDick-217452,Serial
381,1451942,MobyDick-217452,Serial
382,1543121,MobyDick-217452,Serial
383,1393844,MobyDick-217452,Serial
384,1257569,MobyDick-217452,Serial
385,1320886,MobyDick-217452,Serial
386,1635060,MobyDick-217452,Serial
387,1523673,MobyDick-217452,Serial
388,1501607,MobyDick-217452,Serial
389,1586309,MobyDick-217452,Serial
390,1539190,MobyDick-217452,Serial
391,1481499,MobyDick-217452,Serial
392,1499153,MobyDick-217452,Serial
393,1414387,MobyDick-217452,Serial
394,1529921,MobyDick-217452,Serial
395,1595434,MobyDick-217452,Serial
396,1444055,MobyDick-217452,Serial
397,1235745,MobyDick-217452,Serial
398,1448225,MobyDick-217452,Serial
399,1576833,MobyDick-217452,Serial
400,1576650,MobyDick-217452,Serial
401,1612375,MobyDick-217452,Serial
402,1412801,MobyDick-217452,Serial
403,1500153,MobyDick-217452,Serial
404,1534037,MobyDick-217452,Serial
405,1491928,MobyDick-217452,Serial
406,1589960,MobyDick-217452,Serial
407,1558329,MobyDick-217452,Serial
408,1562506,MobyDick-217452,Serial
409,1552364,MobyDick-217452,Serial
410,1490401,MobyDick-217452,Serial
411,1572402,MobyDick-217452,Serial
412,1431896,MobyDick-217452,Serial
413,1355396,MobyDick-217452,Serial
414,1988002,MobyDick-217452,Serial
415,1789596,MobyDick-217452,Serial
416,1570261,MobyDick-217452,Serial
417,1591412,MobyDick-217452,Serial
418,1709610,MobyDick-217452,Serial
419,1600488,MobyDick-217452,Serial
420,1672649,MobyDick-217452,Serial
421,1516542,MobyDick-217452,Serial
422,1517614,MobyDick-217452,Serial
423,1818340,MobyDick-217452,Serial
424,1780593,MobyDick-217452,Serial
425,1228344,MobyDick-217452,Serial
426,1207387,MobyDick-217452,Serial
427,1256314,MobyDick-217452,Serial
428,1193288,MobyDick-217452,Serial
429,1433980,MobyDick-217452,Serial
430,1256400,MobyDick-217452,Serial
431,1461754,MobyDick-217452,Serial
432,1579605,MobyDick-217452,Serial
433,1520573,MobyDick-217452,Serial
434,1269809,MobyDick-217452,Serial
435,1427909,MobyDick-217452,Serial
436,1527347,MobyDick-217452,Serial
437,1354435,MobyDick-217452,Serial
438,1258905,MobyDick-217452,Serial
439,1208986,MobyDick-217452,Serial
440,1203795,MobyDick-217452,Serial
441,1311920,MobyDick-217452,Serial
442,1290347,MobyDick-217452,Serial
443,1228443,MobyDick-217452,Serial
444,1249722,MobyDick-217452,Serial
445,1283701,MobyDick-217452,Serial
446,1283552,MobyDick-217452,Serial
447,1250942,MobyDick-217452,Serial
448,1342262,MobyDick-217452,Serial
449,1221100,MobyDick-217452,Serial
450,1354842,MobyDick-217452,Serial
451,1259930,MobyDick-217452,Serial
452,1396209,MobyDick-217452,Serial
453,1260600,MobyDick-217452,Serial
454,1360748,MobyDick-217452,Serial
455,1423495,MobyDick-217452,Serial
456,1317091,MobyDick-217452,Serial
457,1347662,MobyDick-217452,Serial
458,1374884,MobyDick-217452,Serial
459,1346940,MobyDick-217452,Serial
460,1234063,MobyDick-217452,Serial
461,1163531,MobyDick-217452,Serial
462,1182544,MobyDick-217452,Serial
463,1218628,MobyDick-217452,Serial
464,1182809,MobyDick-217452,Serial
465,1167972,MobyDick-217452,Serial
466,1146246,MobyDick-217452,Serial
467,1180424,MobyDick-217452,Serial
468,1175665,MobyDick-217452,Serial
469,1299850,MobyDick-217452,Serial
